STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
AL|01|00100|02582661|Abanda CDP|CENSUS DESIGNATED PLACE|U1|S|Chambers County
AL|01|00124|02403054|Abbeville city|INCORPORATED PLACE|C1|A|Henry County
AL|01|00460|02403063|Adamsville city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|00484|02405123|Addison town|INCORPORATED PLACE|C1|A|Winston County
AL|01|00676|02405125|Akron town|INCORPORATED PLACE|C1|A|Hale County
AL|01|00820|02403069|Alabaster city|INCORPORATED PLACE|C1|A|Shelby County
AL|01|00988|02403074|Albertville city|INCORPORATED PLACE|C1|A|Marshall County
AL|01|01132|02403077|Alexander City city|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|01180|02402638|Alexandria CDP|CENSUS DESIGNATED PLACE|U1|S|Calhoun County
AL|01|01228|02403080|Aliceville city|INCORPORATED PLACE|C1|A|Pickens County
AL|01|01396|02405136|Allgood town|INCORPORATED PLACE|C1|A|Blount County
AL|01|01660|02405146|Altoona town|INCORPORATED PLACE|C1|A|Blount County~~~Etowah County
AL|01|01708|02403097|Andalusia city|INCORPORATED PLACE|C1|A|Covington County
AL|01|01756|02405149|Anderson town|INCORPORATED PLACE|C1|A|Lauderdale County
AL|01|01852|02403101|Anniston city|INCORPORATED PLACE|C1|A|Calhoun County
AL|01|02116|02403104|Arab city|INCORPORATED PLACE|C1|A|Cullman County~~~Marshall County
AL|01|02260|02405163|Ardmore town|INCORPORATED PLACE|C1|A|Limestone County
AL|01|02320|02405164|Argo town|INCORPORATED PLACE|C1|A|Jefferson County~~~St. Clair County
AL|01|02428|02405166|Ariton town|INCORPORATED PLACE|C1|A|Dale County
AL|01|02500|02405167|Arley town|INCORPORATED PLACE|C1|A|Winston County
AL|01|02836|02405172|Ashford town|INCORPORATED PLACE|C1|A|Houston County
AL|01|02860|02405173|Ashland town|INCORPORATED PLACE|C1|A|Clay County
AL|01|02908|02403122|Ashville city|INCORPORATED PLACE|C1|A|St. Clair County
AL|01|02956|02403123|Athens city|INCORPORATED PLACE|C1|A|Limestone County
AL|01|03004|02403129|Atmore city|INCORPORATED PLACE|C1|A|Escambia County
AL|01|03028|02403130|Attalla city|INCORPORATED PLACE|C1|A|Etowah County
AL|01|03076|02403132|Auburn city|INCORPORATED PLACE|C1|A|Lee County
AL|01|03220|02405187|Autaugaville town|INCORPORATED PLACE|C1|A|Autauga County
AL|01|03364|02405191|Avon town|INCORPORATED PLACE|C1|A|Houston County
AL|01|03508|02628577|Axis CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County
AL|01|03556|02405195|Babbie town|INCORPORATED PLACE|C1|A|Covington County
AL|01|03676|02405198|Baileyton town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|03724|02405200|Bakerhill town|INCORPORATED PLACE|C1|A|Barbour County
AL|01|03820|02582662|Ballplay CDP|CENSUS DESIGNATED PLACE|U1|S|Etowah County
AL|01|03940|02405206|Banks town|INCORPORATED PLACE|C1|A|Pike County
AL|01|04660|02403825|Bay Minette city|INCORPORATED PLACE|C1|A|Baldwin County
AL|01|04684|02403828|Bayou La Batre city|INCORPORATED PLACE|C1|A|Mobile County
AL|01|04852|02405219|Bear Creek town|INCORPORATED PLACE|C1|A|Marion County
AL|01|04900|02405221|Beatrice town|INCORPORATED PLACE|C1|A|Monroe County
AL|01|04948|02405225|Beaverton town|INCORPORATED PLACE|C1|A|Lamar County
AL|01|05140|02628578|Belgreen CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
AL|01|05164|02405230|Belk town|INCORPORATED PLACE|C1|A|Fayette County
AL|01|05188|02628579|Bellamy CDP|CENSUS DESIGNATED PLACE|U1|S|Sumter County
AL|01|05212|02632282|Belle Fontaine CDP|CENSUS DESIGNATED PLACE|U2|S|Mobile County
AL|01|05692|02405243|Benton town|INCORPORATED PLACE|C1|A|Lowndes County
AL|01|05812|02797102|Berlin town|INCORPORATED PLACE|C1|A|Cullman County
AL|01|05932|02405250|Berry town|INCORPORATED PLACE|C1|A|Fayette County
AL|01|05980|02403864|Bessemer city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|06460|02405265|Billingsley town|INCORPORATED PLACE|C1|A|Autauga County
AL|01|07000|02403868|Birmingham city|INCORPORATED PLACE|C1|A|Jefferson County~~~Shelby County
AL|01|07120|02405270|Black town|INCORPORATED PLACE|C1|A|Geneva County
AL|01|07456|02405280|Blountsville town|INCORPORATED PLACE|C1|A|Blount County
AL|01|07588|02402696|Blue Ridge CDP|CENSUS DESIGNATED PLACE|U1|S|Elmore County
AL|01|07672|02405286|Blue Springs town|INCORPORATED PLACE|C1|A|Barbour County
AL|01|07912|02403886|Boaz city|INCORPORATED PLACE|C1|A|Etowah County~~~Marshall County
AL|01|08104|02405297|Boligee town|INCORPORATED PLACE|C1|A|Greene County
AL|01|08248|02405301|Bon Air town|INCORPORATED PLACE|C1|A|Talladega County
AL|01|08272|02633314|Bon Secour CDP|CENSUS DESIGNATED PLACE|U1|S|Baldwin County
AL|01|08680|02628580|Boykin CDP|CENSUS DESIGNATED PLACE|U1|S|Wilcox County
AL|01|09016|02405315|Brantley town|INCORPORATED PLACE|C1|A|Crenshaw County
AL|01|09064|02582663|Brantleyville CDP|CENSUS DESIGNATED PLACE|U1|S|Shelby County
AL|01|09136|02403918|Brent city|INCORPORATED PLACE|C1|A|Bibb County
AL|01|09208|02403921|Brewton city|INCORPORATED PLACE|C1|A|Escambia County
AL|01|09328|02403924|Bridgeport city|INCORPORATED PLACE|C1|A|Jackson County
AL|01|09400|02403925|Brighton city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|09424|02405321|Brilliant town|INCORPORATED PLACE|C1|A|Marion County
AL|01|09457|02582664|Bristow Cove CDP|CENSUS DESIGNATED PLACE|U2|S|Etowah County
AL|01|09500|02403203|Brook Highland CDP|CENSUS DESIGNATED PLACE|U1|S|Shelby County
AL|01|09736|02405331|Brookside town|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|09808|02405333|Brookwood town|INCORPORATED PLACE|C1|A|Tuscaloosa County
AL|01|09880|02582666|Broomtown CDP|CENSUS DESIGNATED PLACE|U1|S|Cherokee County
AL|01|10240|02403943|Brundidge city|INCORPORATED PLACE|C1|A|Pike County
AL|01|10456|02628581|Bucks CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County
AL|01|11032|02405351|Butler town|INCORPORATED PLACE|C1|A|Choctaw County
AL|01|11416|02403965|Calera city|INCORPORATED PLACE|C1|A|Chilton County~~~Shelby County
AL|01|11488|02628582|Calvert CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County~~~Washington County
AL|01|11512|02403975|Camden city|INCORPORATED PLACE|C1|A|Wilcox County
AL|01|11680|02405370|Camp Hill town|INCORPORATED PLACE|C1|A|Tallapoosa County
AL|01|12016|02403992|Carbon Hill city|INCORPORATED PLACE|C1|A|Walker County
AL|01|12040|02405377|Cardiff town|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|12070|02582667|Carlisle-Rockledge CDP|CENSUS DESIGNATED PLACE|U2|S|Etowah County
AL|01|12112|02628583|Carlton CDP|CENSUS DESIGNATED PLACE|U1|S|Clarke County
AL|01|12160|02405380|Carolina town|INCORPORATED PLACE|C1|A|Covington County
AL|01|12304|02405384|Carrollton town|INCORPORATED PLACE|C1|A|Pickens County
AL|01|12496|02406236|Castleberry town|INCORPORATED PLACE|C1|A|Conecuh County
AL|01|12544|02628584|Catherine CDP|CENSUS DESIGNATED PLACE|U1|S|Wilcox County
AL|01|12760|02406240|Cedar Bluff town|INCORPORATED PLACE|C1|A|Cherokee County
AL|01|13264|02404020|Center Point city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|13648|02404025|Centre city|INCORPORATED PLACE|C1|A|Cherokee County
AL|01|13672|02404026|Centreville city|INCORPORATED PLACE|C1|A|Bibb County
AL|01|14008|02406259|Chatom town|INCORPORATED PLACE|C1|A|Washington County
AL|01|14104|02404037|Chelsea city|INCORPORATED PLACE|C1|A|Shelby County
AL|01|14152|02406262|Cherokee town|INCORPORATED PLACE|C1|A|Colbert County
AL|01|14392|02404045|Chickasaw city|INCORPORATED PLACE|C1|A|Mobile County
AL|01|14464|02404048|Childersburg city|INCORPORATED PLACE|C1|A|Talladega County
AL|01|14728|02582668|Choccolocco CDP|CENSUS DESIGNATED PLACE|U1|S|Calhoun County
AL|01|14968|02628585|Chunchula CDP|CENSUS DESIGNATED PLACE|U1|S|Mobile County
AL|01|15064|02404051|Citronelle city|INCORPORATED PLACE|C1|A|Mobile County
AL|01|15136|02404052|Clanton city|INCORPORATED PLACE|C1|A|Chilton County
AL|01|15256|02404063|Clay city|INCORPORATED PLACE|C1|A|Jefferson County
AL|01|15304|02406273|Clayhatchee town|INCORPORATED PLACE|C1|A|Dale County
AL|01|15376|02406274|Clayton town|INCORPORATED PLACE|C1|A|Barbour County
AL|01|15472|02406278|Cleveland town|INCORPORATED PLACE|C1|A|Blount County
