STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
AK|02|00065|02419346|Adak city|INCORPORATED PLACE|C1|A|Aleutians West Census Area
AK|02|00650|02419347|Akhiok city|INCORPORATED PLACE|C1|A|Kodiak Island Borough
AK|02|00760|02418756|Akiachak CDP|CENSUS DESIGNATED PLACE|U1|S|Bethel Census Area
AK|02|00870|02419348|Akiak city|INCORPORATED PLACE|C1|A|Bethel Census Area
AK|02|01090|02419349|Akutan city|INCORPORATED PLACE|C1|A|Aleutians East Borough
AK|02|01200|02419350|Alakanuk city|INCORPORATED PLACE|C1|A|Kusilvak Census Area
AK|02|01305|02418761|Alatna CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|01390|02418762|Alcan Border CDP|CENSUS DESIGNATED PLACE|U2|S|Southeast Fairbanks Census Area
AK|02|01420|02419351|Aleknagik city|INCORPORATED PLACE|C1|A|Dillingham Census Area
AK|02|01560|02418764|Aleneva CDP|CENSUS DESIGNATED PLACE|U1|S|Kodiak Island Borough
AK|02|01860|02419352|Allakaket city|INCORPORATED PLACE|C1|A|Yukon-Koyukuk Census Area
AK|02|01970|02419353|Ambler city|INCORPORATED PLACE|C1|A|Northwest Arctic Borough
AK|02|02080|02419354|Anaktuvuk Pass city|INCORPORATED PLACE|C1|A|North Slope Borough
AK|02|03000|02419025|Anchorage municipality|INCORPORATED PLACE|C1|A|Anchorage Municipality
AK|02|03110|02418770|Anchor Point CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|03220|02419355|Anderson city|INCORPORATED PLACE|C1|A|Denali Borough
AK|02|03440|02419356|Angoon city|INCORPORATED PLACE|C1|A|Hoonah-Angoon Census Area
AK|02|03550|02419357|Aniak city|INCORPORATED PLACE|C1|A|Bethel Census Area
AK|02|03880|02419358|Anvik city|INCORPORATED PLACE|C1|A|Yukon-Koyukuk Census Area
AK|02|03990|02418777|Arctic Village CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|04210|02419359|Atka city|INCORPORATED PLACE|C1|A|Aleutians West Census Area
AK|02|04430|02418781|Atmautluak CDP|CENSUS DESIGNATED PLACE|U1|S|Bethel Census Area
AK|02|04500|02419360|Atqasuk city|INCORPORATED PLACE|C1|A|North Slope Borough
AK|02|04670|02418783|Attu Station CDP|CENSUS DESIGNATED PLACE|U2|S|Aleutians West Census Area
AK|02|05000|02582709|Badger CDP|CENSUS DESIGNATED PLACE|U1|S|Fairbanks North Star Borough
AK|02|05585|02418785|Bear Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|05750|02418787|Beaver CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|06245|02418789|Beluga CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|06520|02419362|Bethel city|INCORPORATED PLACE|C1|A|Bethel Census Area
AK|02|06630|02419363|Bettles city|INCORPORATED PLACE|C1|A|Yukon-Koyukuk Census Area
AK|02|06850|02418791|Big Delta CDP|CENSUS DESIGNATED PLACE|U1|S|Southeast Fairbanks Census Area
AK|02|07070|02418792|Big Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Matanuska-Susitna Borough
AK|02|07620|02418795|Birch Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|08740|02419364|Brevig Mission city|INCORPORATED PLACE|C1|A|Nome Census Area
AK|02|09600|02419365|Buckland city|INCORPORATED PLACE|C1|A|Northwest Arctic Borough
AK|02|09657|02418798|Buffalo Soapstone CDP|CENSUS DESIGNATED PLACE|U2|S|Matanuska-Susitna Borough
AK|02|09710|02418799|Butte CDP|CENSUS DESIGNATED PLACE|U1|S|Matanuska-Susitna Borough
AK|02|10150|02418801|Cantwell CDP|CENSUS DESIGNATED PLACE|U1|S|Denali Borough
AK|02|11690|02418803|Central CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|11800|02418805|Chalkyitsik CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|12350|02418806|Chase CDP|CENSUS DESIGNATED PLACE|U1|S|Matanuska-Susitna Borough
AK|02|12680|02419366|Chefornak city|INCORPORATED PLACE|C1|A|Bethel Census Area
AK|02|12920|02582710|Chena Ridge CDP|CENSUS DESIGNATED PLACE|U1|S|Fairbanks North Star Borough
AK|02|12970|02418809|Chenega CDP|CENSUS DESIGNATED PLACE|U1|S|Chugach Census Area
AK|02|13230|02419367|Chevak city|INCORPORATED PLACE|C1|A|Kusilvak Census Area
AK|02|13340|02418817|Chickaloon CDP|CENSUS DESIGNATED PLACE|U1|S|Matanuska-Susitna Borough
AK|02|13450|02418819|Chicken CDP|CENSUS DESIGNATED PLACE|U1|S|Southeast Fairbanks Census Area
AK|02|13550|02419368|Chignik city|INCORPORATED PLACE|C1|A|Lake and Peninsula Borough
AK|02|13670|02418822|Chignik Lagoon CDP|CENSUS DESIGNATED PLACE|U1|S|Lake and Peninsula Borough
AK|02|13780|02418824|Chignik Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Lake and Peninsula Borough
AK|02|13860|02418827|Chiniak CDP|CENSUS DESIGNATED PLACE|U1|S|Kodiak Island Borough
AK|02|13890|02418828|Chisana CDP|CENSUS DESIGNATED PLACE|U1|S|Copper River Census Area
AK|02|14000|02418830|Chistochina CDP|CENSUS DESIGNATED PLACE|U1|S|Copper River Census Area
AK|02|14110|02418832|Chitina CDP|CENSUS DESIGNATED PLACE|U1|S|Copper River Census Area
AK|02|14330|02419369|Chuathbaluk city|INCORPORATED PLACE|C1|A|Bethel Census Area
AK|02|14880|02418837|Circle CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|15320|02418838|Clam Gulch CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|15430|02419370|Clark's Point city|INCORPORATED PLACE|C1|A|Dillingham Census Area
AK|02|16360|02419371|Coffman Cove city|INCORPORATED PLACE|C1|A|Prince of Wales-Hyder Census Area
AK|02|16420|02418842|Cohoe CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|16530|02419372|Cold Bay city|INCORPORATED PLACE|C1|A|Aleutians East Borough
AK|02|16630|02418843|Coldfoot CDP|CENSUS DESIGNATED PLACE|U1|S|Yukon-Koyukuk Census Area
AK|02|16750|02418844|College CDP|CENSUS DESIGNATED PLACE|U1|S|Fairbanks North Star Borough
AK|02|17190|02418845|Cooper Landing CDP|CENSUS DESIGNATED PLACE|U1|S|Kenai Peninsula Borough
AK|02|17300|02418847|Copper Center CDP|CENSUS DESIGNATED PLACE|U1|S|Copper River Census Area
