STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
AZ|04|00730|02582720|Aguila CDP|CENSUS DESIGNATED PLACE|U1|S|Maricopa County
AZ|04|00870|02407704|Ajo CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|00940|02582721|Ak Chin CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|01090|02407705|Ak-Chin Village CDP|CENSUS DESIGNATED PLACE|U1|S|Pinal County
AZ|04|01170|02582722|Alamo Lake CDP|CENSUS DESIGNATED PLACE|U2|S|La Paz County
AZ|04|01560|02582723|Ali Chuk CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|01570|02582724|Ali Chukson CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|01620|02582725|Ali Molina CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|01920|02582726|Alpine CDP|CENSUS DESIGNATED PLACE|U1|S|Apache County
AZ|04|01990|02407737|Amado CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Cruz County
AZ|04|02270|02582727|Anegam CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|02410|02582728|Antares CDP|CENSUS DESIGNATED PLACE|U1|S|Mohave County
AZ|04|02430|02582729|Anthem CDP|CENSUS DESIGNATED PLACE|U1|S|Maricopa County
AZ|04|02830|02409718|Apache Junction city|INCORPORATED PLACE|C1|A|Maricopa County~~~Pinal County
AZ|04|03320|02582730|Arivaca CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|03380|02582731|Arivaca Junction CDP|CENSUS DESIGNATED PLACE|U1|S|Pima County
AZ|04|03530|02407758|Arizona City CDP|CENSUS DESIGNATED PLACE|U1|S|Pinal County
AZ|04|03915|02407759|Arizona Village CDP|CENSUS DESIGNATED PLACE|U1|S|Mohave County
AZ|04|04020|02582732|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Maricopa County
