STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
AR|05|00190|02805613|Acorn CDP|CENSUS DESIGNATED PLACE|U1|S|Polk County
AR|05|00250|02403065|Adona city|INCORPORATED PLACE|C1|A|Perry County
AR|05|00580|02403076|Alexander city|INCORPORATED PLACE|C1|A|Pulaski County~~~Saline County
AR|05|00700|02405134|Alicia town|INCORPORATED PLACE|C1|A|Lawrence County
AR|05|00730|02805614|Alix CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
AR|05|00820|02805615|Alleene CDP|CENSUS DESIGNATED PLACE|U1|S|Little River County
AR|05|00940|02405139|Allport town|INCORPORATED PLACE|C1|A|Lonoke County
AR|05|00970|02403086|Alma city|INCORPORATED PLACE|C1|A|Crawford County
AR|05|01030|02405140|Almyra town|INCORPORATED PLACE|C1|A|Arkansas County
AR|05|01060|02405141|Alpena town|INCORPORATED PLACE|C1|A|Boone County~~~Carroll County
AR|05|01090|02805616|Alpine CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
AR|05|01150|02403090|Altheimer city|INCORPORATED PLACE|C1|A|Jefferson County
AR|05|01210|02403091|Altus city|INCORPORATED PLACE|C1|A|Franklin County
AR|05|01270|02405147|Amagon town|INCORPORATED PLACE|C1|A|Jackson County
AR|05|01360|02403094|Amity city|INCORPORATED PLACE|C1|A|Clark County
AR|05|01457|02405155|Anthonyville town|INCORPORATED PLACE|C1|A|Crittenden County
AR|05|01540|02405156|Antoine town|INCORPORATED PLACE|C1|A|Pike County
AR|05|01630|02805617|Aplin CDP|CENSUS DESIGNATED PLACE|U1|S|Perry County
AR|05|01660|02805618|Appleton CDP|CENSUS DESIGNATED PLACE|U1|S|Pope County
AR|05|01870|02403111|Arkadelphia city|INCORPORATED PLACE|C1|A|Clark County
AR|05|01990|02403112|Arkansas City city|INCORPORATED PLACE|C1|A|Desha County
AR|05|02230|02805619|Armorel CDP|CENSUS DESIGNATED PLACE|U1|S|Mississippi County
AR|05|02380|02403118|Ashdown city|INCORPORATED PLACE|C1|A|Little River County
AR|05|02470|02403116|Ash Flat city|INCORPORATED PLACE|C1|A|Fulton County~~~Sharp County
AR|05|02590|02403125|Atkins city|INCORPORATED PLACE|C1|A|Pope County
AR|05|02680|02405183|Aubrey town|INCORPORATED PLACE|C1|A|Lee County
AR|05|02740|02403137|Augusta city|INCORPORATED PLACE|C1|A|Woodruff County
AR|05|02860|02403140|Austin city|INCORPORATED PLACE|C1|A|Lonoke County
AR|05|03010|02612123|Avilla CDP|CENSUS DESIGNATED PLACE|U1|S|Saline County
AR|05|03040|02405190|Avoca town|INCORPORATED PLACE|C1|A|Benton County
AR|05|03280|02403148|Bald Knob city|INCORPORATED PLACE|C1|A|White County
AR|05|03430|02405207|Banks town|INCORPORATED PLACE|C1|A|Bradley County
AR|05|03640|02403158|Barling city|INCORPORATED PLACE|C1|A|Sebastian County
AR|05|03940|02405212|Bassett town|INCORPORATED PLACE|C1|A|Mississippi County
AR|05|03970|02805620|Batavia CDP|CENSUS DESIGNATED PLACE|U1|S|Boone County
AR|05|04030|02403819|Batesville city|INCORPORATED PLACE|C1|A|Independence County
AR|05|04090|02405215|Bauxite town|INCORPORATED PLACE|C1|A|Saline County
