STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
CA|06|00135|02582926|Acalanes Ridge CDP|CENSUS DESIGNATED PLACE|U1|S|Contra Costa County
CA|06|00156|02629758|Acampo CDP|CENSUS DESIGNATED PLACE|U1|S|San Joaquin County
CA|06|00212|02407697|Acton CDP|CENSUS DESIGNATED PLACE|U1|S|Los Angeles County
CA|06|00296|02409663|Adelanto city|INCORPORATED PLACE|C1|A|San Bernardino County
CA|06|00310|02582927|Adin CDP|CENSUS DESIGNATED PLACE|U1|S|Modoc County
CA|06|00394|02409666|Agoura Hills city|INCORPORATED PLACE|C1|A|Los Angeles County
CA|06|00450|02582928|Agua Dulce CDP|CENSUS DESIGNATED PLACE|U1|S|Los Angeles County
CA|06|00464|02582929|Aguanga CDP|CENSUS DESIGNATED PLACE|U1|S|Riverside County
CA|06|00478|02628702|Ahwahnee CDP|CENSUS DESIGNATED PLACE|U1|S|Madera County
CA|06|00535|02583084|Airport CDP|CENSUS DESIGNATED PLACE|U2|S|Stanislaus County
CA|06|00562|02409669|Alameda city|INCORPORATED PLACE|C1|A|Alameda County
CA|06|00618|02407707|Alamo CDP|CENSUS DESIGNATED PLACE|U1|S|Contra Costa County
CA|06|00674|02409674|Albany city|INCORPORATED PLACE|C1|A|Alameda County
CA|06|00716|02628703|Albion CDP|CENSUS DESIGNATED PLACE|U1|S|Mendocino County
CA|06|00786|02611374|Alderpoint CDP|CENSUS DESIGNATED PLACE|U1|S|Humboldt County
CA|06|00884|02409681|Alhambra city|INCORPORATED PLACE|C1|A|Los Angeles County
CA|06|00898|02582930|Alhambra Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Contra Costa County
CA|06|00947|02409683|Aliso Viejo city|INCORPORATED PLACE|C1|A|Orange County
CA|06|00982|02582931|Alleghany CDP|CENSUS DESIGNATED PLACE|U1|S|Sierra County
CA|06|00996|02582932|Allendale CDP|CENSUS DESIGNATED PLACE|U1|S|Solano County
CA|06|01010|02585402|Allensworth CDP|CENSUS DESIGNATED PLACE|U1|S|Tulare County
