STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
CO|08|00320|02407696|Acres Green CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
CO|08|00620|02583206|Aetna Estates CDP|CENSUS DESIGNATED PLACE|U2|S|Arapahoe County
CO|08|00760|02412339|Aguilar town|INCORPORATED PLACE|C1|A|Las Animas County
CO|08|00870|02407701|Air Force Academy CDP|CENSUS DESIGNATED PLACE|M2|S|El Paso County
CO|08|00925|02412340|Akron town|INCORPORATED PLACE|C1|A|Washington County
CO|08|01090|02409673|Alamosa city|INCORPORATED PLACE|C1|A|Alamosa County
CO|08|01145|02407709|Alamosa East CDP|CENSUS DESIGNATED PLACE|U2|S|Alamosa County
CO|08|01420|02407720|Allenspark CDP|CENSUS DESIGNATED PLACE|U1|S|Boulder County
CO|08|01530|02412350|Alma town|INCORPORATED PLACE|C1|A|Park County
CO|08|01640|02583207|Alpine CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Grande County
CO|08|01740|02583208|Altona CDP|CENSUS DESIGNATED PLACE|U1|S|Boulder County
CO|08|01915|02583209|Amherst CDP|CENSUS DESIGNATED PLACE|U1|S|Phillips County
CO|08|02355|02412370|Antonito town|INCORPORATED PLACE|C1|A|Conejos County
CO|08|02575|02407749|Applewood CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
CO|08|02850|02804445|Arapahoe CDP|CENSUS DESIGNATED PLACE|U1|S|Cheyenne County
CO|08|02905|02407753|Arboles CDP|CENSUS DESIGNATED PLACE|U1|S|Archuleta County
CO|08|03015|02407757|Aristocrat Ranchettes CDP|CENSUS DESIGNATED PLACE|U1|S|Weld County
CO|08|03235|02411647|Arriba town|INCORPORATED PLACE|C1|A|Lincoln County
CO|08|03455|02409737|Arvada city|INCORPORATED PLACE|C1|A|Adams County~~~Jefferson County
CO|08|03620|02409743|Aspen city|INCORPORATED PLACE|C1|A|Pitkin County
CO|08|03730|02407775|Aspen Park CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
CO|08|03840|02407778|Atwood CDP|CENSUS DESIGNATED PLACE|U1|S|Logan County
CO|08|03950|02411653|Ault town|INCORPORATED PLACE|C1|A|Weld County
CO|08|04000|02409757|Aurora city|INCORPORATED PLACE|C1|A|Adams County~~~Arapahoe County~~~Douglas County
CO|08|04110|02411658|Avon town|INCORPORATED PLACE|C1|A|Eagle County
CO|08|04165|02407788|Avondale CDP|CENSUS DESIGNATED PLACE|U1|S|Pueblo County
CO|08|04620|02583210|Bark Ranch CDP|CENSUS DESIGNATED PLACE|U1|S|Boulder County
CO|08|04935|02411665|Basalt town|INCORPORATED PLACE|C1|A|Eagle County~~~Pitkin County
CO|08|05120|02407805|Battlement Mesa CDP|CENSUS DESIGNATED PLACE|U1|S|Garfield County
CO|08|05265|02411667|Bayfield town|INCORPORATED PLACE|C1|A|La Plata County
CO|08|06090|02411676|Bennett town|INCORPORATED PLACE|C1|A|Adams County~~~Arapahoe County
CO|08|06172|02407830|Berkley CDP|CENSUS DESIGNATED PLACE|U1|S|Adams County
CO|08|06255|02411681|Berthoud town|INCORPORATED PLACE|C1|A|Larimer County~~~Weld County
CO|08|06530|02411684|Bethune town|INCORPORATED PLACE|C1|A|Kit Carson County
CO|08|06602|02407835|Beulah Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Pueblo County
CO|08|06970|02407856|Black Forest CDP|CENSUS DESIGNATED PLACE|U1|S|El Paso County
CO|08|07025|02409856|Black Hawk city|INCORPORATED PLACE|C1|A|Gilpin County
CO|08|07190|02411696|Blanca town|INCORPORATED PLACE|C1|A|Costilla County
CO|08|07245|02583212|Blende CDP|CENSUS DESIGNATED PLACE|U1|S|Pueblo County
CO|08|07410|02411700|Blue River town|INCORPORATED PLACE|C1|A|Summit County
CO|08|07420|02583213|Blue Sky CDP|CENSUS DESIGNATED PLACE|U2|S|Morgan County
CO|08|07455|02812662|Blue Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Clear Creek County
CO|08|07571|02411706|Bonanza town|INCORPORATED PLACE|C1|A|Saguache County
CO|08|07580|02583214|Bonanza Mountain Estates CDP|CENSUS DESIGNATED PLACE|U1|S|Boulder County
CO|08|07795|02411709|Boone town|INCORPORATED PLACE|C1|A|Pueblo County
CO|08|07850|02409883|Boulder city|INCORPORATED PLACE|C1|A|Boulder County
CO|08|08070|02411713|Bow Mar town|INCORPORATED PLACE|C1|A|Arapahoe County~~~Jefferson County
CO|08|08290|02583215|Brandon CDP|CENSUS DESIGNATED PLACE|U1|S|Kiowa County
CO|08|08345|02411720|Branson town|INCORPORATED PLACE|C1|A|Las Animas County
CO|08|08400|02411722|Breckenridge town|INCORPORATED PLACE|C1|A|Summit County
CO|08|08530|02583216|Brick Center CDP|CENSUS DESIGNATED PLACE|U2|S|Arapahoe County
CO|08|08620|02805927|Briggsdale CDP|CENSUS DESIGNATED PLACE|U1|S|Weld County
CO|08|08675|02409911|Brighton city|INCORPORATED PLACE|C1|A|Adams County~~~Weld County
CO|08|08950|02804446|Brook Forest CDP|CENSUS DESIGNATED PLACE|U1|S|Clear Creek County~~~Jefferson County
CO|08|09115|02411733|Brookside town|INCORPORATED PLACE|C1|A|Fremont County
CO|08|09280|02409919|Broomfield city|INCORPORATED PLACE|C1|A|Broomfield County
CO|08|09555|02409926|Brush city|INCORPORATED PLACE|C1|A|Morgan County
CO|08|10105|02411739|Buena Vista town|INCORPORATED PLACE|C1|A|Chaffee County
CO|08|10600|02409946|Burlington city|INCORPORATED PLACE|C1|A|Kit Carson County
CO|08|10985|02407933|Byers CDP|CENSUS DESIGNATED PLACE|U1|S|Arapahoe County
