STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
CT|09|01150|02378267|Ansonia city|INCORPORATED PLACE|C1|A|New Haven County
CT|09|02480|02805928|Ball Pond CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|02550|02631548|Baltic CDP|CENSUS DESIGNATED PLACE|U1|S|New London County
CT|09|02690|02378268|Bantam borough|INCORPORATED PLACE|C1|A|Litchfield County
CT|09|04790|02378335|Bethel CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|04945|02378336|Bethlehem Village CDP|CENSUS DESIGNATED PLACE|U2|S|Litchfield County
CT|09|04965|02805929|Bigelow Corners CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|06050|02378337|Blue Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Hartford County
CT|09|06155|02805930|Bogus Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|06680|02812663|Botsford CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|07100|02805932|Branchville CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|07345|02378338|Branford Center CDP|CENSUS DESIGNATED PLACE|U2|S|New Haven County
CT|09|08000|02378269|Bridgeport city|INCORPORATED PLACE|C1|A|Fairfield County
CT|09|08140|02805976|Bridgewater CDP|CENSUS DESIGNATED PLACE|U1|S|Litchfield County
CT|09|08420|02378270|Bristol city|INCORPORATED PLACE|C1|A|Hartford County
CT|09|08770|02378339|Broad Brook CDP|CENSUS DESIGNATED PLACE|U1|S|Hartford County
CT|09|08910|02805933|Brookfield Center CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|09120|02631560|Brooklyn CDP|CENSUS DESIGNATED PLACE|U1|S|Windham County
CT|09|10660|02631559|Byram CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|10870|02378340|Canaan CDP|CENSUS DESIGNATED PLACE|U1|S|Litchfield County
CT|09|11360|02805934|Candlewood Isle CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|11430|02805936|Candlewood Knolls CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|11500|02805937|Candlewood Lake Club CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County~~~Litchfield County
CT|09|11640|02805938|Candlewood Orchards CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|11780|02805939|Candlewood Shores CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|11990|02631221|Cannondale CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|12370|02378341|Canton Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Hartford County
CT|09|14200|02378345|Cheshire Village CDP|CENSUS DESIGNATED PLACE|U2|S|New Haven County
CT|09|14370|02378346|Chester Center CDP|CENSUS DESIGNATED PLACE|U2|S|Middlesex County
CT|09|14615|02805978|Chimney Point CDP|CENSUS DESIGNATED PLACE|U1|S|Litchfield County
CT|09|15420|02378347|Clinton CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
CT|09|15840|02378348|Colchester CDP|CENSUS DESIGNATED PLACE|U1|S|New London County
CT|09|16085|02805087|Coleytown CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|16120|02378349|Collinsville CDP|CENSUS DESIGNATED PLACE|U1|S|Hartford County
CT|09|16525|02805088|Compo CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|16960|02377810|Conning Towers-Nautilus Park CDP|CENSUS DESIGNATED PLACE|M2|S|New London County
CT|09|17170|02805980|Cornwall CDP|CENSUS DESIGNATED PLACE|U1|S|Litchfield County
CT|09|17310|02805981|Cornwall Bridge CDP|CENSUS DESIGNATED PLACE|U1|S|Litchfield County
CT|09|17520|02631561|Cos Cob CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
CT|09|17835|02377811|Coventry Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Tolland County
CT|09|18220|02377812|Crystal Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Tolland County
CT|09|18430|02378271|Danbury city|INCORPORATED PLACE|C1|A|Fairfield County
CT|09|18675|02805070|Daniels Farm CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfield County
