STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
FL|12|00075|02628517|Acacia Villas CDP|CENSUS DESIGNATED PLACE|U1|S|Palm Beach County
FL|12|00375|02403070|Alachua city|INCORPORATED PLACE|C1|A|Alachua County
FL|12|00410|02583321|Alafaya CDP|CENSUS DESIGNATED PLACE|U1|S|Orange County
FL|12|00625|02405131|Alford town|INCORPORATED PLACE|C1|A|Jackson County
FL|12|00800|02583322|Allentown CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Rosa County
FL|12|00950|02403089|Altamonte Springs city|INCORPORATED PLACE|C1|A|Seminole County
FL|12|01000|02405144|Altha town|INCORPORATED PLACE|C1|A|Calhoun County
FL|12|01050|02402641|Altoona CDP|CENSUS DESIGNATED PLACE|U1|S|Lake County
FL|12|01100|02583323|Alturas CDP|CENSUS DESIGNATED PLACE|U1|S|Polk County
FL|12|01125|02402642|Alva CDP|CENSUS DESIGNATED PLACE|U1|S|Lee County
FL|12|01353|02402646|Andrews CDP|CENSUS DESIGNATED PLACE|U1|S|Levy County
FL|12|01475|02403100|Anna Maria city|INCORPORATED PLACE|C1|A|Manatee County
FL|12|01625|02403102|Apalachicola city|INCORPORATED PLACE|C1|A|Franklin County
FL|12|01675|02402649|Apollo Beach CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
FL|12|01700|02403103|Apopka city|INCORPORATED PLACE|C1|A|Orange County
FL|12|01750|02403107|Arcadia city|INCORPORATED PLACE|C1|A|DeSoto County
FL|12|01775|02403109|Archer city|INCORPORATED PLACE|C1|A|Alachua County
FL|12|01875|02583324|Aripeka CDP|CENSUS DESIGNATED PLACE|U1|S|Hernando County~~~Pasco County
FL|12|02187|02402652|Asbury Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Clay County
FL|12|02250|02405177|Astatula town|INCORPORATED PLACE|C1|A|Lake County
FL|12|02275|02402654|Astor CDP|CENSUS DESIGNATED PLACE|U1|S|Lake County
FL|12|02400|02403127|Atlantic Beach city|INCORPORATED PLACE|C1|A|Duval County
FL|12|02500|02403128|Atlantis city|INCORPORATED PLACE|C1|A|Palm Beach County
FL|12|02550|02403135|Auburndale city|INCORPORATED PLACE|C1|A|Polk County
FL|12|02575|02628518|Aucilla CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
FL|12|02660|02629553|Avalon CDP|CENSUS DESIGNATED PLACE|U2|S|Santa Rosa County
FL|12|02677|02806000|Ave Maria CDP|CENSUS DESIGNATED PLACE|U1|S|Collier County
FL|12|02681|02403141|Aventura city|INCORPORATED PLACE|C1|A|Miami-Dade County
FL|12|02750|02403143|Avon Park city|INCORPORATED PLACE|C1|A|Highlands County
FL|12|02850|02402657|Azalea Park CDP|CENSUS DESIGNATED PLACE|U1|S|Orange County
FL|12|02900|02402658|Babson Park CDP|CENSUS DESIGNATED PLACE|U1|S|Polk County
FL|12|02925|02402659|Bagdad CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Rosa County
FL|12|03250|02405203|Baldwin town|INCORPORATED PLACE|C1|A|Duval County
FL|12|03275|02407413|Bal Harbour village|INCORPORATED PLACE|C1|A|Miami-Dade County
FL|12|03375|02583326|Balm CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
FL|12|03480|02583327|Bardmoor CDP|CENSUS DESIGNATED PLACE|U1|S|Pinellas County
FL|12|03675|02403163|Bartow city|INCORPORATED PLACE|C1|A|Polk County
FL|12|03725|02405210|Bascom town|INCORPORATED PLACE|C1|A|Jackson County
