STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
HI|15|00400|02413991|Ahuimanu CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|00550|02413992|Aiea CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|01085|02413993|Ainaloa CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|02200|02413994|Anahola CDP|CENSUS DESIGNATED PLACE|U1|S|Kauai County
HI|15|02832|02806891|Black Sands CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|03850|02414004|Captain Cook CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|05900|02629944|Discovery Harbour CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|06290|02583416|East Honolulu CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|06300|02806909|East Kapolei CDP|CENSUS DESIGNATED PLACE|U1|S|Honolulu County
HI|15|06325|02414012|Eden Roc CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|07000|02414013|Eleele CDP|CENSUS DESIGNATED PLACE|U1|S|Kauai County
HI|15|07450|02414014|Ewa Beach CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|07470|02414015|Ewa Gentry CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|07485|02414016|Ewa Villages CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|07542|02414017|Fern Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|07675|02414018|Fern Forest CDP|CENSUS DESIGNATED PLACE|U1|S|Hawaii County
HI|15|08950|02583417|Haena CDP|CENSUS DESIGNATED PLACE|U2|S|Kauai County
HI|15|09260|02414025|Haiku-Pauwela CDP|CENSUS DESIGNATED PLACE|U2|S|Maui County
HI|15|09700|02414026|Halaula CDP|CENSUS DESIGNATED PLACE|U2|S|Hawaii County
HI|15|10000|02414027|Halawa CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|10750|02414028|Haleiwa CDP|CENSUS DESIGNATED PLACE|U2|S|Honolulu County
HI|15|10900|02414029|Haliimaile CDP|CENSUS DESIGNATED PLACE|U2|S|Maui County
