STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
ID|16|00100|02409654|Aberdeen city|INCORPORATED PLACE|C1|A|Bingham County
ID|16|00280|02409658|Acequia city|INCORPORATED PLACE|C1|A|Minidoka County
ID|16|01000|02409677|Albion city|INCORPORATED PLACE|C1|A|Cassia County
ID|16|01900|02409696|American Falls city|INCORPORATED PLACE|C1|A|Power County
ID|16|01990|02409701|Ammon city|INCORPORATED PLACE|C1|A|Bonneville County
ID|16|02935|02407754|Arbon Valley CDP|CENSUS DESIGNATED PLACE|U2|S|Power County
ID|16|03160|02409725|Arco city|INCORPORATED PLACE|C1|A|Butte County
ID|16|03340|02409729|Arimo city|INCORPORATED PLACE|C1|A|Bannock County
ID|16|03610|02409741|Ashton city|INCORPORATED PLACE|C1|A|Fremont County
ID|16|03700|02409748|Athol city|INCORPORATED PLACE|C1|A|Kootenai County
ID|16|03970|02409751|Atomic City city|INCORPORATED PLACE|C1|A|Bingham County
ID|16|04105|02806607|Avimor CDP|CENSUS DESIGNATED PLACE|U1|S|Ada County
ID|16|04420|02409780|Bancroft city|INCORPORATED PLACE|C1|A|Caribou County
ID|16|04600|02585566|Banks CDP|CENSUS DESIGNATED PLACE|U1|S|Boise County
ID|16|05230|02409794|Basalt city|INCORPORATED PLACE|C1|A|Bingham County
ID|16|06220|02409819|Bellevue city|INCORPORATED PLACE|C1|A|Blaine County
ID|16|06670|02585567|Bennington CDP|CENSUS DESIGNATED PLACE|U1|S|Bear Lake County
ID|16|07840|02409857|Blackfoot city|INCORPORATED PLACE|C1|A|Bingham County
ID|16|08290|02585568|Blanchard CDP|CENSUS DESIGNATED PLACE|U1|S|Bonner County
ID|16|08470|02409864|Bliss city|INCORPORATED PLACE|C1|A|Gooding County
ID|16|08560|02409866|Bloomington city|INCORPORATED PLACE|C1|A|Bear Lake County
ID|16|08830|02409876|Boise City city|INCORPORATED PLACE|C1|A|Ada County
ID|16|09370|02409879|Bonners Ferry city|INCORPORATED PLACE|C1|A|Boundary County
ID|16|09730|02409886|Bovill city|INCORPORATED PLACE|C1|A|Latah County
ID|16|10450|02806611|Bruneau CDP|CENSUS DESIGNATED PLACE|U1|S|Owyhee County
ID|16|10810|02409935|Buhl city|INCORPORATED PLACE|C1|A|Twin Falls County
ID|16|11260|02409944|Burley city|INCORPORATED PLACE|C1|A|Cassia County~~~Minidoka County
ID|16|11710|02409950|Butte City city|INCORPORATED PLACE|C1|A|Butte County
ID|16|12250|02409956|Caldwell city|INCORPORATED PLACE|C1|A|Canyon County
ID|16|12520|02409968|Cambridge city|INCORPORATED PLACE|C1|A|Washington County
ID|16|12790|02409982|Carey city|INCORPORATED PLACE|C1|A|Blaine County
ID|16|13150|02409402|Cascade city|INCORPORATED PLACE|C1|A|Valley County
ID|16|13240|02409410|Castleford city|INCORPORATED PLACE|C1|A|Twin Falls County
ID|16|13780|02409432|Challis city|INCORPORATED PLACE|C1|A|Custer County
ID|16|14680|02409460|Chubbuck city|INCORPORATED PLACE|C1|A|Bannock County
ID|16|14950|02409468|Clark Fork city|INCORPORATED PLACE|C1|A|Bonner County
ID|16|15490|02409475|Clayton city|INCORPORATED PLACE|C1|A|Custer County
ID|16|16120|02409483|Clifton city|INCORPORATED PLACE|C1|A|Franklin County
ID|16|16750|02410187|Coeur d'Alene city|INCORPORATED PLACE|C1|A|Kootenai County
ID|16|17830|02585569|Conkling Park CDP|CENSUS DESIGNATED PLACE|U1|S|Kootenai County
ID|16|18010|02804061|Coolin CDP|CENSUS DESIGNATED PLACE|U1|S|Bonner County
ID|16|18640|02410243|Cottonwood city|INCORPORATED PLACE|C1|A|Idaho County
ID|16|18820|02410248|Council city|INCORPORATED PLACE|C1|A|Adams County
ID|16|19270|02410256|Craigmont city|INCORPORATED PLACE|C1|A|Lewis County
ID|16|19720|02410268|Crouch city|INCORPORATED PLACE|C1|A|Boise County
ID|16|19900|02410274|Culdesac city|INCORPORATED PLACE|C1|A|Nez Perce County
ID|16|20350|02410289|Dalton Gardens city|INCORPORATED PLACE|C1|A|Kootenai County
ID|16|20710|02410298|Dayton city|INCORPORATED PLACE|C1|A|Franklin County
ID|16|20890|02410306|Deary city|INCORPORATED PLACE|C1|A|Latah County
ID|16|20980|02410308|Declo city|INCORPORATED PLACE|C1|A|Cassia County
ID|16|21520|02583435|De Smet CDP|CENSUS DESIGNATED PLACE|U1|S|Benewah County
ID|16|21790|02410338|Dietrich city|INCORPORATED PLACE|C1|A|Lincoln County
ID|16|22330|02410346|Donnelly city|INCORPORATED PLACE|C1|A|Valley County
ID|16|22510|02410351|Dover city|INCORPORATED PLACE|C1|A|Bonner County
ID|16|22600|02410353|Downey city|INCORPORATED PLACE|C1|A|Bannock County
ID|16|22690|02410356|Driggs city|INCORPORATED PLACE|C1|A|Teton County
ID|16|22780|02410359|Drummond city|INCORPORATED PLACE|C1|A|Fremont County
ID|16|22960|02410364|Dubois city|INCORPORATED PLACE|C1|A|Clark County
ID|16|23410|02410378|Eagle city|INCORPORATED PLACE|C1|A|Ada County
ID|16|23680|02410387|East Hope city|INCORPORATED PLACE|C1|A|Bonner County
ID|16|24310|02410397|Eden city|INCORPORATED PLACE|C1|A|Jerome County
ID|16|25030|02585570|Elk City CDP|CENSUS DESIGNATED PLACE|U1|S|Idaho County
ID|16|25120|02410427|Elk River city|INCORPORATED PLACE|C1|A|Clearwater County
ID|16|25570|02410437|Emmett city|INCORPORATED PLACE|C1|A|Gem County
ID|16|26290|02410475|Fairfield city|INCORPORATED PLACE|C1|A|Camas County
ID|16|27460|02410495|Ferdinand city|INCORPORATED PLACE|C1|A|Idaho County
ID|16|27550|02410496|Fernan Lake Village city|INCORPORATED PLACE|C1|A|Kootenai County
ID|16|27640|02806609|Fernwood CDP|CENSUS DESIGNATED PLACE|U1|S|Benewah County
ID|16|27730|02410503|Filer city|INCORPORATED PLACE|C1|A|Twin Falls County
ID|16|27910|02410508|Firth city|INCORPORATED PLACE|C1|A|Bingham County
ID|16|28360|02408239|Fort Hall CDP|CENSUS DESIGNATED PLACE|U1|S|Bannock County~~~Bingham County
ID|16|28810|02410539|Franklin city|INCORPORATED PLACE|C1|A|Franklin County
ID|16|28990|02410554|Fruitland city|INCORPORATED PLACE|C1|A|Payette County
ID|16|29440|02806610|Gannett CDP|CENSUS DESIGNATED PLACE|U1|S|Blaine County
ID|16|29620|02410567|Garden City city|INCORPORATED PLACE|C1|A|Ada County
ID|16|29710|02585571|Garden Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Boise County
