STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IN|18|00140|02629862|Aberdeen CDP|CENSUS DESIGNATED PLACE|U1|S|Porter County
IN|18|00640|02397419|Advance town|INCORPORATED PLACE|C1|A|Boone County
IN|18|00748|02397420|Akron town|INCORPORATED PLACE|C1|A|Fulton County
IN|18|00784|02397421|Alamo town|INCORPORATED PLACE|C1|A|Montgomery County
IN|18|00802|02397422|Albany town|INCORPORATED PLACE|C1|A|Delaware County~~~Randolph County
IN|18|00820|02397423|Albion town|INCORPORATED PLACE|C1|A|Noble County
IN|18|00910|02393917|Alexandria city|INCORPORATED PLACE|C1|A|Madison County
IN|18|00964|02397424|Alfordsville town|INCORPORATED PLACE|C1|A|Daviess County
IN|18|01270|02397425|Alton town|INCORPORATED PLACE|C1|A|Crawford County
IN|18|01288|02397426|Altona town|INCORPORATED PLACE|C1|A|DeKalb County
IN|18|01342|02397427|Ambia town|INCORPORATED PLACE|C1|A|Benton County
IN|18|01360|02397428|Amboy town|INCORPORATED PLACE|C1|A|Miami County
IN|18|01396|02583445|Americus CDP|CENSUS DESIGNATED PLACE|U1|S|Tippecanoe County
IN|18|01450|02397430|Amo town|INCORPORATED PLACE|C1|A|Hendricks County
IN|18|01468|02393952|Anderson city|INCORPORATED PLACE|C1|A|Madison County
IN|18|01612|02397431|Andrews town|INCORPORATED PLACE|C1|A|Huntington County
IN|18|01666|02393958|Angola city|INCORPORATED PLACE|C1|A|Steuben County
IN|18|01954|02397435|Arcadia town|INCORPORATED PLACE|C1|A|Hamilton County
IN|18|02044|02397436|Argos town|INCORPORATED PLACE|C1|A|Marshall County
IN|18|02116|02629872|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Rush County
IN|18|02458|02397441|Ashley town|INCORPORATED PLACE|C1|A|DeKalb County~~~Steuben County
IN|18|02602|02397443|Atlanta town|INCORPORATED PLACE|C1|A|Hamilton County
IN|18|02620|02394018|Attica city|INCORPORATED PLACE|C1|A|Fountain County
IN|18|02674|02394022|Auburn city|INCORPORATED PLACE|C1|A|DeKalb County
