STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IA|19|00190|02393877|Ackley city|INCORPORATED PLACE|C1|A|Franklin County~~~Hardin County
IA|19|00235|02393878|Ackworth city|INCORPORATED PLACE|C1|A|Warren County
IA|19|00370|02393880|Adair city|INCORPORATED PLACE|C1|A|Adair County~~~Guthrie County
IA|19|00505|02393882|Adel city|INCORPORATED PLACE|C1|A|Dallas County
IA|19|00595|02393888|Afton city|INCORPORATED PLACE|C1|A|Union County
IA|19|00640|02393889|Agency city|INCORPORATED PLACE|C1|A|Wapello County
IA|19|00730|02393892|Ainsworth city|INCORPORATED PLACE|C1|A|Washington County
IA|19|00775|02393896|Akron city|INCORPORATED PLACE|C1|A|Plymouth County
IA|19|00865|02393901|Albert City city|INCORPORATED PLACE|C1|A|Buena Vista County
IA|19|00910|02393905|Albia city|INCORPORATED PLACE|C1|A|Monroe County
IA|19|00955|02393907|Albion city|INCORPORATED PLACE|C1|A|Marshall County
IA|19|01000|02393909|Alburnett city|INCORPORATED PLACE|C1|A|Linn County
IA|19|01045|02393911|Alden city|INCORPORATED PLACE|C1|A|Hardin County
IA|19|01090|02393915|Alexander city|INCORPORATED PLACE|C1|A|Franklin County
IA|19|01135|00467384|Algona city|INCORPORATED PLACE|C2|A|Kossuth County
IA|19|01180|02393920|Alleman city|INCORPORATED PLACE|C1|A|Polk County
IA|19|01270|02393922|Allerton city|INCORPORATED PLACE|C1|A|Wayne County
IA|19|01315|02393924|Allison city|INCORPORATED PLACE|C1|A|Butler County
IA|19|01495|02393929|Alta city|INCORPORATED PLACE|C1|A|Buena Vista County
IA|19|01540|02393930|Alta Vista city|INCORPORATED PLACE|C1|A|Chickasaw County
IA|19|01585|02393936|Alton city|INCORPORATED PLACE|C1|A|Sioux County
IA|19|01630|02393939|Altoona city|INCORPORATED PLACE|C1|A|Polk County
IA|19|01675|02393943|Alvord city|INCORPORATED PLACE|C1|A|Lyon County
