STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
KS|20|00100|02393875|Abbyville city|INCORPORATED PLACE|C1|A|Reno County
KS|20|00125|00485539|Abilene city|INCORPORATED PLACE|C5|A|Dickinson County
KS|20|00225|02583496|Ada CDP|CENSUS DESIGNATED PLACE|U1|S|Ottawa County
KS|20|00325|02393883|Admire city|INCORPORATED PLACE|C1|A|Lyon County
KS|20|00475|02393890|Agenda city|INCORPORATED PLACE|C1|A|Republic County
KS|20|00550|02393891|Agra city|INCORPORATED PLACE|C1|A|Phillips County
KS|20|00825|02393900|Albert city|INCORPORATED PLACE|C1|A|Barton County
KS|20|00950|02393912|Alden city|INCORPORATED PLACE|C1|A|Rice County
KS|20|01050|02393916|Alexander city|INCORPORATED PLACE|C1|A|Rush County
KS|20|01275|02393921|Allen city|INCORPORATED PLACE|C1|A|Lyon County
KS|20|01350|02393926|Alma city|INCORPORATED PLACE|C1|A|Wabaunsee County
KS|20|01425|02393927|Almena city|INCORPORATED PLACE|C1|A|Norton County
KS|20|01550|02393933|Altamont city|INCORPORATED PLACE|C1|A|Labette County
KS|20|01575|02393931|Alta Vista city|INCORPORATED PLACE|C1|A|Wabaunsee County
KS|20|01600|02393938|Alton city|INCORPORATED PLACE|C1|A|Osborne County
KS|20|01625|02393940|Altoona city|INCORPORATED PLACE|C1|A|Wilson County
KS|20|01675|02393946|Americus city|INCORPORATED PLACE|C1|A|Lyon County
KS|20|01725|02804486|Ames CDP|CENSUS DESIGNATED PLACE|U1|S|Cloud County
KS|20|01775|02393951|Andale city|INCORPORATED PLACE|C1|A|Sedgwick County
KS|20|01800|02393956|Andover city|INCORPORATED PLACE|C1|A|Butler County
KS|20|01975|00485540|Anthony city|INCORPORATED PLACE|C5|A|Harper County
KS|20|02175|02393974|Arcadia city|INCORPORATED PLACE|C1|A|Crawford County
KS|20|02250|02393981|Argonia city|INCORPORATED PLACE|C1|A|Sumner County
KS|20|02300|00485541|Arkansas City city|INCORPORATED PLACE|C5|A|Cowley County
KS|20|02325|02393987|Arlington city|INCORPORATED PLACE|C1|A|Reno County
KS|20|02375|02393988|Arma city|INCORPORATED PLACE|C1|A|Crawford County
KS|20|02600|02583497|Asherville CDP|CENSUS DESIGNATED PLACE|U1|S|Mitchell County
KS|20|02675|02393999|Ashland city|INCORPORATED PLACE|C1|A|Clark County
KS|20|02850|02394006|Assaria city|INCORPORATED PLACE|C1|A|Saline County
KS|20|02900|00485542|Atchison city|INCORPORATED PLACE|C5|A|Atchison County
KS|20|03025|02394011|Athol city|INCORPORATED PLACE|C1|A|Smith County
KS|20|03050|02394016|Atlanta city|INCORPORATED PLACE|C1|A|Cowley County
KS|20|03100|02394019|Attica city|INCORPORATED PLACE|C1|A|Harper County
KS|20|03150|02394021|Atwood city|INCORPORATED PLACE|C1|A|Rawlins County
KS|20|03250|02394025|Auburn city|INCORPORATED PLACE|C1|A|Shawnee County
KS|20|03300|00485543|Augusta city|INCORPORATED PLACE|C5|A|Butler County
KS|20|03425|02394035|Aurora city|INCORPORATED PLACE|C1|A|Cloud County
KS|20|03600|02394045|Axtell city|INCORPORATED PLACE|C1|A|Marshall County
KS|20|03675|02629152|Baileyville CDP|CENSUS DESIGNATED PLACE|U1|S|Nemaha County
KS|20|03800|02804655|Bala CDP|CENSUS DESIGNATED PLACE|U1|S|Riley County
KS|20|03900|02394055|Baldwin City city|INCORPORATED PLACE|C1|A|Douglas County
KS|20|04225|02394062|Barnard city|INCORPORATED PLACE|C1|A|Lincoln County
KS|20|04250|02394063|Barnes city|INCORPORATED PLACE|C1|A|Washington County
KS|20|04350|02394072|Bartlett city|INCORPORATED PLACE|C1|A|Labette County
KS|20|04400|02394073|Basehor city|INCORPORATED PLACE|C1|A|Leavenworth County
KS|20|04450|02394075|Bassett city|INCORPORATED PLACE|C1|A|Allen County
KS|20|04575|02806452|Bavaria CDP|CENSUS DESIGNATED PLACE|U1|S|Saline County
KS|20|04625|00485544|Baxter Springs city|INCORPORATED PLACE|C5|A|Cherokee County
KS|20|04775|02394091|Bazine city|INCORPORATED PLACE|C1|A|Ness County
KS|20|04900|02394097|Beattie city|INCORPORATED PLACE|C1|A|Marshall County
KS|20|04925|02806453|Beaumont CDP|CENSUS DESIGNATED PLACE|U1|S|Butler County
KS|20|04950|02804480|Beaver CDP|CENSUS DESIGNATED PLACE|U1|S|Barton County
KS|20|05337|00485545|Bel Aire city|INCORPORATED PLACE|C5|A|Sedgwick County
KS|20|05500|02394114|Belle Plaine city|INCORPORATED PLACE|C1|A|Sumner County
KS|20|05600|00485546|Belleville city|INCORPORATED PLACE|C5|A|Republic County
KS|20|05775|00485547|Beloit city|INCORPORATED PLACE|C5|A|Mitchell County
KS|20|05825|02394124|Belpre city|INCORPORATED PLACE|C1|A|Edwards County
