STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
KY|21|00298|02403061|Adairville city|INCORPORATED PLACE|C1|A|Logan County
KY|21|00514|02629564|Ages CDP|CENSUS DESIGNATED PLACE|U1|S|Harlan County
KY|21|00694|02403071|Albany city|INCORPORATED PLACE|C1|A|Clinton County
KY|21|00802|02403078|Alexandria city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|00946|02403082|Allen city|INCORPORATED PLACE|C1|A|Floyd County
KY|21|01000|02790839|Allensville CDP|CENSUS DESIGNATED PLACE|U1|S|Todd County
KY|21|01504|02403096|Anchorage city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|01648|02402647|Annville CDP|CENSUS DESIGNATED PLACE|U1|S|Jackson County
KY|21|01720|02629565|Anthoston CDP|CENSUS DESIGNATED PLACE|U1|S|Henderson County
KY|21|01972|02629566|Arjay CDP|CENSUS DESIGNATED PLACE|U1|S|Bell County
KY|21|02044|02403113|Arlington city|INCORPORATED PLACE|C1|A|Carlisle County
KY|21|02188|02629567|Artemus CDP|CENSUS DESIGNATED PLACE|U1|S|Knox County
KY|21|02368|02403121|Ashland city|INCORPORATED PLACE|C1|A|Boyd County
KY|21|02638|02403133|Auburn city|INCORPORATED PLACE|C1|A|Logan County
KY|21|02656|02403136|Audubon Park city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|02674|02403138|Augusta city|INCORPORATED PLACE|C1|A|Bracken County
KY|21|02764|02629568|Auxier CDP|CENSUS DESIGNATED PLACE|U1|S|Floyd County
KY|21|03376|02403152|Bancroft city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|03412|02629569|Bandana CDP|CENSUS DESIGNATED PLACE|U1|S|Ballard County
KY|21|03556|02403154|Barbourmeade city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|03574|02403155|Barbourville city|INCORPORATED PLACE|C1|A|Knox County
KY|21|03628|02403156|Bardstown city|INCORPORATED PLACE|C1|A|Nelson County
KY|21|03664|02403157|Bardwell city|INCORPORATED PLACE|C1|A|Carlisle County
KY|21|03718|02403159|Barlow city|INCORPORATED PLACE|C1|A|Ballard County
KY|21|04546|02403831|Beattyville city|INCORPORATED PLACE|C1|A|Lee County
KY|21|04654|02403833|Beaver Dam city|INCORPORATED PLACE|C1|A|Ohio County
KY|21|04816|02403834|Bedford city|INCORPORATED PLACE|C1|A|Trimble County
KY|21|04978|02629572|Beech Grove CDP|CENSUS DESIGNATED PLACE|U1|S|McLean County
KY|21|05014|02629573|Beechmont CDP|CENSUS DESIGNATED PLACE|U1|S|Muhlenberg County
KY|21|05068|02403836|Beechwood Village city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|05266|02629574|Belfry CDP|CENSUS DESIGNATED PLACE|U1|S|Pike County
KY|21|05374|02403842|Bellefonte city|INCORPORATED PLACE|C1|A|Greenup County
KY|21|05392|02403843|Bellemeade city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|05428|02629575|Belleview CDP|CENSUS DESIGNATED PLACE|U1|S|Boone County
KY|21|05446|02403846|Bellevue city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|05464|02403847|Bellewood city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|05662|02403853|Benham city|INCORPORATED PLACE|C1|A|Harlan County
KY|21|05824|02403856|Benton city|INCORPORATED PLACE|C1|A|Marshall County
KY|21|05842|02403858|Berea city|INCORPORATED PLACE|C1|A|Madison County
KY|21|05968|02403861|Berry city|INCORPORATED PLACE|C1|A|Harrison County
KY|21|06220|02629576|Betsy Layne CDP|CENSUS DESIGNATED PLACE|U1|S|Floyd County
KY|21|06508|02629577|Big Clifty CDP|CENSUS DESIGNATED PLACE|U1|S|Grayson County
KY|21|07012|02403871|Blackey city|INCORPORATED PLACE|C1|A|Letcher County
KY|21|07264|02403873|Blaine city|INCORPORATED PLACE|C1|A|Lawrence County
KY|21|07390|02403877|Blandville city|INCORPORATED PLACE|C1|A|Ballard County
KY|21|07516|02403879|Bloomfield city|INCORPORATED PLACE|C1|A|Nelson County
KY|21|07858|02403883|Blue Ridge Manor city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|08488|02403894|Bonnieville city|INCORPORATED PLACE|C1|A|Hart County
KY|21|08614|02403897|Booneville city|INCORPORATED PLACE|C1|A|Owsley County
KY|21|08722|02629579|Boston CDP|CENSUS DESIGNATED PLACE|U1|S|Nelson County
KY|21|08902|02403903|Bowling Green city|INCORPORATED PLACE|C1|A|Warren County
KY|21|09100|02403910|Bradfordsville city|INCORPORATED PLACE|C1|A|Marion County
KY|21|09226|02403913|Brandenburg city|INCORPORATED PLACE|C1|A|Meade County
KY|21|09379|02402712|Breckinridge Center CDP|CENSUS DESIGNATED PLACE|U1|S|Union County
KY|21|09406|02403916|Bremen city|INCORPORATED PLACE|C1|A|Muhlenberg County
KY|21|09532|02403923|Briarwood city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|09838|02403930|Brodhead city|INCORPORATED PLACE|C1|A|Rockcastle County
KY|21|09847|02403931|Broeck Pointe city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|09856|02403932|Bromley city|INCORPORATED PLACE|C1|A|Kenton County
KY|21|09964|02402721|Brooks CDP|CENSUS DESIGNATED PLACE|U1|S|Bullitt County
KY|21|10000|02403935|Brooksville city|INCORPORATED PLACE|C1|A|Bracken County
KY|21|10162|02403938|Brownsboro Farm city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|10198|02403939|Brownsboro Village city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|10324|02403940|Brownsville city|INCORPORATED PLACE|C1|A|Edmonson County
KY|21|10612|02403947|Buckhorn city|INCORPORATED PLACE|C1|A|Perry County
KY|21|10648|02402727|Buckner CDP|CENSUS DESIGNATED PLACE|U1|S|Oldham County
KY|21|10774|02629580|Buffalo CDP|CENSUS DESIGNATED PLACE|U1|S|Larue County
KY|21|11044|02403954|Burgin city|INCORPORATED PLACE|C1|A|Mercer County
KY|21|11098|02403955|Burkesville city|INCORPORATED PLACE|C1|A|Cumberland County
KY|21|11170|02402734|Burlington CDP|CENSUS DESIGNATED PLACE|U1|S|Boone County
KY|21|11188|02629581|Burna CDP|CENSUS DESIGNATED PLACE|U1|S|Livingston County
KY|21|11278|02403957|Burnside city|INCORPORATED PLACE|C1|A|Pulaski County
KY|21|11530|02403959|Butler city|INCORPORATED PLACE|C1|A|Pendleton County
KY|21|11692|02403963|Cadiz city|INCORPORATED PLACE|C1|A|Trigg County
KY|21|11854|02403966|Calhoun city|INCORPORATED PLACE|C1|A|McLean County
KY|21|11872|02403969|California city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|12016|02403972|Calvert City city|INCORPORATED PLACE|C1|A|Marshall County
KY|21|12052|02403973|Camargo city|INCORPORATED PLACE|C1|A|Montgomery County
KY|21|12066|02403974|Cambridge city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|12142|02403982|Campbellsburg city|INCORPORATED PLACE|C1|A|Henry County
KY|21|12160|02403983|Campbellsville city|INCORPORATED PLACE|C1|A|Taylor County
KY|21|12358|02403984|Campton city|INCORPORATED PLACE|C1|A|Wolfe County
KY|21|12538|02403985|Caneyville city|INCORPORATED PLACE|C1|A|Grayson County
KY|21|12610|02629583|Cannonsburg CDP|CENSUS DESIGNATED PLACE|U1|S|Boyd County
KY|21|12898|02403995|Carlisle city|INCORPORATED PLACE|C1|A|Nicholas County
KY|21|13024|02403999|Carrollton city|INCORPORATED PLACE|C1|A|Carroll County
KY|21|13060|02404001|Carrsville city|INCORPORATED PLACE|C1|A|Livingston County
KY|21|13420|02404006|Catlettsburg city|INCORPORATED PLACE|C1|A|Boyd County
KY|21|13492|02404008|Cave City city|INCORPORATED PLACE|C1|A|Barren County
KY|21|13582|02629585|Cawood CDP|CENSUS DESIGNATED PLACE|U1|S|Harlan County
KY|21|13600|02629586|Cayce CDP|CENSUS DESIGNATED PLACE|U1|S|Fulton County
KY|21|13636|02629587|Cecilia CDP|CENSUS DESIGNATED PLACE|U1|S|Hardin County
KY|21|13870|02404022|Centertown city|INCORPORATED PLACE|C1|A|Ohio County
KY|21|13978|02404024|Central City city|INCORPORATED PLACE|C1|A|Muhlenberg County
KY|21|14068|02629588|Cerulean CDP|CENSUS DESIGNATED PLACE|U1|S|Trigg County
KY|21|14266|02629589|Chaplin CDP|CENSUS DESIGNATED PLACE|U1|S|Nelson County
KY|21|15148|02404058|Clarkson city|INCORPORATED PLACE|C1|A|Grayson County
KY|21|15166|02402781|Claryville CDP|CENSUS DESIGNATED PLACE|U1|S|Campbell County
KY|21|15202|02404064|Clay city|INCORPORATED PLACE|C1|A|Webster County
KY|21|15238|02404065|Clay City city|INCORPORATED PLACE|C1|A|Powell County
KY|21|15490|02629593|Cleaton CDP|CENSUS DESIGNATED PLACE|U1|S|Muhlenberg County
KY|21|15742|02404077|Clinton city|INCORPORATED PLACE|C1|A|Hickman County
KY|21|15904|02404083|Cloverport city|INCORPORATED PLACE|C1|A|Breckinridge County
KY|21|16110|02404085|Coal Run Village city|INCORPORATED PLACE|C1|A|Pike County
KY|21|16354|02629594|Coldiron CDP|CENSUS DESIGNATED PLACE|U1|S|Harlan County
KY|21|16372|02404094|Cold Spring city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|16395|02404095|Coldstream city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|16750|02404105|Columbia city|INCORPORATED PLACE|C1|A|Adair County
KY|21|16768|02404110|Columbus city|INCORPORATED PLACE|C1|A|Hickman County
KY|21|16822|02629595|Combs CDP|CENSUS DESIGNATED PLACE|U1|S|Perry County
KY|21|16894|02404115|Concord city|INCORPORATED PLACE|C1|A|Lewis County
KY|21|17362|02404128|Corbin city|INCORPORATED PLACE|C1|A|Knox County~~~Laurel County~~~Whitley County
KY|21|17434|02404131|Corinth city|INCORPORATED PLACE|C1|A|Grant County~~~Scott County
KY|21|17686|02404135|Corydon city|INCORPORATED PLACE|C1|A|Henderson County
KY|21|17848|02404138|Covington city|INCORPORATED PLACE|C1|A|Kenton County
KY|21|17938|02629596|Coxton CDP|CENSUS DESIGNATED PLACE|U1|S|Harlan County
KY|21|17956|02404143|Crab Orchard city|INCORPORATED PLACE|C1|A|Lincoln County
KY|21|18190|02629597|Crayne CDP|CENSUS DESIGNATED PLACE|U1|S|Crittenden County
KY|21|18270|02404148|Creekside city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|18352|02404151|Crescent Springs city|INCORPORATED PLACE|C1|A|Kenton County
KY|21|18424|02404152|Crestview city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|18442|02404154|Crestview Hills city|INCORPORATED PLACE|C1|A|Kenton County
KY|21|18496|02404155|Crestwood city|INCORPORATED PLACE|C1|A|Oldham County
KY|21|18568|02404156|Crittenden city|INCORPORATED PLACE|C1|A|Grant County~~~Kenton County
KY|21|18658|02404157|Crofton city|INCORPORATED PLACE|C1|A|Christian County
KY|21|18766|02404160|Crossgate city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|19108|02404168|Cumberland city|INCORPORATED PLACE|C1|A|Harlan County
KY|21|19234|02629599|Cunningham CDP|CENSUS DESIGNATED PLACE|U1|S|Carlisle County
KY|21|19288|02806471|Curdsville CDP|CENSUS DESIGNATED PLACE|U1|S|Daviess County
KY|21|19432|02404172|Cynthiana city|INCORPORATED PLACE|C1|A|Harrison County
KY|21|19882|02404185|Danville city|INCORPORATED PLACE|C1|A|Boyle County
KY|21|20224|02404193|Dawson Springs city|INCORPORATED PLACE|C1|A|Caldwell County~~~Hopkins County
KY|21|20350|02404195|Dayton city|INCORPORATED PLACE|C1|A|Campbell County
KY|21|21322|02629603|Dexter CDP|CENSUS DESIGNATED PLACE|U1|S|Calloway County
KY|21|21358|02629604|Diablock CDP|CENSUS DESIGNATED PLACE|U1|S|Perry County
KY|21|21682|02404231|Dixon city|INCORPORATED PLACE|C1|A|Webster County
KY|21|21844|02631621|Doe Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Meade County
KY|21|22204|02404240|Douglass Hills city|INCORPORATED PLACE|C1|A|Jefferson County
KY|21|22222|02403505|Dover city|INCORPORATED PLACE|C1|A|Mason County
