STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
LA|22|00100|02403057|Abbeville city|INCORPORATED PLACE|C1|A|Vermilion Parish
LA|22|00240|02405119|Abita Springs town|INCORPORATED PLACE|C1|A|St. Tammany Parish
LA|22|00415|02405122|Addis town|INCORPORATED PLACE|C1|A|West Baton Rouge Parish
LA|22|00835|02407407|Albany town|INCORPORATED PLACE|C1|A|Livingston Parish
LA|22|00975|02403079|Alexandria city|INCORPORATED PLACE|C1|A|Rapides Parish
LA|22|01780|02402643|Ama CDP|CENSUS DESIGNATED PLACE|U1|S|St. Charles Parish
LA|22|01815|02402644|Amelia CDP|CENSUS DESIGNATED PLACE|U1|S|St. Mary Parish
LA|22|01885|02405148|Amite City town|INCORPORATED PLACE|C1|A|Tangipahoa Parish
LA|22|01920|02407408|Anacoco village|INCORPORATED PLACE|C1|A|Vernon Parish
LA|22|02165|02407409|Angie village|INCORPORATED PLACE|C1|A|Washington Parish
LA|22|02550|02402650|Arabi CDP|CENSUS DESIGNATED PLACE|U1|S|St. Bernard Parish
LA|22|02655|02405160|Arcadia town|INCORPORATED PLACE|C1|A|Bienville Parish
LA|22|03110|02405170|Arnaudville town|INCORPORATED PLACE|C1|A|St. Landry Parish~~~St. Martin Parish
LA|22|03145|02407410|Ashland village|INCORPORATED PLACE|C1|A|Natchitoches Parish
LA|22|03320|02407411|Athens village|INCORPORATED PLACE|C1|A|Claiborne Parish
LA|22|03390|02407412|Atlanta village|INCORPORATED PLACE|C1|A|Winn Parish
LA|22|03810|02402656|Avondale CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson Parish
LA|22|03985|02403147|Baker city|INCORPORATED PLACE|C1|A|East Baton Rouge Parish
LA|22|04020|02405202|Baldwin town|INCORPORATED PLACE|C1|A|St. Mary Parish
LA|22|04055|02405204|Ball town|INCORPORATED PLACE|C1|A|Rapides Parish
LA|22|04230|02586664|Banks Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Caldwell Parish
LA|22|04300|02402662|Barataria CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson Parish
LA|22|04580|02405211|Basile town|INCORPORATED PLACE|C1|A|Acadia Parish~~~Evangeline Parish
LA|22|04615|02407415|Baskin village|INCORPORATED PLACE|C1|A|Franklin Parish
LA|22|04685|02403818|Bastrop city|INCORPORATED PLACE|C1|A|Morehouse Parish
LA|22|05000|02403821|Baton Rouge city|INCORPORATED PLACE|C1|B|East Baton Rouge Parish
LA|22|05105|02586665|Bawcomville CDP|CENSUS DESIGNATED PLACE|U1|S|Ouachita Parish
LA|22|05175|02583527|Bayou Blue CDP|CENSUS DESIGNATED PLACE|U2|S|Lafourche Parish~~~Terrebonne Parish
LA|22|05210|02402668|Bayou Cane CDP|CENSUS DESIGNATED PLACE|U1|S|Terrebonne Parish
LA|22|05255|02761293|Bayou Corne CDP|CENSUS DESIGNATED PLACE|U1|S|Assumption Parish
LA|22|05260|02583528|Bayou Country Club CDP|CENSUS DESIGNATED PLACE|U1|S|Lafourche Parish
LA|22|05315|02402669|Bayou Gauche CDP|CENSUS DESIGNATED PLACE|U1|S|St. Charles Parish
LA|22|05350|02586666|Bayou Goula CDP|CENSUS DESIGNATED PLACE|U1|S|Iberville Parish
LA|22|05378|02583529|Bayou L'Ourse CDP|CENSUS DESIGNATED PLACE|U1|S|Assumption Parish
LA|22|05525|02402670|Bayou Vista CDP|CENSUS DESIGNATED PLACE|U1|S|St. Mary Parish
LA|22|05945|02407417|Belcher village|INCORPORATED PLACE|C1|A|Caddo Parish
LA|22|06120|02402677|Belle Chasse CDP|CENSUS DESIGNATED PLACE|U1|S|Plaquemines Parish
LA|22|06260|02402679|Belle Rose CDP|CENSUS DESIGNATED PLACE|U1|S|Assumption Parish
LA|22|06750|02586667|Belmont CDP|CENSUS DESIGNATED PLACE|U1|S|Sabine Parish
LA|22|06925|02405245|Benton town|INCORPORATED PLACE|C1|A|Bossier Parish
LA|22|07030|02405249|Bernice town|INCORPORATED PLACE|C1|A|Union Parish
LA|22|07100|02405251|Berwick town|INCORPORATED PLACE|C1|A|St. Mary Parish
LA|22|07205|02407418|Bienville village|INCORPORATED PLACE|C1|A|Bienville Parish
LA|22|07730|02405278|Blanchard town|INCORPORATED PLACE|C1|A|Caddo Parish
LA|22|08150|02403888|Bogalusa city|INCORPORATED PLACE|C1|A|Washington Parish
LA|22|08535|02407422|Bonita village|INCORPORATED PLACE|C1|A|Morehouse Parish
LA|22|08710|02633174|Boothville CDP|CENSUS DESIGNATED PLACE|U1|S|Plaquemines Parish
LA|22|08745|02586668|Bordelonville CDP|CENSUS DESIGNATED PLACE|U1|S|Avoyelles Parish
LA|22|08920|02403899|Bossier City city|INCORPORATED PLACE|C1|A|Bossier Parish
LA|22|09095|02583530|Bourg CDP|CENSUS DESIGNATED PLACE|U1|S|Terrebonne Parish
LA|22|09130|02402707|Boutte CDP|CENSUS DESIGNATED PLACE|U1|S|St. Charles Parish
LA|22|09165|02405308|Boyce town|INCORPORATED PLACE|C1|A|Rapides Parish
LA|22|09235|02586670|Branch CDP|CENSUS DESIGNATED PLACE|U1|S|Acadia Parish
LA|22|09340|02403915|Breaux Bridge city|INCORPORATED PLACE|C1|A|St. Martin Parish
LA|22|09480|02402715|Bridge City CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson Parish
LA|22|10075|02403937|Broussard city|INCORPORATED PLACE|C1|A|Lafayette Parish~~~St. Martin Parish
LA|22|10145|02402722|Brownfields CDP|CENSUS DESIGNATED PLACE|U1|S|East Baton Rouge Parish
