STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
ME|23|00695|02747297|Alfred CDP|CENSUS DESIGNATED PLACE|U1|S|York County
ME|23|01360|02377887|Anson CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
ME|23|01675|02583553|Ashland CDP|CENSUS DESIGNATED PLACE|U1|S|Aroostook County
ME|23|02060|00582333|Auburn city|INCORPORATED PLACE|C5|A|Androscoggin County
ME|23|02100|00582334|Augusta city|INCORPORATED PLACE|C5|A|Kennebec County
ME|23|02795|00582340|Bangor city|INCORPORATED PLACE|C5|A|Penobscot County
ME|23|02830|02377888|Bar Harbor CDP|CENSUS DESIGNATED PLACE|U1|S|Hancock County
ME|23|03355|00582343|Bath city|INCORPORATED PLACE|C5|A|Sagadahoc County
ME|23|03950|00582347|Belfast city|INCORPORATED PLACE|C5|A|Waldo County
ME|23|04685|02377889|Berwick CDP|CENSUS DESIGNATED PLACE|U1|S|York County
ME|23|04790|02806281|Bethel CDP|CENSUS DESIGNATED PLACE|U1|S|Oxford County
ME|23|04860|00582353|Biddeford city|INCORPORATED PLACE|C5|A|York County
ME|23|04965|02377890|Bingham CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
ME|23|05350|02652330|Blaine CDP|CENSUS DESIGNATED PLACE|U1|S|Aroostook County
ME|23|05665|02630697|Blue Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Hancock County
ME|23|06085|02377891|Boothbay Harbor CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
ME|23|06330|02630698|Bowdoinham CDP|CENSUS DESIGNATED PLACE|U1|S|Sagadahoc County
ME|23|06645|02806284|Bradley CDP|CENSUS DESIGNATED PLACE|U1|S|Penobscot County
ME|23|06925|00582366|Brewer city|INCORPORATED PLACE|C5|A|Penobscot County
ME|23|07135|02377892|Bridgton CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
ME|23|08360|02806289|Brownville Junction CDP|CENSUS DESIGNATED PLACE|U1|S|Piscataquis County
ME|23|08395|02377893|Brunswick CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
ME|23|08780|02377895|Bucksport CDP|CENSUS DESIGNATED PLACE|U1|S|Hancock County
ME|23|09585|00582382|Calais city|INCORPORATED PLACE|C5|A|Washington County
ME|23|09690|02377896|Camden CDP|CENSUS DESIGNATED PLACE|U1|S|Knox County
ME|23|10320|02377897|Cape Neddick CDP|CENSUS DESIGNATED PLACE|U1|S|York County
ME|23|10565|00582389|Caribou city|INCORPORATED PLACE|C5|A|Aroostook County
ME|23|11090|02583554|Casco CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
ME|23|11230|02630699|Castine CDP|CENSUS DESIGNATED PLACE|U1|S|Hancock County
ME|23|12770|02377898|Chisholm CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
