STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MD|24|00125|02390561|Aberdeen city|INCORPORATED PLACE|C1|A|Harford County
MD|24|00175|02389114|Aberdeen Proving Ground CDP|CENSUS DESIGNATED PLACE|M2|S|Harford County
MD|24|00200|02804666|Abingdon CDP|CENSUS DESIGNATED PLACE|U1|S|Harford County
MD|24|00225|02390695|Accident town|INCORPORATED PLACE|C1|A|Garrett County
MD|24|00250|02389115|Accokeek CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|00350|02583568|Adamstown CDP|CENSUS DESIGNATED PLACE|U1|S|Frederick County
MD|24|00400|02389119|Adelphi CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|00712|02389122|Algonquin CDP|CENSUS DESIGNATED PLACE|U1|S|Dorchester County
MD|24|00800|02583569|Allen CDP|CENSUS DESIGNATED PLACE|U1|S|Wicomico County
MD|24|01450|02389135|Andrews AFB CDP|CENSUS DESIGNATED PLACE|M2|S|Prince George's County
MD|24|01600|02390562|Annapolis city|INCORPORATED PLACE|C1|A|Anne Arundel County
MD|24|01635|02583570|Annapolis Neck CDP|CENSUS DESIGNATED PLACE|U2|S|Anne Arundel County
MD|24|01750|02583571|Antietam CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|01925|02583572|Aquasco CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|01975|02389143|Arbutus CDP|CENSUS DESIGNATED PLACE|U1|S|Baltimore County
MD|24|02025|02389144|Arden on the Severn CDP|CENSUS DESIGNATED PLACE|U1|S|Anne Arundel County
MD|24|02275|02389151|Arnold CDP|CENSUS DESIGNATED PLACE|U1|S|Anne Arundel County
MD|24|02762|02389153|Ashton-Sandy Spring CDP|CENSUS DESIGNATED PLACE|U2|S|Montgomery County
MD|24|02825|02389154|Aspen Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Montgomery County
MD|24|03500|02583573|Baden CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|03514|02583574|Bagtown CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|03575|02583575|Bakersville CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|03800|02389170|Ballenger Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Frederick County
MD|24|04000|01702381|Baltimore city|INCORPORATED PLACE|C7|A|Baltimore city
MD|24|04050|02583576|Baltimore Highlands CDP|CENSUS DESIGNATED PLACE|U1|S|Baltimore County
MD|24|04250|02390712|Barclay town|INCORPORATED PLACE|C1|A|Queen Anne's County
MD|24|04475|02390713|Barnesville town|INCORPORATED PLACE|C1|A|Montgomery County
MD|24|04525|02583577|Barrelville CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
MD|24|04625|02390715|Barton town|INCORPORATED PLACE|C1|A|Allegany County
MD|24|04650|02583578|Bartonsville CDP|CENSUS DESIGNATED PLACE|U1|S|Frederick County
MD|24|05250|02583579|Beaver Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|05525|02583580|Bel Air CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
MD|24|05550|02390717|Bel Air town|INCORPORATED PLACE|C1|A|Harford County
MD|24|05825|02389191|Bel Air North CDP|CENSUS DESIGNATED PLACE|U2|S|Harford County
MD|24|05950|02389192|Bel Air South CDP|CENSUS DESIGNATED PLACE|U2|S|Harford County
MD|24|06400|02389202|Beltsville CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|06550|02583581|Benedict CDP|CENSUS DESIGNATED PLACE|U1|S|Charles County
MD|24|06662|02389203|Bensville CDP|CENSUS DESIGNATED PLACE|U2|S|Charles County
MD|24|06800|02390722|Berlin town|INCORPORATED PLACE|C1|A|Worcester County
MD|24|06925|02390724|Berwyn Heights town|INCORPORATED PLACE|C1|A|Prince George's County
MD|24|07125|02389206|Bethesda CDP|CENSUS DESIGNATED PLACE|U1|S|Montgomery County
MD|24|07200|02390728|Betterton town|INCORPORATED PLACE|C1|A|Kent County
MD|24|07285|02583582|Bier CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
MD|24|07375|02583583|Big Pool CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|07400|02583584|Big Spring CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|07625|02629788|Bishopville CDP|CENSUS DESIGNATED PLACE|U1|S|Worcester County
MD|24|07675|02583585|Bivalve CDP|CENSUS DESIGNATED PLACE|U1|S|Wicomico County
MD|24|07850|02390734|Bladensburg town|INCORPORATED PLACE|C1|A|Prince George's County
MD|24|08050|02583586|Bloomington CDP|CENSUS DESIGNATED PLACE|U1|S|Garrett County
MD|24|08625|02390740|Boonsboro town|INCORPORATED PLACE|C1|A|Washington County
MD|24|08775|02390567|Bowie city|INCORPORATED PLACE|C1|A|Prince George's County
MD|24|08800|02389227|Bowleys Quarters CDP|CENSUS DESIGNATED PLACE|U1|S|Baltimore County
MD|24|08850|02583587|Bowling Green CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
MD|24|08862|02583588|Bowmans Addition CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
MD|24|09100|02389228|Braddock Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Frederick County
MD|24|09325|02389232|Brandywine CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|09400|02583589|Breathedsville CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|09500|02390750|Brentwood town|INCORPORATED PLACE|C1|A|Prince George's County
MD|24|10150|02583590|Brock Hall CDP|CENSUS DESIGNATED PLACE|U1|S|Prince George's County
MD|24|10225|02390755|Brookeville town|INCORPORATED PLACE|C1|A|Montgomery County
MD|24|10475|02389248|Brooklyn Park CDP|CENSUS DESIGNATED PLACE|U1|S|Anne Arundel County
MD|24|10500|02389249|Brookmont CDP|CENSUS DESIGNATED PLACE|U1|S|Montgomery County
MD|24|10575|02390757|Brookview town|INCORPORATED PLACE|C1|A|Dorchester County
MD|24|10650|02629789|Broomes Island CDP|CENSUS DESIGNATED PLACE|U1|S|Calvert County
MD|24|10737|02806305|Brown Station CDP|CENSUS DESIGNATED PLACE|U2|S|Prince George's County
MD|24|10800|02583591|Brownsville CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
MD|24|10900|02390569|Brunswick city|INCORPORATED PLACE|C1|A|Frederick County
MD|24|10925|02389254|Bryans Road CDP|CENSUS DESIGNATED PLACE|U1|S|Charles County
MD|24|10950|02629790|Bryantown CDP|CENSUS DESIGNATED PLACE|U1|S|Charles County
MD|24|11050|02583592|Buckeystown CDP|CENSUS DESIGNATED PLACE|U1|S|Frederick County
