STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MA|25|00135|02377975|Abington CDP|CENSUS DESIGNATED PLACE|U1|S|Plymouth County
MA|25|00530|02377976|Acushnet Center CDP|CENSUS DESIGNATED PLACE|U2|S|Bristol County
MA|25|00590|02377977|Adams CDP|CENSUS DESIGNATED PLACE|U1|S|Berkshire County
MA|25|00840|00618180|Agawam Town city|INCORPORATED PLACE|C5|A|Hampden County
MA|25|01260|00618292|Amesbury Town city|INCORPORATED PLACE|C5|A|Essex County
MA|25|01370|00582323|Amherst Town city|INCORPORATED PLACE|C5|A|Hampshire County
MA|25|01430|02377980|Andover CDP|CENSUS DESIGNATED PLACE|U1|S|Essex County
MA|25|01640|02377981|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
MA|25|02515|02377982|Athol CDP|CENSUS DESIGNATED PLACE|U1|S|Worcester County
MA|25|02690|00618278|Attleboro city|INCORPORATED PLACE|C5|A|Bristol County
MA|25|03040|02377983|Ayer CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
MA|25|03355|02377984|Baldwinville CDP|CENSUS DESIGNATED PLACE|U1|S|Worcester County
MA|25|03690|00618248|Barnstable Town city|INCORPORATED PLACE|C5|A|Barnstable County
MA|25|03705|02377985|Barre CDP|CENSUS DESIGNATED PLACE|U1|S|Worcester County
MA|25|04790|02377986|Belchertown CDP|CENSUS DESIGNATED PLACE|U1|S|Hampshire County
MA|25|04965|02377987|Bellingham CDP|CENSUS DESIGNATED PLACE|U1|S|Norfolk County
MA|25|05105|02377988|Belmont CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
MA|25|05595|00618293|Beverly city|INCORPORATED PLACE|C5|A|Essex County
MA|25|06050|02630522|Blandford CDP|CENSUS DESIGNATED PLACE|U1|S|Hampden County
MA|25|06170|02377989|Bliss Corner CDP|CENSUS DESIGNATED PLACE|U1|S|Bristol County
