STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MI|26|00380|02397912|Addison village|INCORPORATED PLACE|C1|A|Lenawee County
MI|26|00440|01625803|Adrian city|INCORPORATED PLACE|C5|A|Lenawee County
MI|26|00480|02583713|Advance CDP|CENSUS DESIGNATED PLACE|U1|S|Charlevoix County
MI|26|00620|02397918|Ahmeek village|INCORPORATED PLACE|C1|A|Keweenaw County
MI|26|00700|02397920|Akron village|INCORPORATED PLACE|C1|A|Tuscola County
MI|26|00860|02397921|Alanson village|INCORPORATED PLACE|C1|A|Emmet County
MI|26|00900|02583714|Alba CDP|CENSUS DESIGNATED PLACE|U1|S|Antrim County
MI|26|00980|01625813|Albion city|INCORPORATED PLACE|C5|A|Calhoun County
MI|26|01060|02583715|Alden CDP|CENSUS DESIGNATED PLACE|U1|S|Antrim County
MI|26|01180|01625818|Algonac city|INCORPORATED PLACE|C5|A|St. Clair County
MI|26|01260|01625819|Allegan city|INCORPORATED PLACE|C5|A|Allegan County
MI|26|01300|02397933|Allen village|INCORPORATED PLACE|C1|A|Hillsdale County
MI|26|01340|02393316|Allendale CDP|CENSUS DESIGNATED PLACE|U1|S|Ottawa County
MI|26|01380|01625823|Allen Park city|INCORPORATED PLACE|C5|A|Wayne County
MI|26|01540|01625826|Alma city|INCORPORATED PLACE|C5|A|Gratiot County
MI|26|01660|02397941|Almont village|INCORPORATED PLACE|C1|A|Lapeer County
MI|26|01740|01625832|Alpena city|INCORPORATED PLACE|C5|A|Alpena County
MI|26|01800|02397944|Alpha village|INCORPORATED PLACE|C1|A|Iron County
MI|26|01960|02628659|Amasa CDP|CENSUS DESIGNATED PLACE|U1|S|Iron County
MI|26|03000|01625837|Ann Arbor city|INCORPORATED PLACE|C5|A|Washtenaw County
MI|26|03200|02397974|Applegate village|INCORPORATED PLACE|C1|A|Sanilac County
MI|26|03300|02583716|Arcadia CDP|CENSUS DESIGNATED PLACE|U1|S|Manistee County
