STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MN|27|00172|02393879|Ada city|INCORPORATED PLACE|C5|A|Norman County
MN|27|00190|02393881|Adams city|INCORPORATED PLACE|C5|A|Mower County
MN|27|00262|02393884|Adrian city|INCORPORATED PLACE|C5|A|Nobles County
MN|27|00316|02393887|Afton city|INCORPORATED PLACE|C5|A|Washington County
MN|27|00460|02393894|Aitkin city|INCORPORATED PLACE|C5|A|Aitkin County
MN|27|00496|02393895|Akeley city|INCORPORATED PLACE|C5|A|Hubbard County
MN|27|00622|02393898|Albany city|INCORPORATED PLACE|C5|A|Stearns County
MN|27|00676|02393903|Alberta city|INCORPORATED PLACE|C5|A|Stevens County
MN|27|00694|02393902|Albert Lea city|INCORPORATED PLACE|C5|A|Freeborn County
MN|27|00730|02393904|Albertville city|INCORPORATED PLACE|C5|A|Wright County
MN|27|00838|02393910|Alden city|INCORPORATED PLACE|C5|A|Freeborn County
MN|27|00892|02393913|Aldrich city|INCORPORATED PLACE|C5|A|Wadena County
MN|27|00928|02393918|Alexandria city|INCORPORATED PLACE|C5|A|Douglas County
MN|27|01162|02393928|Alpha city|INCORPORATED PLACE|C5|A|Jackson County
MN|27|01234|02393941|Altura city|INCORPORATED PLACE|C5|A|Winona County
MN|27|01252|02393942|Alvarado city|INCORPORATED PLACE|C5|A|Marshall County
MN|27|01324|02393945|Amboy city|INCORPORATED PLACE|C5|A|Blue Earth County
MN|27|01486|02393954|Andover city|INCORPORATED PLACE|C5|A|Anoka County
MN|27|01558|02629538|Angle Inlet CDP|CENSUS DESIGNATED PLACE|U1|S|Lake of the Woods County
MN|27|01684|02393962|Annandale city|INCORPORATED PLACE|C5|A|Wright County
MN|27|01720|02393964|Anoka city|INCORPORATED PLACE|C5|A|Anoka County
MN|27|01864|02393968|Appleton city|INCORPORATED PLACE|C5|A|Swift County
MN|27|01900|02393967|Apple Valley city|INCORPORATED PLACE|C5|A|Dakota County
MN|27|01972|02393977|Arco city|INCORPORATED PLACE|C5|A|Lincoln County
MN|27|02026|02393979|Arden Hills city|INCORPORATED PLACE|C5|A|Ramsey County
MN|27|02134|02393982|Argyle city|INCORPORATED PLACE|C5|A|Marshall County
MN|27|02152|02393985|Arlington city|INCORPORATED PLACE|C5|A|Sibley County
