STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MS|28|00100|02405117|Abbeville town|INCORPORATED PLACE|C1|A|Lafayette County
MS|28|00180|02403058|Aberdeen city|INCORPORATED PLACE|C1|A|Monroe County
MS|28|00300|02405120|Ackerman town|INCORPORATED PLACE|C1|A|Choctaw County
MS|28|00460|02812721|Agricola CDP|CENSUS DESIGNATED PLACE|U1|S|George County
MS|28|00680|02586580|Alcorn State University CDP|CENSUS DESIGNATED PLACE|U1|S|Claiborne County
MS|28|00820|02405132|Algoma town|INCORPORATED PLACE|C1|A|Pontotoc County
MS|28|00940|02405138|Alligator town|INCORPORATED PLACE|C1|A|Bolivar County
MS|28|01260|02403095|Amory city|INCORPORATED PLACE|C1|A|Monroe County
MS|28|01500|02405153|Anguilla town|INCORPORATED PLACE|C1|A|Sharkey County
MS|28|01820|02405162|Arcola town|INCORPORATED PLACE|C1|A|Washington County
MS|28|01940|02806379|Arkabutla CDP|CENSUS DESIGNATED PLACE|U1|S|Tate County
MS|28|02060|02586581|Arnold Line CDP|CENSUS DESIGNATED PLACE|U1|S|Lamar County
MS|28|02100|02405171|Artesia town|INCORPORATED PLACE|C1|A|Lowndes County
MS|28|02140|02405174|Ashland town|INCORPORATED PLACE|C1|A|Benton County
MS|28|02380|02812747|Austin CDP|CENSUS DESIGNATED PLACE|U1|S|Tunica County
MS|28|02700|02403150|Baldwyn city|INCORPORATED PLACE|C1|A|Lee County~~~Prentiss County
MS|28|03580|02405213|Bassfield town|INCORPORATED PLACE|C1|A|Jefferson Davis County
MS|28|03620|02403820|Batesville city|INCORPORATED PLACE|C1|A|Panola County
MS|28|03940|02812731|Baxterville CDP|CENSUS DESIGNATED PLACE|U1|S|Lamar County
MS|28|03980|02403826|Bay St. Louis city|INCORPORATED PLACE|C1|A|Hancock County
MS|28|04060|02403827|Bay Springs city|INCORPORATED PLACE|C1|A|Jasper County
