STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MO|29|00244|02393885|Adrian city|INCORPORATED PLACE|C1|A|Bates County
MO|29|00262|02393886|Advance city|INCORPORATED PLACE|C1|A|Stoddard County
MO|29|00280|02393314|Affton CDP|CENSUS DESIGNATED PLACE|U1|S|St. Louis County
MO|29|00298|02397917|Agency village|INCORPORATED PLACE|C1|A|Buchanan County
MO|29|00424|02397919|Airport Drive village|INCORPORATED PLACE|C1|A|Jasper County
MO|29|00496|02393897|Alba city|INCORPORATED PLACE|C1|A|Jasper County
MO|29|00514|02393899|Albany city|INCORPORATED PLACE|C1|A|Gentry County
MO|29|00568|02397926|Aldrich village|INCORPORATED PLACE|C1|A|Polk County
MO|29|00604|02393919|Alexandria city|INCORPORATED PLACE|C1|A|Clark County
MO|29|00712|02397936|Allendale village|INCORPORATED PLACE|C1|A|Worth County
MO|29|00748|02397938|Allenville village|INCORPORATED PLACE|C1|A|Cape Girardeau County
MO|29|00802|02393925|Alma city|INCORPORATED PLACE|C1|A|Lafayette County
MO|29|00910|02397947|Altamont village|INCORPORATED PLACE|C1|A|Daviess County
MO|29|00928|02393934|Altenburg city|INCORPORATED PLACE|C1|A|Perry County
MO|29|00964|02393937|Alton city|INCORPORATED PLACE|C1|A|Oregon County
MO|29|01018|02397954|Amazonia village|INCORPORATED PLACE|C1|A|Andrew County
MO|29|01054|02397429|Amity town|INCORPORATED PLACE|C1|A|DeKalb County
MO|29|01072|02393948|Amoret city|INCORPORATED PLACE|C1|A|Bates County
MO|29|01090|02393949|Amsterdam city|INCORPORATED PLACE|C1|A|Bates County
MO|29|01198|02393953|Anderson city|INCORPORATED PLACE|C1|A|McDonald County
MO|29|01252|02397964|Annada village|INCORPORATED PLACE|C1|A|Pike County
MO|29|01270|02393963|Annapolis city|INCORPORATED PLACE|C1|A|Iron County
MO|29|01288|02397433|Anniston town|INCORPORATED PLACE|C1|A|Mississippi County
MO|29|01522|02393969|Appleton City city|INCORPORATED PLACE|C1|A|St. Clair County
MO|29|01576|02397434|Arbela town|INCORPORATED PLACE|C1|A|Scotland County
MO|29|01630|02393971|Arbyrd city|INCORPORATED PLACE|C1|A|Dunklin County
MO|29|01648|02393973|Arcadia city|INCORPORATED PLACE|C1|A|Iron County
MO|29|01702|02393976|Archie city|INCORPORATED PLACE|C1|A|Cass County
MO|29|01720|02397980|Arcola village|INCORPORATED PLACE|C1|A|Dade County
MO|29|01828|02397437|Argyle town|INCORPORATED PLACE|C1|A|Maries County~~~Osage County
MO|29|01864|02397438|Arkoe town|INCORPORATED PLACE|C1|A|Nodaway County
MO|29|01954|02393990|Armstrong city|INCORPORATED PLACE|C1|A|Howard County
MO|29|01972|02393991|Arnold city|INCORPORATED PLACE|C1|A|Jefferson County
MO|29|02034|02397991|Arrow Point village|INCORPORATED PLACE|C1|A|Barry County
MO|29|02044|02397439|Arrow Rock town|INCORPORATED PLACE|C1|A|Saline County
MO|29|02098|02393995|Asbury city|INCORPORATED PLACE|C1|A|Jasper County
MO|29|02152|02397440|Ashburn town|INCORPORATED PLACE|C9|I|Pike County
MO|29|02188|02393996|Ash Grove city|INCORPORATED PLACE|C1|A|Greene County
MO|29|02242|02393998|Ashland city|INCORPORATED PLACE|C1|A|Boone County
MO|29|02260|02587051|Ashley CDP|CENSUS DESIGNATED PLACE|U1|S|Pike County
MO|29|02422|02394015|Atlanta city|INCORPORATED PLACE|C1|A|Macon County
MO|29|02512|02397444|Augusta town|INCORPORATED PLACE|C1|A|St. Charles County
MO|29|02530|02398010|Aullville village|INCORPORATED PLACE|C1|A|Lafayette County
MO|29|02548|02394034|Aurora city|INCORPORATED PLACE|C1|A|Lawrence County
MO|29|02584|02804674|Aurora Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Miller County
MO|29|02638|02394038|Auxvasse city|INCORPORATED PLACE|C1|A|Callaway County
MO|29|02674|02394040|Ava city|INCORPORATED PLACE|C1|A|Douglas County
