STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
MT|30|00175|02407693|Absarokee CDP|CENSUS DESIGNATED PLACE|U1|S|Stillwater County
MT|30|00400|02804624|Acton CDP|CENSUS DESIGNATED PLACE|U1|S|Yellowstone County
MT|30|00700|02412342|Alberton town|INCORPORATED PLACE|C1|A|Mineral County
MT|30|00850|02407713|Alder CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
MT|30|01300|02583785|Alzada CDP|CENSUS DESIGNATED PLACE|U1|S|Carter County
MT|30|01525|02629942|Amsterdam CDP|CENSUS DESIGNATED PLACE|U1|S|Gallatin County
MT|30|01675|02409650|Anaconda-Deer Lodge County|INCORPORATED PLACE|C1|A|Deer Lodge County
MT|30|02050|02407745|Antelope CDP|CENSUS DESIGNATED PLACE|U1|S|Sheridan County
MT|30|02350|02804241|Argenta CDP|CENSUS DESIGNATED PLACE|U1|S|Beaverhead County
MT|30|02425|02407760|Arlee CDP|CENSUS DESIGNATED PLACE|U1|S|Lake County
MT|30|02800|02407774|Ashland CDP|CENSUS DESIGNATED PLACE|U1|S|Rosebud County
MT|30|03025|02407782|Augusta CDP|CENSUS DESIGNATED PLACE|U1|S|Lewis and Clark County
MT|30|03175|02407787|Avon CDP|CENSUS DESIGNATED PLACE|U1|S|Powell County
MT|30|03196|02804283|Ayers Ranch Colony CDP|CENSUS DESIGNATED PLACE|U1|S|Fergus County
MT|30|03212|02407790|Azure CDP|CENSUS DESIGNATED PLACE|U1|S|Hill County
MT|30|03250|02583786|Babb CDP|CENSUS DESIGNATED PLACE|U1|S|Glacier County
MT|30|03400|02411660|Bainville town|INCORPORATED PLACE|C1|A|Roosevelt County
MT|30|03475|02409772|Baker city|INCORPORATED PLACE|C1|A|Fallon County
MT|30|03625|02407793|Ballantine CDP|CENSUS DESIGNATED PLACE|U1|S|Yellowstone County
MT|30|04150|02407801|Basin CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
MT|30|04230|02583787|Batavia CDP|CENSUS DESIGNATED PLACE|U1|S|Flathead County
MT|30|04300|02411671|Bearcreek town|INCORPORATED PLACE|C1|A|Carbon County
MT|30|04410|02583788|Bear Dance CDP|CENSUS DESIGNATED PLACE|U1|S|Lake County
MT|30|04575|02407818|Beaver Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Hill County
MT|30|04900|02407824|Belfry CDP|CENSUS DESIGNATED PLACE|U1|S|Carbon County
MT|30|04975|02409815|Belgrade city|INCORPORATED PLACE|C1|A|Gallatin County
MT|30|05050|02583789|Belknap CDP|CENSUS DESIGNATED PLACE|U1|S|Sanders County
