STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NE|31|00205|02397906|Abie village|INCORPORATED PLACE|C1|A|Butler County
NE|31|00240|02397908|Adams village|INCORPORATED PLACE|C1|A|Gage County
NE|31|00380|02806910|Agnew CDP|CENSUS DESIGNATED PLACE|U1|S|Lancaster County
NE|31|00415|02393893|Ainsworth city|INCORPORATED PLACE|C5|A|Brown County
NE|31|00555|02393908|Albion city|INCORPORATED PLACE|C1|A|Boone County
NE|31|00625|02397925|Alda village|INCORPORATED PLACE|C1|A|Hall County
NE|31|00730|02397928|Alexandria village|INCORPORATED PLACE|C1|A|Thayer County
NE|31|00870|02397934|Allen village|INCORPORATED PLACE|C1|A|Dixon County
NE|31|00905|02393923|Alliance city|INCORPORATED PLACE|C1|A|Box Butte County
NE|31|00975|00837849|Alma city|INCORPORATED PLACE|C5|A|Harlan County
NE|31|01150|02397951|Alvo village|INCORPORATED PLACE|C1|A|Cass County
NE|31|01220|02630666|Ames CDP|CENSUS DESIGNATED PLACE|U1|S|Dodge County
NE|31|01290|02397957|Amherst village|INCORPORATED PLACE|C1|A|Buffalo County
NE|31|01465|02397965|Anoka village|INCORPORATED PLACE|C1|A|Boyd County
NE|31|01500|02397966|Anselmo village|INCORPORATED PLACE|C1|A|Custer County
NE|31|01535|02397967|Ansley village|INCORPORATED PLACE|C1|A|Custer County
NE|31|01780|02393970|Arapahoe city|INCORPORATED PLACE|C1|A|Furnas County
NE|31|01850|02397977|Arcadia village|INCORPORATED PLACE|C1|A|Valley County
NE|31|01920|02583872|Archer CDP|CENSUS DESIGNATED PLACE|U1|S|Merrick County
NE|31|01990|02397985|Arlington village|INCORPORATED PLACE|C1|A|Washington County
NE|31|02095|02397989|Arnold village|INCORPORATED PLACE|C1|A|Custer County
NE|31|02200|02397994|Arthur village|INCORPORATED PLACE|C1|A|Arthur County
NE|31|02305|02394000|Ashland city|INCORPORATED PLACE|C1|A|Saunders County
NE|31|02375|02398000|Ashton village|INCORPORATED PLACE|C1|A|Sherman County
NE|31|02480|02583873|Aten CDP|CENSUS DESIGNATED PLACE|U1|S|Cedar County
NE|31|02550|02394013|Atkinson city|INCORPORATED PLACE|C1|A|Holt County
NE|31|02620|02398005|Atlanta village|INCORPORATED PLACE|C1|A|Phelps County
NE|31|02655|02394026|Auburn city|INCORPORATED PLACE|C5|A|Nemaha County
NE|31|02690|02394036|Aurora city|INCORPORATED PLACE|C1|A|Hamilton County
NE|31|02795|02398012|Avoca village|INCORPORATED PLACE|C1|A|Cass County
