STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NV|32|00500|02583909|Alamo CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
NV|32|01000|02813400|Amargosa Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Nye County
NV|32|03700|02583910|Austin CDP|CENSUS DESIGNATED PLACE|U1|S|Lander County
NV|32|04100|02629977|Baker CDP|CENSUS DESIGNATED PLACE|U1|S|White Pine County
NV|32|04900|02407804|Battle Mountain CDP|CENSUS DESIGNATED PLACE|U1|S|Lander County
NV|32|05100|02407816|Beatty CDP|CENSUS DESIGNATED PLACE|U1|S|Nye County
NV|32|05125|02583911|Beaverdam CDP|CENSUS DESIGNATED PLACE|U2|S|Lincoln County
NV|32|05275|02583912|Bennett Springs CDP|CENSUS DESIGNATED PLACE|U2|S|Lincoln County
NV|32|05700|02407866|Blue Diamond CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|06500|02409884|Boulder City city|INCORPORATED PLACE|C1|A|Clark County
NV|32|08100|02407923|Bunkerville CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|08500|02409959|Caliente city|INCORPORATED PLACE|C1|A|Lincoln County
NV|32|08600|02407938|Cal-Nev-Ari CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|08900|02409983|Carlin city|INCORPORATED PLACE|C1|A|Elko County
NV|32|09700|00863219|Carson City|INCORPORATED PLACE|C7|A|Carson City
NV|32|10200|02583913|Carter Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|14090|02407646|Cold Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|16300|02583914|Crescent Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Eureka County
NV|32|16700|02583915|Crystal Bay CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|17500|02408644|Dayton CDP|CENSUS DESIGNATED PLACE|U1|S|Lyon County
NV|32|18500|02583916|Denio CDP|CENSUS DESIGNATED PLACE|U1|S|Humboldt County
NV|32|19150|02583917|Double Spring CDP|CENSUS DESIGNATED PLACE|U2|S|Douglas County
NV|32|19800|02583918|Dry Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
NV|32|20700|02583919|Dyer CDP|CENSUS DESIGNATED PLACE|U1|S|Esmeralda County
NV|32|21520|02583920|East Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|22500|02410428|Elko city|INCORPORATED PLACE|C1|A|Elko County
NV|32|23500|02410435|Ely city|INCORPORATED PLACE|C1|A|White Pine County
NV|32|23700|02583921|Empire CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|23770|02408084|Enterprise CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|23900|02583922|Eureka CDP|CENSUS DESIGNATED PLACE|U1|S|Eureka County
NV|32|24100|02410481|Fallon city|INCORPORATED PLACE|C1|A|Churchill County
NV|32|24500|02408115|Fallon Station CDP|CENSUS DESIGNATED PLACE|M2|S|Churchill County
NV|32|24900|02410499|Fernley city|INCORPORATED PLACE|C1|A|Lyon County
NV|32|25000|02583923|Fish Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|25490|02583924|Fort McDermitt CDP|CENSUS DESIGNATED PLACE|U1|S|Humboldt County
NV|32|25900|02629978|Gabbs CDP|CENSUS DESIGNATED PLACE|U1|S|Nye County
NV|32|26300|02408280|Gardnerville CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|26500|02408281|Gardnerville Ranchos CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|27100|02583925|Genoa CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|27300|02583926|Gerlach CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|27900|02583927|Glenbrook CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|28500|02583928|Golconda CDP|CENSUS DESIGNATED PLACE|U1|S|Humboldt County
NV|32|28860|02583929|Golden Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|28900|02583930|Goldfield CDP|CENSUS DESIGNATED PLACE|U1|S|Esmeralda County
NV|32|29500|02408308|Goodsprings CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|30220|02583931|Grass Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Pershing County
NV|32|31300|02408359|Hawthorne CDP|CENSUS DESIGNATED PLACE|U1|S|Mineral County
NV|32|31900|02410741|Henderson city|INCORPORATED PLACE|C1|A|Clark County
NV|32|32900|02583932|Hiko CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
NV|32|34100|02583933|Humboldt River Ranch CDP|CENSUS DESIGNATED PLACE|U2|S|Pershing County
NV|32|34700|02583934|Imlay CDP|CENSUS DESIGNATED PLACE|U1|S|Pershing County
NV|32|35100|02652365|Incline Village CDP|CENSUS DESIGNATED PLACE|U1|S|Washoe County
NV|32|35275|02408421|Indian Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
NV|32|35300|02408423|Indian Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
NV|32|36500|02583935|Jackpot CDP|CENSUS DESIGNATED PLACE|U1|S|Elko County
NV|32|37190|02408448|Johnson Lane CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
