STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NH|33|00980|02629709|Alton CDP|CENSUS DESIGNATED PLACE|U1|S|Belknap County
NH|33|01220|02629710|Amherst CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|01620|02378053|Antrim CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|01940|02629711|Ashland CDP|CENSUS DESIGNATED PLACE|U1|S|Grafton County
NH|33|03620|02629712|Bartlett CDP|CENSUS DESIGNATED PLACE|U1|S|Carroll County
NH|33|04660|02629713|Belmont CDP|CENSUS DESIGNATED PLACE|U1|S|Belknap County
NH|33|04820|02629714|Bennington CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|05140|00873545|Berlin city|INCORPORATED PLACE|C5|A|Coos County
NH|33|05380|02629715|Bethlehem CDP|CENSUS DESIGNATED PLACE|U1|S|Grafton County
NH|33|06020|02629716|Blodgett Landing CDP|CENSUS DESIGNATED PLACE|U1|S|Merrimack County
NH|33|06900|02629717|Bradford CDP|CENSUS DESIGNATED PLACE|U1|S|Merrimack County
NH|33|07620|02378054|Bristol CDP|CENSUS DESIGNATED PLACE|U1|S|Grafton County
NH|33|08900|02629718|Canaan CDP|CENSUS DESIGNATED PLACE|U1|S|Grafton County
NH|33|10820|02629719|Center Ossipee CDP|CENSUS DESIGNATED PLACE|U1|S|Carroll County
NH|33|10900|02629720|Center Sandwich CDP|CENSUS DESIGNATED PLACE|U1|S|Carroll County
NH|33|11300|02378055|Charlestown CDP|CENSUS DESIGNATED PLACE|U1|S|Sullivan County
NH|33|12900|00873567|Claremont city|INCORPORATED PLACE|C5|A|Sullivan County
NH|33|13700|02629721|Colebrook CDP|CENSUS DESIGNATED PLACE|U1|S|Coos County
NH|33|14200|00873569|Concord city|INCORPORATED PLACE|C5|A|Merrimack County
NH|33|14340|02378056|Contoocook CDP|CENSUS DESIGNATED PLACE|U1|S|Merrimack County
NH|33|14580|02378057|Conway CDP|CENSUS DESIGNATED PLACE|U1|S|Carroll County
NH|33|17860|02378058|Derry CDP|CENSUS DESIGNATED PLACE|U1|S|Rockingham County
NH|33|18820|00873580|Dover city|INCORPORATED PLACE|C5|A|Strafford County
NH|33|19620|02378059|Durham CDP|CENSUS DESIGNATED PLACE|U1|S|Strafford County
NH|33|21780|02378060|East Merrimack CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|24260|02378061|Enfield CDP|CENSUS DESIGNATED PLACE|U1|S|Grafton County
NH|33|24580|02378062|Epping CDP|CENSUS DESIGNATED PLACE|U1|S|Rockingham County
NH|33|25300|02378063|Exeter CDP|CENSUS DESIGNATED PLACE|U1|S|Rockingham County
NH|33|25940|02378064|Farmington CDP|CENSUS DESIGNATED PLACE|U1|S|Strafford County
NH|33|27060|02806679|Francestown CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|27380|00873600|Franklin city|INCORPORATED PLACE|C5|A|Merrimack County
NH|33|29780|02629722|Goffstown CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|30180|02378065|Gorham CDP|CENSUS DESIGNATED PLACE|U1|S|Coos County
NH|33|31860|02378066|Greenville CDP|CENSUS DESIGNATED PLACE|U1|S|Hillsborough County
NH|33|32260|02378067|Groveton CDP|CENSUS DESIGNATED PLACE|U1|S|Coos County
NH|33|32980|02378068|Hampton CDP|CENSUS DESIGNATED PLACE|U1|S|Rockingham County
