STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NJ|34|00100|00885134|Absecon city|INCORPORATED PLACE|C5|A|Atlantic County
NJ|34|00160|02804146|Absecon Highlands CDP|CENSUS DESIGNATED PLACE|U1|S|Atlantic County
NJ|34|00640|02583964|Allamuchy CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|00700|00885135|Allendale borough|INCORPORATED PLACE|C5|A|Bergen County
NJ|34|00730|00885136|Allenhurst borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|00760|00885137|Allentown borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|00790|02389124|Allenwood CDP|CENSUS DESIGNATED PLACE|U1|S|Monmouth County
NJ|34|00850|02389125|Alloway CDP|CENSUS DESIGNATED PLACE|U1|S|Salem County
NJ|34|01030|00885138|Alpha borough|INCORPORATED PLACE|C5|A|Warren County
NJ|34|01090|00885139|Alpine borough|INCORPORATED PLACE|C5|A|Bergen County
NJ|34|01184|02806225|Ampere North CDP|CENSUS DESIGNATED PLACE|U2|S|Essex County
NJ|34|01300|02583965|Anderson CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|01330|00885140|Andover borough|INCORPORATED PLACE|C5|A|Sussex County
NJ|34|01480|02389137|Annandale CDP|CENSUS DESIGNATED PLACE|U1|S|Hunterdon County
NJ|34|01825|02806227|Arrowhead Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
NJ|34|01900|02583966|Asbury CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|01960|00885141|Asbury Park city|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|01990|02389152|Ashland CDP|CENSUS DESIGNATED PLACE|U1|S|Camden County
NJ|34|02020|02806228|Atco CDP|CENSUS DESIGNATED PLACE|U1|S|Camden County
NJ|34|02080|00885142|Atlantic City city|INCORPORATED PLACE|C5|A|Atlantic County
NJ|34|02110|00885143|Atlantic Highlands borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|02170|02806229|Auburn CDP|CENSUS DESIGNATED PLACE|U1|S|Salem County
NJ|34|02200|00885144|Audubon borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|02230|00885145|Audubon Park borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|02320|00885146|Avalon borough|INCORPORATED PLACE|C5|A|Cape May County
NJ|34|02350|02389160|Avenel CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
NJ|34|02440|00885147|Avon-by-the-Sea borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|02880|02652335|Barclay CDP|CENSUS DESIGNATED PLACE|U2|S|Camden County
NJ|34|02920|02804147|Bargaintown CDP|CENSUS DESIGNATED PLACE|U1|S|Atlantic County
NJ|34|03040|02389174|Barnegat CDP|CENSUS DESIGNATED PLACE|U1|S|Ocean County
NJ|34|03130|00885148|Barnegat Light borough|INCORPORATED PLACE|C5|A|Ocean County
NJ|34|03250|00885149|Barrington borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|03340|02806230|Basking Ridge CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|03520|00885150|Bay Head borough|INCORPORATED PLACE|C5|A|Ocean County
NJ|34|03580|00885151|Bayonne city|INCORPORATED PLACE|C5|A|Hudson County
NJ|34|03940|00885152|Beach Haven borough|INCORPORATED PLACE|C5|A|Ocean County
NJ|34|04120|02389182|Beach Haven West CDP|CENSUS DESIGNATED PLACE|U1|S|Ocean County
NJ|34|04180|00885153|Beachwood borough|INCORPORATED PLACE|C5|A|Ocean County
NJ|34|04252|02389184|Beattystown CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|04400|02389189|Beckett CDP|CENSUS DESIGNATED PLACE|U1|S|Gloucester County
NJ|34|04420|02806231|Bedminster CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|04540|02806232|Beesleys Point CDP|CENSUS DESIGNATED PLACE|U1|S|Cape May County
NJ|34|04600|02389194|Belford CDP|CENSUS DESIGNATED PLACE|U1|S|Monmouth County
NJ|34|04630|02583967|Belle Mead CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|04660|02629044|Belleplain CDP|CENSUS DESIGNATED PLACE|U1|S|Cape May County
NJ|34|04750|00885154|Bellmawr borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|04930|00885155|Belmar borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|04990|00885156|Belvidere town|INCORPORATED PLACE|C5|A|Warren County
NJ|34|05170|00885157|Bergenfield borough|INCORPORATED PLACE|C5|A|Bergen County
NJ|34|05440|00885158|Berlin borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|05590|00885159|Bernardsville borough|INCORPORATED PLACE|C5|A|Somerset County
NJ|34|05740|00885160|Beverly city|INCORPORATED PLACE|C5|A|Burlington County
NJ|34|06025|02583968|Blackwells Mills CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|06040|02389213|Blackwood CDP|CENSUS DESIGNATED PLACE|U1|S|Camden County
NJ|34|06130|02583969|Blairstown CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|06190|02583970|Blawenburg CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|06340|00885161|Bloomingdale borough|INCORPORATED PLACE|C5|A|Passaic County
NJ|34|06370|00885162|Bloomsbury borough|INCORPORATED PLACE|C5|A|Hunterdon County
NJ|34|06490|00885163|Bogota borough|INCORPORATED PLACE|C5|A|Bergen County
NJ|34|06610|00885164|Boonton town|INCORPORATED PLACE|C5|A|Morris County
NJ|34|06670|00885165|Bordentown city|INCORPORATED PLACE|C5|A|Burlington County
NJ|34|06790|00885166|Bound Brook borough|INCORPORATED PLACE|C5|A|Somerset County
NJ|34|06970|00885167|Bradley Beach borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|07000|02583971|Bradley Gardens CDP|CENSUS DESIGNATED PLACE|U1|S|Somerset County
NJ|34|07120|02583972|Brainards CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|07300|00885168|Branchville borough|INCORPORATED PLACE|C5|A|Sussex County
NJ|34|07360|02389234|Brass Castle CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|07570|02806056|Bridgeport CDP|CENSUS DESIGNATED PLACE|U1|S|Gloucester County
NJ|34|07600|00885169|Bridgeton city|INCORPORATED PLACE|C5|A|Cumberland County
NJ|34|07660|02583973|Bridgeville CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|07728|02806057|Bridgewater Center CDP|CENSUS DESIGNATED PLACE|U2|S|Somerset County
NJ|34|07750|00885170|Brielle borough|INCORPORATED PLACE|C5|A|Monmouth County
NJ|34|07810|00885171|Brigantine city|INCORPORATED PLACE|C5|A|Atlantic County
NJ|34|08020|02583974|Broadway CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|08110|02583975|Brookdale CDP|CENSUS DESIGNATED PLACE|U1|S|Essex County
NJ|34|08140|02583976|Brookfield CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|08170|00885172|Brooklawn borough|INCORPORATED PLACE|C5|A|Camden County
NJ|34|08260|02806058|Brookside CDP|CENSUS DESIGNATED PLACE|U1|S|Morris County
NJ|34|08455|02389252|Browns Mills CDP|CENSUS DESIGNATED PLACE|U1|S|Burlington County
NJ|34|08492|02389253|Brownville CDP|CENSUS DESIGNATED PLACE|U1|S|Middlesex County
NJ|34|08620|02389258|Budd Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Morris County
NJ|34|08680|00885173|Buena borough|INCORPORATED PLACE|C5|A|Atlantic County
NJ|34|08890|02583977|Burleigh CDP|CENSUS DESIGNATED PLACE|U1|S|Cape May County
NJ|34|08920|00885174|Burlington city|INCORPORATED PLACE|C5|A|Burlington County
NJ|34|09040|00885175|Butler borough|INCORPORATED PLACE|C5|A|Morris County
NJ|34|09100|02583978|Buttzville CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
NJ|34|09170|02583979|Byram Center CDP|CENSUS DESIGNATED PLACE|U2|S|Sussex County
NJ|34|09250|02381010|Caldwell borough|INCORPORATED PLACE|C5|A|Essex County
NJ|34|09280|00885176|Califon borough|INCORPORATED PLACE|C5|A|Hunterdon County
NJ|34|10000|00885177|Camden city|INCORPORATED PLACE|C5|A|Camden County
NJ|34|10270|00885178|Cape May city|INCORPORATED PLACE|C5|A|Cape May County
NJ|34|10300|02389275|Cape May Court House CDP|CENSUS DESIGNATED PLACE|U1|S|Cape May County
NJ|34|10330|00885179|Cape May Point borough|INCORPORATED PLACE|C5|A|Cape May County
NJ|34|10450|02806059|Carlls Corner CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
NJ|34|10480|00885180|Carlstadt borough|INCORPORATED PLACE|C5|A|Bergen County
NJ|34|10600|02389281|Carneys Point CDP|CENSUS DESIGNATED PLACE|U1|S|Salem County
NJ|34|10750|00885181|Carteret borough|INCORPORATED PLACE|C5|A|Middlesex County
NJ|34|11140|02389291|Cedar Glen Lakes CDP|CENSUS DESIGNATED PLACE|U1|S|Ocean County
NJ|34|11155|02389292|Cedar Glen West CDP|CENSUS DESIGNATED PLACE|U1|S|Ocean County
NJ|34|11290|02806060|Cedar Knolls CDP|CENSUS DESIGNATED PLACE|U1|S|Morris County
NJ|34|11410|02389294|Cedarville CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
NJ|34|11770|02806061|Centre Grove CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
NJ|34|12100|00885182|Chatham borough|INCORPORATED PLACE|C5|A|Morris County
