STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NM|35|00240|02584042|Abeytas CDP|CENSUS DESIGNATED PLACE|U1|S|Socorro County
NM|35|00310|02584043|Abiquiu CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|00765|02407695|Acomita Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|00940|02584044|Adelino CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|01220|02407699|Agua Fria CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|01640|02584045|Alamillo CDP|CENSUS DESIGNATED PLACE|U1|S|Socorro County
NM|35|01710|02407708|Alamo CDP|CENSUS DESIGNATED PLACE|U1|S|Socorro County
NM|35|01780|02409672|Alamogordo city|INCORPORATED PLACE|C1|A|Otero County
NM|35|02000|02409678|Albuquerque city|INCORPORATED PLACE|C1|A|Bernalillo County
NM|35|02070|02407711|Alcalde CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|02210|02407718|Algodones CDP|CENSUS DESIGNATED PLACE|U1|S|Sandoval County
NM|35|02560|02806685|Alma CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|03400|02413529|Angel Fire village|INCORPORATED PLACE|C1|A|Colfax County
NM|35|03680|02806747|Angustura CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|03750|02584046|Animas CDP|CENSUS DESIGNATED PLACE|U1|S|Hidalgo County
NM|35|03820|02678944|Anthony city|INCORPORATED PLACE|C1|A|Doña Ana County
NM|35|03890|02584047|Anton Chico CDP|CENSUS DESIGNATED PLACE|U1|S|Guadalupe County
NM|35|03970|02585647|Anzac Village CDP|CENSUS DESIGNATED PLACE|U2|S|Cibola County
NM|35|04030|02584048|Apache Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|04450|02584050|Aragon CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|04660|02584051|Arenas Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|04870|02584052|Arrey CDP|CENSUS DESIGNATED PLACE|U1|S|Sierra County
NM|35|05002|02812758|Arroyo Hondo CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|05010|02629103|Arroyo Hondo CDP|CENSUS DESIGNATED PLACE|U1|S|Taos County
NM|35|05150|02629104|Arroyo Seco CDP|CENSUS DESIGNATED PLACE|U1|S|Taos County
NM|35|05220|02409736|Artesia city|INCORPORATED PLACE|C1|A|Eddy County
NM|35|05430|02584053|Atoka CDP|CENSUS DESIGNATED PLACE|U1|S|Eddy County
NM|35|05780|02409767|Aztec city|INCORPORATED PLACE|C1|A|San Juan County
NM|35|06220|02806682|Barton CDP|CENSUS DESIGNATED PLACE|U1|S|Bernalillo County~~~Santa Fe County
NM|35|06270|02409799|Bayard city|INCORPORATED PLACE|C1|A|Grant County
NM|35|06340|02813403|Becenti CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|06425|02407820|Beclabito CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|06480|02409814|Belen city|INCORPORATED PLACE|C1|A|Valencia County
NM|35|06760|02584054|Bent CDP|CENSUS DESIGNATED PLACE|U1|S|Otero County
NM|35|06830|02584055|Berino CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|06970|02411678|Bernalillo town|INCORPORATED PLACE|C1|A|Sandoval County
NM|35|07145|02584056|Bibo CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|07492|02806707|Black Hat CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|07670|02407858|Black Rock CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|07810|02584057|Blanco CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|07880|02409865|Bloomfield city|INCORPORATED PLACE|C1|A|San Juan County
NM|35|08180|02806710|Bluewater CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|08190|02584059|Bluewater Village CDP|CENSUS DESIGNATED PLACE|U2|S|Cibola County
NM|35|08440|02407874|Boles Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Otero County
NM|35|08493|02806712|Borrego Pass CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|08580|02413534|Bosque Farms village|INCORPORATED PLACE|C1|A|Valencia County
NM|35|08860|02584060|Brazos CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|09035|02407905|Brimhall Nizhoni CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|09202|02806688|Broadview CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|09630|02584061|Buckhorn CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|09980|02806697|Butterfield Park CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|10050|02584062|Caballo CDP|CENSUS DESIGNATED PLACE|U1|S|Sierra County
NM|35|10470|02407951|Cañada de los Alamos CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|10592|02806689|Candy Kitchen CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|10610|02584063|Canjilon CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|10750|02407952|Cannon AFB CDP|CENSUS DESIGNATED PLACE|M2|S|Curry County
NM|35|10770|02584064|Cañon CDP|CENSUS DESIGNATED PLACE|U1|S|Sandoval County
NM|35|11256|02806757|Cañoncito CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|11310|02584065|Cañones CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|11520|02584066|Canova CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|11800|02413537|Capitan village|INCORPORATED PLACE|C1|A|Lincoln County
NM|35|12010|02584068|Capulin CDP|CENSUS DESIGNATED PLACE|U1|S|Union County
NM|35|12150|02409985|Carlsbad city|INCORPORATED PLACE|C1|A|Eddy County
NM|35|12430|02407968|Carnuel CDP|CENSUS DESIGNATED PLACE|U1|S|Bernalillo County
NM|35|12500|02413174|Carrizozo town|INCORPORATED PLACE|C1|A|Lincoln County
NM|35|12786|02407977|Casa Colorada CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|12833|02806702|Casas Adobes CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|12844|02806713|Catalpa Canyon CDP|CENSUS DESIGNATED PLACE|U2|S|McKinley County
NM|35|12850|02413538|Causey village|INCORPORATED PLACE|C1|A|Roosevelt County
NM|35|13200|02407997|Cedar Crest CDP|CENSUS DESIGNATED PLACE|U1|S|Bernalillo County
NM|35|13270|02407999|Cedar Grove CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|13340|02584070|Cedar Hill CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|13450|02584071|Cedro CDP|CENSUS DESIGNATED PLACE|U1|S|Bernalillo County
NM|35|13540|02806749|Center Point CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|13970|02413539|Chama village|INCORPORATED PLACE|C1|A|Rio Arriba County
NM|35|14040|02584072|Chamberino CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|14110|02408009|Chamisal CDP|CENSUS DESIGNATED PLACE|U1|S|Taos County
NM|35|14180|02584073|Chamita CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|14200|02584074|Chamizal CDP|CENSUS DESIGNATED PLACE|U1|S|Socorro County
NM|35|14250|02408012|Chaparral CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County~~~Otero County
NM|35|14670|02584075|Chical CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|14810|02584076|Chili CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|14880|02408025|Chilili CDP|CENSUS DESIGNATED PLACE|U1|S|Bernalillo County
NM|35|14950|02408026|Chimayo CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County~~~Santa Fe County
NM|35|15300|02407617|Chupadero CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|15370|02407618|Church Rock CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|15440|02413540|Cimarron village|INCORPORATED PLACE|C1|A|Colfax County
NM|35|15560|02584077|City of the Sun CDP|CENSUS DESIGNATED PLACE|U1|S|Luna County
NM|35|15720|02413209|Clayton town|INCORPORATED PLACE|C1|A|Union County
NM|35|15860|02584078|Cliff CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|16280|02413541|Cloudcroft village|INCORPORATED PLACE|C1|A|Otero County
NM|35|16420|02409489|Clovis city|INCORPORATED PLACE|C1|A|Curry County
NM|35|16490|02584079|Cobre CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|16560|02407644|Cochiti CDP|CENSUS DESIGNATED PLACE|U1|S|Sandoval County
NM|35|16585|02584080|Cochiti Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Sandoval County
NM|35|17050|02413542|Columbus village|INCORPORATED PLACE|C1|A|Luna County
NM|35|17260|02629107|Conchas Dam CDP|CENSUS DESIGNATED PLACE|U2|S|San Miguel County
NM|35|17295|02806758|Conejo CDP|CENSUS DESIGNATED PLACE|U2|S|Santa Fe County
NM|35|17330|02806714|Continental Divide CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|17610|02584081|Cordova CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|17680|02413543|Corona village|INCORPORATED PLACE|C1|A|Lincoln County
NM|35|17960|02413544|Corrales village|INCORPORATED PLACE|C1|A|Sandoval County
NM|35|18240|02629108|Costilla CDP|CENSUS DESIGNATED PLACE|U1|S|Taos County
NM|35|18310|02584082|Cotton City CDP|CENSUS DESIGNATED PLACE|U1|S|Hidalgo County
NM|35|18660|02584083|Coyote CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|18770|02806715|Crestview CDP|CENSUS DESIGNATED PLACE|U2|S|McKinley County
NM|35|18905|02806751|Crouch Mesa CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|18940|02407689|Crownpoint CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|19010|02584084|Cruzville CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|19080|02407690|Crystal CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County~~~San Juan County
NM|35|19110|02408630|Cuartelez CDP|CENSUS DESIGNATED PLACE|U2|S|Santa Fe County
NM|35|19150|02413545|Cuba village|INCORPORATED PLACE|C1|A|Sandoval County
NM|35|19220|02584085|Cubero CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|19500|02408633|Cundiyo CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|19640|02408638|Cuyamungue CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|19645|02584086|Cuyamungue Grant CDP|CENSUS DESIGNATED PLACE|U2|S|Santa Fe County
NM|35|19920|02584087|Datil CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|20015|02806785|Deer Canyon CDP|CENSUS DESIGNATED PLACE|U1|S|Torrance County
NM|35|20270|02410321|Deming city|INCORPORATED PLACE|C1|A|Luna County
NM|35|20480|02413546|Des Moines village|INCORPORATED PLACE|C1|A|Union County
NM|35|20620|02412426|Dexter town|INCORPORATED PLACE|C1|A|Chaves County
NM|35|20830|02584088|Dixon CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|21110|02408681|Doña Ana CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|21180|02413547|Dora village|INCORPORATED PLACE|C1|A|Roosevelt County
NM|35|21390|02408695|Dulce CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|21810|02584090|Duran CDP|CENSUS DESIGNATED PLACE|U1|S|Torrance County
NM|35|22020|02413548|Eagle Nest village|INCORPORATED PLACE|C1|A|Colfax County
NM|35|22230|02629109|East Pecos CDP|CENSUS DESIGNATED PLACE|U1|S|San Miguel County
NM|35|22380|02412467|Edgewood town|INCORPORATED PLACE|C1|A|Bernalillo County~~~Sandoval County~~~Santa Fe County
NM|35|22390|02584091|Edith Endave CDP|CENSUS DESIGNATED PLACE|U2|S|Bernalillo County
NM|35|22580|02584092|El Cerro CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|22582|02652546|El Cerro Mission CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|22625|02408070|Eldorado at Santa Fe CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|22650|02584093|El Duende CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|22720|02410420|Elephant Butte city|INCORPORATED PLACE|C1|A|Sierra County
NM|35|23000|02412473|Elida town|INCORPORATED PLACE|C1|A|Roosevelt County
NM|35|23497|02813404|El Morro Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|23840|02408059|El Rancho CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|24120|02584094|El Rito CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|24347|02408063|El Valle de Arroyo Seco CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|24453|02806759|Encantado CDP|CENSUS DESIGNATED PLACE|U2|S|Santa Fe County
NM|35|24540|02408082|Encinal CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|24610|02413549|Encino village|INCORPORATED PLACE|C1|A|Torrance County
NM|35|24960|02584095|Ensenada CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|25100|02584096|Escondida CDP|CENSUS DESIGNATED PLACE|U1|S|Socorro County
NM|35|25135|02584097|Escudilla Bonita CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|25170|02410456|Española city|INCORPORATED PLACE|C1|A|Rio Arriba County~~~Santa Fe County
NM|35|25380|02412601|Estancia town|INCORPORATED PLACE|C1|A|Torrance County
NM|35|25450|02410462|Eunice city|INCORPORATED PLACE|C1|A|Lea County
NM|35|25590|02584098|Fairacres CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|25800|02410487|Farmington city|INCORPORATED PLACE|C1|A|San Juan County
NM|35|25870|02584099|Faywood CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|26010|02584100|Fence Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|26360|02408216|Flora Vista CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|26570|02413551|Floyd village|INCORPORATED PLACE|C1|A|Roosevelt County
NM|35|26780|02413552|Folsom village|INCORPORATED PLACE|C1|A|Union County
NM|35|27340|02413553|Fort Sumner village|INCORPORATED PLACE|C1|A|De Baca County
NM|35|27410|02806716|Fort Wingate CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|27760|02813405|Fruitland CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
NM|35|27970|02408272|Galisteo CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|28180|02584067|Gallina CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|28460|02410562|Gallup city|INCORPORATED PLACE|C1|A|McKinley County
NM|35|28530|02806717|Gamerco CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|28670|02584101|Garfield CDP|CENSUS DESIGNATED PLACE|U1|S|Doña Ana County
NM|35|29160|02584102|Gila CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|29230|02806703|Gila Hot Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|29540|02584103|Glen Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Hidalgo County
NM|35|29790|02584104|Glenwood CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|29860|02408302|Glorieta CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|30000|02584105|Golden CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|30035|02806691|Golden Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Cibola County
NM|35|30210|02413554|Grady village|INCORPORATED PLACE|C1|A|Curry County
NM|35|30490|02410646|Grants city|INCORPORATED PLACE|C1|A|Cibola County
NM|35|30770|02413556|Grenville village|INCORPORATED PLACE|C1|A|Union County
NM|35|31190|02584106|Hachita CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|31330|02412718|Hagerman town|INCORPORATED PLACE|C1|A|Chaves County
NM|35|31540|02584107|Hanover CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
NM|35|31680|02584108|Happy Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Eddy County
NM|35|31820|02413557|Hatch village|INCORPORATED PLACE|C1|A|Doña Ana County
NM|35|31925|02806718|Haystack CDP|CENSUS DESIGNATED PLACE|U2|S|McKinley County
NM|35|32100|02584109|Hernandez CDP|CENSUS DESIGNATED PLACE|U1|S|Rio Arriba County
NM|35|32148|02584110|Highland Meadows CDP|CENSUS DESIGNATED PLACE|U1|S|Valencia County
NM|35|32160|02584111|High Rolls CDP|CENSUS DESIGNATED PLACE|U1|S|Otero County
NM|35|32380|02584112|Hillsboro CDP|CENSUS DESIGNATED PLACE|U1|S|Sierra County
NM|35|32520|02410771|Hobbs city|INCORPORATED PLACE|C1|A|Lea County
NM|35|32940|02408395|Holloman AFB CDP|CENSUS DESIGNATED PLACE|M2|S|Otero County
NM|35|33122|02806720|Homer C Jones CDP|CENSUS DESIGNATED PLACE|U1|S|McKinley County
NM|35|33130|02584113|Homestead CDP|CENSUS DESIGNATED PLACE|U1|S|Catron County
NM|35|33290|02413559|Hope village|INCORPORATED PLACE|C1|A|Eddy County
NM|35|33640|02584114|Hot Springs Landing CDP|CENSUS DESIGNATED PLACE|U1|S|Sierra County
NM|35|33710|02413560|House village|INCORPORATED PLACE|C1|A|Quay County
NM|35|33850|02412784|Hurley town|INCORPORATED PLACE|C1|A|Grant County
NM|35|33920|02806760|Hyde Park CDP|CENSUS DESIGNATED PLACE|U1|S|Santa Fe County
NM|35|34430|02584089|Indian Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Torrance County
