STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NY|36|00155|02389116|Accord CDP|CENSUS DESIGNATED PLACE|U1|S|Ulster County
NY|36|00199|02391499|Adams village|INCORPORATED PLACE|C1|A|Jefferson County
NY|36|00232|02389117|Adams Center CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
NY|36|00276|02391500|Addison village|INCORPORATED PLACE|C1|A|Steuben County
NY|36|00342|02391501|Afton village|INCORPORATED PLACE|C1|A|Chenango County
NY|36|00408|02391502|Airmont village|INCORPORATED PLACE|C1|A|Rockland County
NY|36|00441|02391503|Akron village|INCORPORATED PLACE|C1|A|Erie County
NY|36|00457|02806937|Akwesasne CDP|CENSUS DESIGNATED PLACE|U2|S|Franklin County~~~St. Lawrence County
NY|36|01000|00978659|Albany city|INCORPORATED PLACE|C5|A|Albany County
NY|36|01011|02389121|Albertson CDP|CENSUS DESIGNATED PLACE|U1|S|Nassau County
NY|36|01033|02391504|Albion village|INCORPORATED PLACE|C1|A|Orleans County
NY|36|01088|02391505|Alden village|INCORPORATED PLACE|C1|A|Erie County
NY|36|01154|02391506|Alexander village|INCORPORATED PLACE|C1|A|Genesee County
NY|36|01187|02391507|Alexandria Bay village|INCORPORATED PLACE|C1|A|Jefferson County
NY|36|01198|02391508|Alfred village|INCORPORATED PLACE|C1|A|Allegany County
NY|36|01286|02391509|Allegany village|INCORPORATED PLACE|C1|A|Cattaraugus County
NY|36|01440|02391510|Almond village|INCORPORATED PLACE|C1|A|Allegany County~~~Steuben County
NY|36|01517|02391511|Altamont village|INCORPORATED PLACE|C1|A|Albany County
NY|36|01550|02772072|Altmar CDP|CENSUS DESIGNATED PLACE|U1|S|Oswego County
NY|36|01572|02389128|Altona CDP|CENSUS DESIGNATED PLACE|U1|S|Clinton County
NY|36|01594|02389130|Amagansett CDP|CENSUS DESIGNATED PLACE|U1|S|Suffolk County
NY|36|01682|02389131|Amenia CDP|CENSUS DESIGNATED PLACE|U1|S|Dutchess County
NY|36|01737|02391513|Ames village|INCORPORATED PLACE|C1|A|Montgomery County
NY|36|02044|02391514|Amityville village|INCORPORATED PLACE|C1|A|Suffolk County
NY|36|02066|00978677|Amsterdam city|INCORPORATED PLACE|C5|A|Montgomery County
NY|36|02121|02627968|Andes CDP|CENSUS DESIGNATED PLACE|U1|S|Delaware County
NY|36|02143|02391515|Andover village|INCORPORATED PLACE|C1|A|Allegany County
NY|36|02176|02391516|Angelica village|INCORPORATED PLACE|C1|A|Allegany County
NY|36|02198|02391517|Angola village|INCORPORATED PLACE|C1|A|Erie County
NY|36|02220|02389136|Angola on the Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Erie County
NY|36|02286|02391518|Antwerp village|INCORPORATED PLACE|C1|A|Jefferson County
NY|36|02308|02389140|Apalachin CDP|CENSUS DESIGNATED PLACE|U1|S|Tioga County
NY|36|02374|02389141|Aquebogue CDP|CENSUS DESIGNATED PLACE|U1|S|Suffolk County
NY|36|02407|02391519|Arcade village|INCORPORATED PLACE|C1|A|Wyoming County
NY|36|02506|02391523|Ardsley village|INCORPORATED PLACE|C1|A|Westchester County
NY|36|02550|02391524|Argyle village|INCORPORATED PLACE|C1|A|Washington County
NY|36|02583|02391525|Arkport village|INCORPORATED PLACE|C1|A|Steuben County
NY|36|02616|02389147|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Dutchess County
NY|36|02649|02389150|Armonk CDP|CENSUS DESIGNATED PLACE|U1|S|Westchester County
NY|36|02737|02391526|Asharoken village|INCORPORATED PLACE|C1|A|Suffolk County
NY|36|02902|02391527|Athens village|INCORPORATED PLACE|C1|A|Greene County
NY|36|02968|02391528|Atlantic Beach village|INCORPORATED PLACE|C1|A|Nassau County
NY|36|03001|02391529|Attica village|INCORPORATED PLACE|C1|A|Genesee County~~~Wyoming County
NY|36|03078|00978695|Auburn city|INCORPORATED PLACE|C5|A|Cayuga County
NY|36|03188|02391530|Aurora village|INCORPORATED PLACE|C1|A|Cayuga County
NY|36|03254|02389158|Au Sable Forks CDP|CENSUS DESIGNATED PLACE|U1|S|Clinton County
NY|36|03320|02389161|Averill Park CDP|CENSUS DESIGNATED PLACE|U1|S|Rensselaer County
NY|36|03331|02391531|Avoca village|INCORPORATED PLACE|C1|A|Steuben County
NY|36|03353|02391532|Avon village|INCORPORATED PLACE|C1|A|Livingston County
NY|36|03408|02391533|Babylon village|INCORPORATED PLACE|C1|A|Suffolk County
NY|36|04033|02391534|Bainbridge village|INCORPORATED PLACE|C1|A|Chenango County
NY|36|04055|02389167|Baiting Hollow CDP|CENSUS DESIGNATED PLACE|U1|S|Suffolk County
NY|36|04143|02389168|Baldwin CDP|CENSUS DESIGNATED PLACE|U1|S|Nassau County
NY|36|04198|02391535|Baldwinsville village|INCORPORATED PLACE|C1|A|Onondaga County
NY|36|04253|02391536|Ballston Spa village|INCORPORATED PLACE|C1|A|Saratoga County
NY|36|04286|02389171|Balmville CDP|CENSUS DESIGNATED PLACE|U1|S|Orange County
NY|36|04388|02806923|Bard College CDP|CENSUS DESIGNATED PLACE|U1|S|Dutchess County
NY|36|04396|02389173|Bardonia CDP|CENSUS DESIGNATED PLACE|U1|S|Rockland County
NY|36|04440|02391538|Barker village|INCORPORATED PLACE|C1|A|Niagara County
NY|36|04528|02791520|Barneveld CDP|CENSUS DESIGNATED PLACE|U1|S|Oneida County
NY|36|04550|02389175|Barnum Island CDP|CENSUS DESIGNATED PLACE|U1|S|Nassau County
NY|36|04605|02806924|Barrytown CDP|CENSUS DESIGNATED PLACE|U1|S|Dutchess County
NY|36|04616|02806961|Barryville CDP|CENSUS DESIGNATED PLACE|U1|S|Sullivan County
NY|36|04715|00978713|Batavia city|INCORPORATED PLACE|C5|A|Genesee County
NY|36|04759|02391540|Bath village|INCORPORATED PLACE|C1|A|Steuben County
NY|36|04803|02391541|Baxter Estates village|INCORPORATED PLACE|C1|A|Nassau County
NY|36|04891|02389178|Bay Park CDP|CENSUS DESIGNATED PLACE|U1|S|Nassau County
NY|36|04913|02389180|Bayport CDP|CENSUS DESIGNATED PLACE|U1|S|Suffolk County
NY|36|04935|02389179|Bay Shore CDP|CENSUS DESIGNATED PLACE|U1|S|Suffolk County
NY|36|05034|02391542|Bayville village|INCORPORATED PLACE|C1|A|Nassau County
NY|36|05039|02389181|Baywood CDP|CENSUS DESIGNATED PLACE|U2|S|Suffolk County
NY|36|05100|00978716|Beacon city|INCORPORATED PLACE|C5|A|Dutchess County
NY|36|05188|02652336|Beaver Dam Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Orange County
NY|36|05309|02389190|Bedford CDP|CENSUS DESIGNATED PLACE|U1|S|Westchester County
NY|36|05342|02585491|Bedford Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Westchester County
NY|36|05562|02627970|Belfast CDP|CENSUS DESIGNATED PLACE|U1|S|Allegany County
NY|36|05639|02391545|Bellerose village|INCORPORATED PLACE|C1|A|Nassau County
NY|36|05661|02389196|Bellerose Terrace CDP|CENSUS DESIGNATED PLACE|U1|S|Nassau County
