STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
NC|37|00160|02405118|Aberdeen town|INCORPORATED PLACE|C1|A|Moore County
NC|37|00440|02584307|Advance CDP|CENSUS DESIGNATED PLACE|U1|S|Davie County
NC|37|00500|02405124|Ahoskie town|INCORPORATED PLACE|C1|A|Hertford County
NC|37|00640|02407406|Alamance village|INCORPORATED PLACE|C1|A|Alamance County
NC|37|00680|02403073|Albemarle city|INCORPORATED PLACE|C1|A|Stanly County
NC|37|00880|02812793|Alexis CDP|CENSUS DESIGNATED PLACE|U1|S|Gaston County
NC|37|01000|02405137|Alliance town|INCORPORATED PLACE|C1|A|Pamlico County
NC|37|01140|02402639|Altamahaw CDP|CENSUS DESIGNATED PLACE|U1|S|Alamance County
NC|37|01340|02805281|Anderson Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Harnett County
NC|37|01380|02405151|Andrews town|INCORPORATED PLACE|C1|A|Cherokee County
NC|37|01400|02405152|Angier town|INCORPORATED PLACE|C1|A|Harnett County~~~Wake County
NC|37|01420|02405154|Ansonville town|INCORPORATED PLACE|C1|A|Anson County
NC|37|01520|02405157|Apex town|INCORPORATED PLACE|C1|A|Wake County
NC|37|01560|02628610|Aquadale CDP|CENSUS DESIGNATED PLACE|U1|S|Stanly County
NC|37|01640|02405159|Arapahoe town|INCORPORATED PLACE|C1|A|Pamlico County
NC|37|01720|02403108|Archdale city|INCORPORATED PLACE|C1|A|Guilford County~~~Randolph County
NC|37|01760|02612171|Archer Lodge town|INCORPORATED PLACE|C1|A|Johnston County
NC|37|01972|02812784|Arrowhead Beach CDP|CENSUS DESIGNATED PLACE|U1|S|Chowan County
NC|37|02080|02403119|Asheboro city|INCORPORATED PLACE|C1|A|Randolph County
NC|37|02140|02403120|Asheville city|INCORPORATED PLACE|C5|A|Buncombe County
NC|37|02240|02402653|Ashley Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Hoke County
NC|37|02320|02405176|Askewville town|INCORPORATED PLACE|C1|A|Bertie County
NC|37|02460|02405178|Atkinson town|INCORPORATED PLACE|C1|A|Pender County
NC|37|02480|02628611|Atlantic CDP|CENSUS DESIGNATED PLACE|U1|S|Carteret County
NC|37|02500|02405180|Atlantic Beach town|INCORPORATED PLACE|C1|A|Carteret County
NC|37|02580|02405185|Aulander town|INCORPORATED PLACE|C1|A|Bertie County
NC|37|02620|02405186|Aurora town|INCORPORATED PLACE|C1|A|Beaufort County
NC|37|02700|02405188|Autryville town|INCORPORATED PLACE|C1|A|Sampson County
NC|37|02760|02402655|Avery Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Buncombe County
NC|37|02780|02628612|Avon CDP|CENSUS DESIGNATED PLACE|U1|S|Dare County
NC|37|02840|02405193|Ayden town|INCORPORATED PLACE|C1|A|Pitt County
NC|37|02960|02405196|Badin town|INCORPORATED PLACE|C1|A|Stanly County
NC|37|03020|02405197|Bailey town|INCORPORATED PLACE|C1|A|Nash County
NC|37|03100|02405201|Bakersville town|INCORPORATED PLACE|C1|A|Mitchell County
NC|37|03150|02407414|Bald Head Island village|INCORPORATED PLACE|C1|A|Brunswick County
NC|37|03220|02402660|Balfour CDP|CENSUS DESIGNATED PLACE|U1|S|Henderson County
NC|37|03500|02405208|Banner Elk town|INCORPORATED PLACE|C1|A|Avery County
NC|37|03640|02402663|Barker Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Henderson County
NC|37|03665|02402664|Barker Ten Mile CDP|CENSUS DESIGNATED PLACE|U1|S|Robeson County
NC|37|03720|02812779|Barnardsville CDP|CENSUS DESIGNATED PLACE|U1|S|Buncombe County
NC|37|03840|02405214|Bath town|INCORPORATED PLACE|C1|A|Beaufort County
NC|37|03960|02405218|Bayboro town|INCORPORATED PLACE|C1|A|Pamlico County
NC|37|04015|02402672|Bayshore CDP|CENSUS DESIGNATED PLACE|U1|S|New Hanover County
NC|37|04040|02628613|Bayview CDP|CENSUS DESIGNATED PLACE|U1|S|Beaufort County
NC|37|04180|02405220|Bear Grass town|INCORPORATED PLACE|C1|A|Martin County
NC|37|04260|02405222|Beaufort town|INCORPORATED PLACE|C1|A|Carteret County
NC|37|04510|02405226|Beech Mountain town|INCORPORATED PLACE|C1|A|Avery County~~~Watauga County
NC|37|04640|02405229|Belhaven town|INCORPORATED PLACE|C1|A|Beaufort County
NC|37|04680|02584308|Bell Arthur CDP|CENSUS DESIGNATED PLACE|U1|S|Pitt County
NC|37|04840|02403850|Belmont city|INCORPORATED PLACE|C1|A|Gaston County
NC|37|04950|02405238|Belville town|INCORPORATED PLACE|C1|A|Brunswick County
NC|37|04955|02584309|Belvoir CDP|CENSUS DESIGNATED PLACE|U1|S|Pitt County
NC|37|04960|02405239|Belwood town|INCORPORATED PLACE|C1|A|Cleveland County
NC|37|05020|02628614|Bennett CDP|CENSUS DESIGNATED PLACE|U1|S|Chatham County
NC|37|05040|02405242|Benson town|INCORPORATED PLACE|C1|A|Harnett County~~~Johnston County
NC|37|05049|02402683|Bent Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Buncombe County
NC|37|05135|02405248|Bermuda Run town|INCORPORATED PLACE|C1|A|Davie County
NC|37|05220|02403865|Bessemer City city|INCORPORATED PLACE|C1|A|Gaston County
NC|37|05340|02405252|Bethania town|INCORPORATED PLACE|C1|A|Forsyth County
NC|37|05460|02405253|Bethel town|INCORPORATED PLACE|C1|A|Pitt County
NC|37|05530|02402685|Bethlehem CDP|CENSUS DESIGNATED PLACE|U1|S|Alexander County
NC|37|05660|02405259|Beulaville town|INCORPORATED PLACE|C1|A|Duplin County
NC|37|05880|02405266|Biltmore Forest town|INCORPORATED PLACE|C1|A|Buncombe County
NC|37|06000|02405268|Biscoe town|INCORPORATED PLACE|C1|A|Montgomery County
NC|37|06080|02405271|Black Creek town|INCORPORATED PLACE|C1|A|Wilson County
NC|37|06140|02405272|Black Mountain town|INCORPORATED PLACE|C1|A|Buncombe County
NC|37|06240|02405277|Bladenboro town|INCORPORATED PLACE|C1|A|Bladen County
NC|37|06500|02405281|Blowing Rock town|INCORPORATED PLACE|C1|A|Caldwell County~~~Watauga County
NC|37|06510|02584310|Blue Clay Farms CDP|CENSUS DESIGNATED PLACE|U2|S|New Hanover County
NC|37|06660|02405292|Boardman town|INCORPORATED PLACE|C1|A|Columbus County
NC|37|06740|02405295|Bogue town|INCORPORATED PLACE|C1|A|Carteret County
NC|37|06760|02403889|Boiling Spring Lakes city|INCORPORATED PLACE|C1|A|Brunswick County
NC|37|06800|02405296|Boiling Springs town|INCORPORATED PLACE|C1|A|Cleveland County
NC|37|06820|02405298|Bolivia town|INCORPORATED PLACE|C1|A|Brunswick County
NC|37|06860|02405300|Bolton town|INCORPORATED PLACE|C1|A|Columbus County
NC|37|06980|02402703|Bonnetsville CDP|CENSUS DESIGNATED PLACE|U1|S|Sampson County
NC|37|07080|02405303|Boone town|INCORPORATED PLACE|C1|A|Watauga County
NC|37|07140|02405304|Boonville town|INCORPORATED PLACE|C1|A|Yadkin County
NC|37|07220|02405305|Bostic town|INCORPORATED PLACE|C1|A|Rutherford County
NC|37|07340|02812792|Bowdens CDP|CENSUS DESIGNATED PLACE|U1|S|Duplin County
NC|37|07400|02402708|Bowmore CDP|CENSUS DESIGNATED PLACE|U1|S|Hoke County
NC|37|07588|02812780|Brandywine Bay CDP|CENSUS DESIGNATED PLACE|U1|S|Carteret County
NC|37|07720|02403920|Brevard city|INCORPORATED PLACE|C1|A|Transylvania County
NC|37|07748|02812781|Briar Chapel CDP|CENSUS DESIGNATED PLACE|U1|S|Chatham County
NC|37|07765|02402714|Brices Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Craven County
NC|37|07860|02405319|Bridgeton town|INCORPORATED PLACE|C1|A|Craven County
