STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
ND|38|00100|01035900|Abercrombie city|INCORPORATED PLACE|C5|A|Richland County
ND|38|00340|01035901|Adams city|INCORPORATED PLACE|C5|A|Walsh County
ND|38|00940|01035902|Alamo city|INCORPORATED PLACE|C5|A|Williams County
ND|38|01180|01035903|Alexander city|INCORPORATED PLACE|C5|A|McKenzie County
ND|38|01420|01035904|Alice city|INCORPORATED PLACE|C5|A|Cass County
ND|38|01700|01035905|Almont city|INCORPORATED PLACE|C5|A|Morton County
ND|38|01740|01035906|Alsen city|INCORPORATED PLACE|C5|A|Cavalier County
ND|38|01860|01035907|Ambrose city|INCORPORATED PLACE|C5|A|Divide County
ND|38|01940|01035908|Amenia city|INCORPORATED PLACE|C5|A|Cass County
ND|38|02060|01035909|Amidon city|INCORPORATED PLACE|C5|A|Slope County
ND|38|02220|01035910|Anamoose city|INCORPORATED PLACE|C5|A|McHenry County
ND|38|02380|01035911|Aneta city|INCORPORATED PLACE|C5|A|Nelson County
ND|38|02660|01035912|Antler city|INCORPORATED PLACE|C5|A|Bottineau County
ND|38|02820|02812804|Apple Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Burleigh County
ND|38|02860|01035913|Ardoch city|INCORPORATED PLACE|C5|A|Walsh County
ND|38|03020|01035914|Argusville city|INCORPORATED PLACE|C5|A|Cass County
ND|38|03220|01035915|Arnegard city|INCORPORATED PLACE|C5|A|McKenzie County
ND|38|03300|01035916|Arthur city|INCORPORATED PLACE|C5|A|Cass County
ND|38|03540|01035917|Ashley city|INCORPORATED PLACE|C5|A|McIntosh County
ND|38|03740|02584335|Auburn CDP|CENSUS DESIGNATED PLACE|U1|S|Walsh County
ND|38|04020|01035918|Ayr city|INCORPORATED PLACE|C5|A|Cass County
ND|38|04460|01035919|Balfour city|INCORPORATED PLACE|C5|A|McHenry County
ND|38|04580|01035920|Balta city|INCORPORATED PLACE|C5|A|Pierce County
ND|38|04740|01035921|Bantry city|INCORPORATED PLACE|C5|A|McHenry County
ND|38|04940|01035922|Barney city|INCORPORATED PLACE|C5|A|Richland County
ND|38|05220|02584336|Barton CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
ND|38|05260|01035924|Bathgate city|INCORPORATED PLACE|C5|A|Pembina County
ND|38|05420|01035925|Beach city|INCORPORATED PLACE|C5|A|Golden Valley County
ND|38|05740|02393335|Belcourt CDP|CENSUS DESIGNATED PLACE|U1|S|Rolette County
ND|38|05820|01035926|Belfield city|INCORPORATED PLACE|C5|A|Stark County
ND|38|05980|01035927|Benedict city|INCORPORATED PLACE|C5|A|McLean County
ND|38|06180|01035928|Bergen city|INCORPORATED PLACE|C5|A|McHenry County
ND|38|06300|01035929|Berlin city|INCORPORATED PLACE|C5|A|LaMoure County
ND|38|06460|01035930|Berthold city|INCORPORATED PLACE|C5|A|Ward County
ND|38|06660|01035931|Beulah city|INCORPORATED PLACE|C5|A|Mercer County
ND|38|07020|01035932|Binford city|INCORPORATED PLACE|C5|A|Griggs County
ND|38|07180|01035933|Bisbee city|INCORPORATED PLACE|C5|A|Towner County
ND|38|07200|01035934|Bismarck city|INCORPORATED PLACE|C5|A|Burleigh County
ND|38|07456|02805286|Blacktail CDP|CENSUS DESIGNATED PLACE|U1|S|Williams County
ND|38|07620|02584337|Blanchard CDP|CENSUS DESIGNATED PLACE|U1|S|Traill County
ND|38|08460|01035936|Bottineau city|INCORPORATED PLACE|C5|A|Bottineau County
ND|38|08500|01035937|Bowbells city|INCORPORATED PLACE|C5|A|Burke County
ND|38|08580|01035938|Bowdon city|INCORPORATED PLACE|C5|A|Wells County
ND|38|08700|01035939|Bowman city|INCORPORATED PLACE|C5|A|Bowman County
ND|38|08900|01035940|Braddock city|INCORPORATED PLACE|C5|A|Emmons County
ND|38|09320|01035941|Briarwood city|INCORPORATED PLACE|C5|A|Cass County
ND|38|09460|01035942|Brinsmade city|INCORPORATED PLACE|C5|A|Benson County
ND|38|09700|01035943|Brocket city|INCORPORATED PLACE|C5|A|Ramsey County
ND|38|09830|02585496|Brooktree Park CDP|CENSUS DESIGNATED PLACE|U1|S|Cass County
ND|38|10060|01035944|Buchanan city|INCORPORATED PLACE|C5|A|Stutsman County
ND|38|10300|01035945|Bucyrus city|INCORPORATED PLACE|C5|A|Adams County
ND|38|10420|01035946|Buffalo city|INCORPORATED PLACE|C5|A|Cass County
ND|38|10940|01035947|Burlington city|INCORPORATED PLACE|C5|A|Ward County
ND|38|11180|01035948|Butte city|INCORPORATED PLACE|C5|A|McLean County
ND|38|11340|01035949|Buxton city|INCORPORATED PLACE|C5|A|Traill County
ND|38|11500|02584338|Caledonia CDP|CENSUS DESIGNATED PLACE|U1|S|Traill County
ND|38|11580|01035950|Calio city|INCORPORATED PLACE|C5|A|Cavalier County
ND|38|11700|01035951|Calvin city|INCORPORATED PLACE|C5|A|Cavalier County
ND|38|11860|01035952|Cando city|INCORPORATED PLACE|C5|A|Towner County
ND|38|12020|02393365|Cannon Ball CDP|CENSUS DESIGNATED PLACE|U1|S|Sioux County
ND|38|12060|01035953|Canton City (Hensel) city|INCORPORATED PLACE|C5|A|Pembina County
ND|38|12260|01035954|Carpio city|INCORPORATED PLACE|C5|A|Ward County
ND|38|12340|01035955|Carrington city|INCORPORATED PLACE|C5|A|Foster County
ND|38|12460|01035956|Carson city|INCORPORATED PLACE|C5|A|Grant County
ND|38|12700|01035957|Casselton city|INCORPORATED PLACE|C5|A|Cass County
ND|38|12820|01035958|Cathay city|INCORPORATED PLACE|C5|A|Wells County
ND|38|12940|01035959|Cavalier city|INCORPORATED PLACE|C5|A|Pembina County
ND|38|13020|01035960|Cayuga city|INCORPORATED PLACE|C5|A|Sargent County
ND|38|13180|01035961|Center city|INCORPORATED PLACE|C5|A|Oliver County
ND|38|14100|01035969|Christine city|INCORPORATED PLACE|C5|A|Richland County
ND|38|14140|01035970|Churchs Ferry city|INCORPORATED PLACE|C5|A|Ramsey County
ND|38|14660|01035971|Cleveland city|INCORPORATED PLACE|C5|A|Stutsman County
ND|38|14740|01035972|Clifford city|INCORPORATED PLACE|C5|A|Traill County
