STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
OH|39|00142|02397905|Aberdeen village|INCORPORATED PLACE|C1|A|Brown County
OH|39|00198|02397907|Ada village|INCORPORATED PLACE|C1|A|Hardin County
OH|39|00380|02397909|Adamsville village|INCORPORATED PLACE|C1|A|Muskingum County
OH|39|00436|02397913|Addyston village|INCORPORATED PLACE|C1|A|Hamilton County
OH|39|00450|02397915|Adelphi village|INCORPORATED PLACE|C1|A|Ross County
OH|39|00464|02397916|Adena village|INCORPORATED PLACE|C1|A|Harrison County~~~Jefferson County
OH|39|00541|02812818|Ai CDP|CENSUS DESIGNATED PLACE|U1|S|Fulton County
OH|39|01000|01086993|Akron city|INCORPORATED PLACE|C2|A|Summit County
OH|39|01042|02397922|Albany village|INCORPORATED PLACE|C1|A|Athens County
OH|39|01154|02397927|Alexandria village|INCORPORATED PLACE|C1|A|Licking County
OH|39|01210|02397930|Alger village|INCORPORATED PLACE|C1|A|Hardin County
OH|39|01420|01086972|Alliance city|INCORPORATED PLACE|C6|A|Mahoning County~~~Stark County
OH|39|01588|02628857|Alvordton CDP|CENSUS DESIGNATED PLACE|U1|S|Williams County
OH|39|01630|02397953|Amanda village|INCORPORATED PLACE|C1|A|Fairfield County
OH|39|01672|01086196|Amberley village|INCORPORATED PLACE|C2|A|Hamilton County
OH|39|01742|02805373|Amelia CDP|CENSUS DESIGNATED PLACE|U1|S|Clermont County
OH|39|01784|02397956|Amesville village|INCORPORATED PLACE|C1|A|Athens County
OH|39|01798|01086498|Amherst city|INCORPORATED PLACE|C2|A|Lorain County
OH|39|01938|02397958|Amsterdam village|INCORPORATED PLACE|C1|A|Jefferson County
OH|39|02022|02584360|Andersonville CDP|CENSUS DESIGNATED PLACE|U1|S|Ross County
OH|39|02050|02397961|Andover village|INCORPORATED PLACE|C1|A|Ashtabula County
OH|39|02092|02397963|Anna village|INCORPORATED PLACE|C1|A|Shelby County
OH|39|02120|02397968|Ansonia village|INCORPORATED PLACE|C1|A|Darke County
OH|39|02148|02397969|Antioch village|INCORPORATED PLACE|C1|A|Monroe County
OH|39|02204|02397971|Antwerp village|INCORPORATED PLACE|C1|A|Paulding County
OH|39|02232|02397972|Apple Creek village|INCORPORATED PLACE|C1|A|Wayne County
OH|39|02266|02628858|Apple Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Knox County
OH|39|02274|02397975|Aquilla village|INCORPORATED PLACE|C1|A|Geauga County
OH|39|02316|02397976|Arcadia village|INCORPORATED PLACE|C1|A|Hancock County
OH|39|02330|02397978|Arcanum village|INCORPORATED PLACE|C1|A|Darke County
OH|39|02344|02397979|Archbold village|INCORPORATED PLACE|C1|A|Fulton County
OH|39|02400|02397983|Arlington village|INCORPORATED PLACE|C5|A|Hancock County
OH|39|02428|01086198|Arlington Heights village|INCORPORATED PLACE|C2|A|Hamilton County
OH|39|02568|01085702|Ashland city|INCORPORATED PLACE|C2|A|Ashland County
OH|39|02582|01086041|Ashley village|INCORPORATED PLACE|C2|A|Delaware County
OH|39|02638|02394002|Ashtabula city|INCORPORATED PLACE|C1|A|Ashtabula County
OH|39|02680|02398001|Ashville village|INCORPORATED PLACE|C1|A|Pickaway County
OH|39|02722|02398003|Athalia village|INCORPORATED PLACE|C1|A|Lawrence County
OH|39|02736|02394009|Athens city|INCORPORATED PLACE|C1|A|Athens County
OH|39|02820|02398006|Attica village|INCORPORATED PLACE|C1|A|Seneca County
OH|39|02848|02628859|Atwater CDP|CENSUS DESIGNATED PLACE|U1|S|Portage County
OH|39|03086|01086822|Aurora city|INCORPORATED PLACE|C2|A|Portage County
OH|39|03142|02628860|Austinburg CDP|CENSUS DESIGNATED PLACE|U1|S|Ashtabula County
OH|39|03184|02393324|Austintown CDP|CENSUS DESIGNATED PLACE|U1|S|Mahoning County
OH|39|03352|01086500|Avon city|INCORPORATED PLACE|C2|A|Lorain County
OH|39|03464|01086501|Avon Lake city|INCORPORATED PLACE|C2|A|Lorain County
OH|39|03562|02398016|Bailey Lakes village|INCORPORATED PLACE|C1|A|Ashland County
OH|39|03585|02393325|Bainbridge CDP|CENSUS DESIGNATED PLACE|U1|S|Geauga County
OH|39|03604|02398017|Bainbridge village|INCORPORATED PLACE|C1|A|Ross County
OH|39|03646|02398018|Bairdstown village|INCORPORATED PLACE|C1|A|Wood County
OH|39|03716|02393326|Ballville CDP|CENSUS DESIGNATED PLACE|U1|S|Sandusky County
