STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
OK|40|00100|02412332|Achille town|INCORPORATED PLACE|C1|A|Bryan County
OK|40|00200|02409660|Ada city|INCORPORATED PLACE|C1|A|Pontotoc County
OK|40|00250|02412333|Adair town|INCORPORATED PLACE|C1|A|Mayes County
OK|40|00300|02805301|Adams CDP|CENSUS DESIGNATED PLACE|U1|S|Texas County
OK|40|00350|02805302|Adamson CDP|CENSUS DESIGNATED PLACE|U1|S|Pittsburg County
OK|40|00450|02412334|Addington town|INCORPORATED PLACE|C1|A|Jefferson County
OK|40|00600|02412336|Afton town|INCORPORATED PLACE|C1|A|Ottawa County
OK|40|00700|02412338|Agra town|INCORPORATED PLACE|C1|A|Lincoln County
OK|40|00900|02407706|Akins CDP|CENSUS DESIGNATED PLACE|U1|S|Sequoyah County
OK|40|00950|02629903|Albany CDP|CENSUS DESIGNATED PLACE|U1|S|Bryan County
OK|40|01050|02412344|Albion town|INCORPORATED PLACE|C1|A|Pushmataha County
OK|40|01150|02412346|Alderson town|INCORPORATED PLACE|C1|A|Pittsburg County
OK|40|01250|02412347|Alex town|INCORPORATED PLACE|C1|A|Grady County
OK|40|01350|02412348|Aline town|INCORPORATED PLACE|C1|A|Alfalfa County
OK|40|01400|02412349|Allen town|INCORPORATED PLACE|C1|A|Hughes County~~~Pontotoc County
OK|40|01700|02409689|Altus city|INCORPORATED PLACE|C1|A|Jackson County
OK|40|01800|02409690|Alva city|INCORPORATED PLACE|C1|A|Woods County
OK|40|01900|02412360|Amber town|INCORPORATED PLACE|C1|A|Grady County
OK|40|01950|02412361|Ames town|INCORPORATED PLACE|C1|A|Major County
OK|40|02000|02412362|Amorita town|INCORPORATED PLACE|C1|A|Alfalfa County
OK|40|02050|02409703|Anadarko city|INCORPORATED PLACE|C1|A|Caddo County
OK|40|02250|02409716|Antlers city|INCORPORATED PLACE|C1|A|Pushmataha County
OK|40|02300|02412371|Apache town|INCORPORATED PLACE|C1|A|Caddo County
OK|40|02500|02412374|Arapaho town|INCORPORATED PLACE|C1|A|Custer County
OK|40|02550|02412375|Arcadia town|INCORPORATED PLACE|C1|A|Oklahoma County
OK|40|02600|02409727|Ardmore city|INCORPORATED PLACE|C1|A|Carter County
OK|40|02650|02411644|Arkoma town|INCORPORATED PLACE|C1|A|Le Flore County
OK|40|02750|02411645|Armstrong town|INCORPORATED PLACE|C1|A|Bryan County
OK|40|02800|02411646|Arnett town|INCORPORATED PLACE|C1|A|Ellis County
OK|40|02900|02629904|Arpelar CDP|CENSUS DESIGNATED PLACE|U1|S|Pittsburg County
OK|40|03000|02411648|Asher town|INCORPORATED PLACE|C1|A|Pottawatomie County
OK|40|03050|02411649|Ashland town|INCORPORATED PLACE|C1|A|Pittsburg County
OK|40|03300|02409750|Atoka city|INCORPORATED PLACE|C1|A|Atoka County
