STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
OR|41|00275|02409661|Adair Village city|INCORPORATED PLACE|C1|A|Benton County
OR|41|00350|02409662|Adams city|INCORPORATED PLACE|C1|A|Umatilla County
OR|41|00500|02409664|Adrian city|INCORPORATED PLACE|C1|A|Malheur County
OR|41|01000|02409675|Albany city|INCORPORATED PLACE|C1|A|Benton County~~~Linn County
OR|41|01650|02407723|Aloha CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
OR|41|01700|02584402|Alpine CDP|CENSUS DESIGNATED PLACE|U1|S|Benton County
OR|41|01800|02584403|Alsea CDP|CENSUS DESIGNATED PLACE|U1|S|Benton County
OR|41|01850|02407733|Altamont CDP|CENSUS DESIGNATED PLACE|U1|S|Klamath County
OR|41|02000|02409700|Amity city|INCORPORATED PLACE|C1|A|Yamhill County
OR|41|02200|02611714|Annex CDP|CENSUS DESIGNATED PLACE|U1|S|Malheur County
OR|41|02250|02409714|Antelope city|INCORPORATED PLACE|C1|A|Wasco County
OR|41|02800|02409730|Arlington city|INCORPORATED PLACE|C1|A|Gilliam County
OR|41|03050|02409740|Ashland city|INCORPORATED PLACE|C1|A|Jackson County
OR|41|03150|02409744|Astoria city|INCORPORATED PLACE|C1|A|Clatsop County
OR|41|03200|02409746|Athena city|INCORPORATED PLACE|C1|A|Umatilla County
OR|41|03250|02409756|Aumsville city|INCORPORATED PLACE|C1|A|Marion County
OR|41|03300|02409758|Aurora city|INCORPORATED PLACE|C1|A|Marion County
OR|41|03650|02409773|Baker City city|INCORPORATED PLACE|C1|A|Baker County
OR|41|03800|02409782|Bandon city|INCORPORATED PLACE|C1|A|Coos County
OR|41|03850|02409784|Banks city|INCORPORATED PLACE|C1|A|Washington County
OR|41|04000|02409787|Barlow city|INCORPORATED PLACE|C1|A|Clackamas County
OR|41|04125|02812894|Barnesdale CDP|CENSUS DESIGNATED PLACE|U1|S|Tillamook County
OR|41|04400|02407800|Barview CDP|CENSUS DESIGNATED PLACE|U1|S|Coos County
OR|41|04800|02409797|Bay City city|INCORPORATED PLACE|C1|A|Tillamook County
OR|41|04850|02812889|Bayshore CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
OR|41|04925|02611715|Bayside Gardens CDP|CENSUS DESIGNATED PLACE|U1|S|Tillamook County
OR|41|05150|02745366|Beatty CDP|CENSUS DESIGNATED PLACE|U1|S|Klamath County
OR|41|05200|02407817|Beaver CDP|CENSUS DESIGNATED PLACE|U1|S|Tillamook County
OR|41|05250|02584404|Beavercreek CDP|CENSUS DESIGNATED PLACE|U2|S|Clackamas County
OR|41|05300|02805444|Beaver Marsh CDP|CENSUS DESIGNATED PLACE|U1|S|Klamath County
OR|41|05350|02409808|Beaverton city|INCORPORATED PLACE|C1|A|Washington County
OR|41|05700|02584405|Bellfountain CDP|CENSUS DESIGNATED PLACE|U1|S|Benton County
OR|41|05800|02409832|Bend city|INCORPORATED PLACE|C1|A|Deschutes County
