STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
PA|42|00100|02389113|Aaronsburg CDP|CENSUS DESIGNATED PLACE|U1|S|Centre County
PA|42|00104|02584431|Aaronsburg CDP|CENSUS DESIGNATED PLACE|U2|S|Washington County
PA|42|00116|01214750|Abbottstown borough|INCORPORATED PLACE|C5|A|Adams County
PA|42|00244|02633320|Ackermanville CDP|CENSUS DESIGNATED PLACE|U1|S|Northampton County
PA|42|00332|01215690|Adamsburg borough|INCORPORATED PLACE|C5|A|Westmoreland County
PA|42|00364|01217319|Adamstown borough|INCORPORATED PLACE|C5|A|Berks County~~~Lancaster County
PA|42|00372|02389118|Adamsville CDP|CENSUS DESIGNATED PLACE|U1|S|Crawford County
PA|42|00396|01215580|Addison borough|INCORPORATED PLACE|C5|A|Somerset County
PA|42|00540|01215332|Akron borough|INCORPORATED PLACE|C5|A|Lancaster County
PA|42|00572|01214948|Alba borough|INCORPORATED PLACE|C5|A|Bradford County
PA|42|00628|01215204|Albion borough|INCORPORATED PLACE|C5|A|Erie County
PA|42|00652|02629993|Albrightsville CDP|CENSUS DESIGNATED PLACE|U1|S|Carbon County
PA|42|00660|01215371|Alburtis borough|INCORPORATED PLACE|C5|A|Lehigh County
PA|42|00676|01215173|Aldan borough|INCORPORATED PLACE|C5|A|Delaware County
PA|42|00756|01215264|Alexandria borough|INCORPORATED PLACE|C5|A|Huntingdon County
PA|42|00764|02584432|Alfarata CDP|CENSUS DESIGNATED PLACE|U1|S|Mifflin County
PA|42|00820|01214861|Aliquippa city|INCORPORATED PLACE|C5|A|Beaver County
PA|42|00924|02633321|Alleghenyville CDP|CENSUS DESIGNATED PLACE|U1|S|Berks County
PA|42|00980|02629994|Allenport CDP|CENSUS DESIGNATED PLACE|U1|S|Huntingdon County
PA|42|00988|01215650|Allenport borough|INCORPORATED PLACE|C5|A|Washington County
PA|42|01004|02584433|Allensville CDP|CENSUS DESIGNATED PLACE|U1|S|Mifflin County
PA|42|02000|01215372|Allentown city|INCORPORATED PLACE|C5|A|Lehigh County
PA|42|02016|02584434|Allenwood CDP|CENSUS DESIGNATED PLACE|U1|S|Union County
PA|42|02040|02634203|Allison CDP|CENSUS DESIGNATED PLACE|U1|S|Fayette County
PA|42|02056|02631244|Allison Park CDP|CENSUS DESIGNATED PLACE|U1|S|Allegheny County
