STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
SC|45|00100|02403055|Abbeville city|INCORPORATED PLACE|C1|A|Abbeville County
SC|45|00165|02812969|Abney Crossroads CDP|CENSUS DESIGNATED PLACE|U1|S|Kershaw County
SC|45|00370|02812939|Adams Run CDP|CENSUS DESIGNATED PLACE|U1|S|Charleston County
SC|45|00550|02403067|Aiken city|INCORPORATED PLACE|C1|A|Aiken County
SC|45|00775|02629817|Alcolu CDP|CENSUS DESIGNATED PLACE|U1|S|Clarendon County
SC|45|00955|02405135|Allendale town|INCORPORATED PLACE|C1|A|Allendale County
SC|45|01360|02403098|Anderson city|INCORPORATED PLACE|C1|A|Anderson County
SC|45|01450|02405150|Andrews town|INCORPORATED PLACE|C1|A|Georgetown County~~~Williamsburg County
SC|45|01810|02402648|Antreville CDP|CENSUS DESIGNATED PLACE|U1|S|Abbeville County
SC|45|02080|02629818|Arcadia CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|02125|02405161|Arcadia Lakes town|INCORPORATED PLACE|C1|A|Richland County
SC|45|02440|02402651|Arial CDP|CENSUS DESIGNATED PLACE|U1|S|Pickens County
SC|45|02530|02807075|Arkwright CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|02665|02812987|Arthurtown CDP|CENSUS DESIGNATED PLACE|U1|S|Richland County
SC|45|03115|02807064|Ashwood CDP|CENSUS DESIGNATED PLACE|U1|S|Lee County
SC|45|03205|02405179|Atlantic Beach town|INCORPORATED PLACE|C1|A|Horry County
SC|45|03385|02405192|Awendaw town|INCORPORATED PLACE|C1|A|Charleston County
SC|45|03430|02405194|Aynor town|INCORPORATED PLACE|C1|A|Horry County
SC|45|03790|02405205|Bamberg town|INCORPORATED PLACE|C1|A|Bamberg County
SC|45|04060|02403161|Barnwell city|INCORPORATED PLACE|C1|A|Barnwell County
SC|45|04300|01253572|Batesburg-Leesville town|INCORPORATED PLACE|C1|A|Lexington County~~~Saluda County
SC|45|04528|02812992|Baxter Village CDP|CENSUS DESIGNATED PLACE|U1|S|York County
SC|45|04690|02403832|Beaufort city|INCORPORATED PLACE|C1|A|Beaufort County
SC|45|04915|02812928|Beech Island CDP|CENSUS DESIGNATED PLACE|U1|S|Aiken County
SC|45|05365|02403851|Belton city|INCORPORATED PLACE|C1|A|Anderson County
SC|45|05410|02402681|Belvedere CDP|CENSUS DESIGNATED PLACE|U1|S|Aiken County
SC|45|05545|02807091|Ben Avon CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|05680|02403854|Bennettsville city|INCORPORATED PLACE|C1|A|Marlboro County
SC|45|05770|02402684|Berea CDP|CENSUS DESIGNATED PLACE|U1|S|Greenville County
SC|45|06040|02405256|Bethune town|INCORPORATED PLACE|C1|A|Kershaw County
SC|45|06310|02403869|Bishopville city|INCORPORATED PLACE|C1|A|Lee County
SC|45|06400|02405275|Blacksburg town|INCORPORATED PLACE|C1|A|Cherokee County
SC|45|06490|02405276|Blackville town|INCORPORATED PLACE|C1|A|Barnwell County
SC|45|06850|02405279|Blenheim town|INCORPORATED PLACE|C1|A|Marlboro County
SC|45|07210|02405288|Bluffton town|INCORPORATED PLACE|C1|A|Beaufort County
SC|45|07255|02405291|Blythewood town|INCORPORATED PLACE|C1|A|Fairfield County~~~Richland County
SC|45|07345|02402700|Boiling Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|07525|02405302|Bonneau town|INCORPORATED PLACE|C1|A|Berkeley County
SC|45|07535|02584530|Bonneau Beach CDP|CENSUS DESIGNATED PLACE|U1|S|Berkeley County
SC|45|07840|02405307|Bowman town|INCORPORATED PLACE|C1|A|Orangeburg County
SC|45|08110|02629819|Boykin CDP|CENSUS DESIGNATED PLACE|U1|S|Kershaw County
SC|45|08155|02402710|Bradley CDP|CENSUS DESIGNATED PLACE|U1|S|Greenwood County
SC|45|08245|02405313|Branchville town|INCORPORATED PLACE|C1|A|Orangeburg County
SC|45|08830|02405318|Briarcliffe Acres town|INCORPORATED PLACE|C1|A|Horry County
SC|45|09527|02402719|Brookdale CDP|CENSUS DESIGNATED PLACE|U1|S|Orangeburg County
SC|45|09782|02807066|Browntown CDP|CENSUS DESIGNATED PLACE|U1|S|Lee County
SC|45|09865|02405336|Brunson town|INCORPORATED PLACE|C1|A|Hampton County
SC|45|10000|02402728|Bucksport CDP|CENSUS DESIGNATED PLACE|U1|S|Horry County
SC|45|10090|02402730|Buffalo CDP|CENSUS DESIGNATED PLACE|U1|S|Union County
SC|45|10135|02812971|Buford CDP|CENSUS DESIGNATED PLACE|U1|S|Lancaster County
SC|45|10270|02405347|Burnettown town|INCORPORATED PLACE|C1|A|Aiken County
SC|45|10360|02402736|Burton CDP|CENSUS DESIGNATED PLACE|U1|S|Beaufort County
SC|45|10585|02812959|Caesars Head CDP|CENSUS DESIGNATED PLACE|U1|S|Greenville County
SC|45|10720|02405364|Calhoun Falls town|INCORPORATED PLACE|C1|A|Abbeville County
SC|45|10855|02403978|Camden city|INCORPORATED PLACE|C1|A|Kershaw County
SC|45|10900|02405368|Cameron town|INCORPORATED PLACE|C1|A|Calhoun County
SC|45|11035|02807092|Camp Croft CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|11125|02405372|Campobello town|INCORPORATED PLACE|C1|A|Spartanburg County
SC|45|11350|02402747|Cane Savannah CDP|CENSUS DESIGNATED PLACE|U1|S|Sumter County
SC|45|11620|02807074|Capitol View CDP|CENSUS DESIGNATED PLACE|U1|S|Richland County
SC|45|11755|02405379|Carlisle town|INCORPORATED PLACE|C1|A|Union County
SC|45|11833|02812966|Carolina Forest CDP|CENSUS DESIGNATED PLACE|U1|S|Horry County
SC|45|12205|02812944|Cash CDP|CENSUS DESIGNATED PLACE|U1|S|Chesterfield County
SC|45|12430|02629820|Catawba CDP|CENSUS DESIGNATED PLACE|U1|S|York County
SC|45|12520|02812986|Cateechee CDP|CENSUS DESIGNATED PLACE|U1|S|Pickens County
SC|45|12655|02404011|Cayce city|INCORPORATED PLACE|C1|A|Lexington County~~~Richland County
SC|45|12925|02812977|Centenary CDP|CENSUS DESIGNATED PLACE|U1|S|Marion County
SC|45|12965|02402755|Centerville CDP|CENSUS DESIGNATED PLACE|U1|S|Anderson County
SC|45|13015|02406246|Central town|INCORPORATED PLACE|C1|A|Pickens County
SC|45|13060|02406248|Central Pacolet town|INCORPORATED PLACE|C1|A|Spartanburg County
SC|45|13150|02406256|Chapin town|INCORPORATED PLACE|C1|A|Lexington County
SC|45|13330|02404030|Charleston city|INCORPORATED PLACE|C1|A|Berkeley County~~~Charleston County
SC|45|13600|02406261|Cheraw town|INCORPORATED PLACE|C1|A|Chesterfield County
SC|45|13735|02812943|Cherokee Falls CDP|CENSUS DESIGNATED PLACE|U1|S|Cherokee County
SC|45|14018|02402768|Cherryvale CDP|CENSUS DESIGNATED PLACE|U1|S|Sumter County
SC|45|14050|02404042|Chesnee city|INCORPORATED PLACE|C1|A|Cherokee County~~~Spartanburg County
SC|45|14095|02404043|Chester city|INCORPORATED PLACE|C1|A|Chester County
SC|45|14140|02406265|Chesterfield town|INCORPORATED PLACE|C1|A|Chesterfield County
SC|45|14230|02812984|Chickasaw Point CDP|CENSUS DESIGNATED PLACE|U1|S|Oconee County
SC|45|14455|02402778|City View CDP|CENSUS DESIGNATED PLACE|U1|S|Greenville County
SC|45|14590|02402780|Clarks Hill CDP|CENSUS DESIGNATED PLACE|U1|S|McCormick County
SC|45|14860|02402782|Clearwater CDP|CENSUS DESIGNATED PLACE|U1|S|Aiken County
SC|45|14950|02404068|Clemson city|INCORPORATED PLACE|C1|A|Anderson County~~~Pickens County
SC|45|15040|02807073|Clemson University CDP|CENSUS DESIGNATED PLACE|U1|S|Pickens County
SC|45|15220|02629821|Clifton CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|15295|02404079|Clinton city|INCORPORATED PLACE|C1|A|Laurens County
SC|45|15310|02406281|Clio town|INCORPORATED PLACE|C1|A|Marlboro County
SC|45|15355|02406283|Clover town|INCORPORATED PLACE|C1|A|York County
SC|45|15625|02402785|Cokesbury CDP|CENSUS DESIGNATED PLACE|U1|S|Greenwood County
SC|45|16000|02404107|Columbia city|INCORPORATED PLACE|C1|A|Lexington County~~~Richland County
SC|45|16180|02812958|Conestee CDP|CENSUS DESIGNATED PLACE|U1|S|Greenville County
SC|45|16360|02629822|Converse CDP|CENSUS DESIGNATED PLACE|U1|S|Spartanburg County
SC|45|16405|02404120|Conway city|INCORPORATED PLACE|C1|A|Horry County
SC|45|16675|02812968|Coosawhatchie CDP|CENSUS DESIGNATED PLACE|U1|S|Jasper County
SC|45|16720|02406311|Cope town|INCORPORATED PLACE|C1|A|Orangeburg County
SC|45|16855|02406312|Cordova town|INCORPORATED PLACE|C1|A|Orangeburg County
SC|45|16945|02402797|Coronaca CDP|CENSUS DESIGNATED PLACE|U1|S|Greenwood County
