STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
SD|46|00100|01267258|Aberdeen city|INCORPORATED PLACE|C5|A|Brown County
SD|46|00460|01267259|Agar town|INCORPORATED PLACE|C5|A|Sully County
SD|46|00520|02584542|Agency Village CDP|CENSUS DESIGNATED PLACE|U1|S|Roberts County
SD|46|00540|01267260|Akaska town|INCORPORATED PLACE|C5|A|Walworth County
SD|46|00620|01267261|Albee town|INCORPORATED PLACE|C5|A|Grant County
SD|46|00700|01267262|Alcester city|INCORPORATED PLACE|C5|A|Union County
SD|46|00820|01267263|Alexandria city|INCORPORATED PLACE|C5|A|Hanson County
SD|46|00900|02393315|Allen CDP|CENSUS DESIGNATED PLACE|U1|S|Bennett County
SD|46|01020|01267264|Alpena town|INCORPORATED PLACE|C5|A|Jerauld County
SD|46|01140|01267265|Altamont town|INCORPORATED PLACE|C5|A|Deuel County
SD|46|01450|02584543|Anderson CDP|CENSUS DESIGNATED PLACE|U2|S|Minnehaha County
SD|46|01500|01267266|Andover town|INCORPORATED PLACE|C5|A|Day County
SD|46|01560|02807102|Angostura CDP|CENSUS DESIGNATED PLACE|U1|S|Fall River County
SD|46|01740|02393317|Antelope CDP|CENSUS DESIGNATED PLACE|U1|S|Todd County
SD|46|01980|02813021|Ardmore CDP|CENSUS DESIGNATED PLACE|U1|S|Fall River County
SD|46|02180|01267267|Arlington city|INCORPORATED PLACE|C5|A|Brookings County~~~Kingsbury County
SD|46|02260|01267268|Armour city|INCORPORATED PLACE|C5|A|Douglas County
SD|46|02340|01267269|Artas town|INCORPORATED PLACE|C5|A|Campbell County
SD|46|02380|01267270|Artesian town|INCORPORATED PLACE|C5|A|Sanborn County
SD|46|02530|02393320|Ashland Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Pennington County
SD|46|02540|01267271|Ashton city|INCORPORATED PLACE|C5|A|Spink County
SD|46|02580|01267272|Astoria town|INCORPORATED PLACE|C5|A|Deuel County
SD|46|02780|01267273|Aurora town|INCORPORATED PLACE|C5|A|Brookings County
SD|46|02860|02393323|Aurora Center CDP|CENSUS DESIGNATED PLACE|U1|S|Aurora County
SD|46|02900|01267274|Avon city|INCORPORATED PLACE|C5|A|Bon Homme County
SD|46|03060|01267275|Badger town|INCORPORATED PLACE|C5|A|Kingsbury County
SD|46|03380|01267277|Baltic city|INCORPORATED PLACE|C5|A|Minnehaha County
SD|46|03420|01267278|Bancroft town|INCORPORATED PLACE|C5|A|Kingsbury County
SD|46|03860|01267279|Batesland town|INCORPORATED PLACE|C5|A|Oglala Lakota County
SD|46|03900|02584544|Bath CDP|CENSUS DESIGNATED PLACE|U1|S|Brown County
SD|46|03960|02584545|Bath Corner CDP|CENSUS DESIGNATED PLACE|U1|S|Brown County
SD|46|04380|01267280|Belle Fourche city|INCORPORATED PLACE|C5|A|Butte County
SD|46|04620|01267282|Belvidere town|INCORPORATED PLACE|C5|A|Jackson County
SD|46|04980|01267283|Beresford city|INCORPORATED PLACE|C5|A|Lincoln County~~~Union County
SD|46|05540|02394165|Big Stone City city|INCORPORATED PLACE|C5|A|Grant County
SD|46|05580|02584546|Bijou Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Brule County
SD|46|05620|01267285|Bison town|INCORPORATED PLACE|C5|A|Perkins County
SD|46|05780|02393338|Blackhawk CDP|CENSUS DESIGNATED PLACE|U1|S|Meade County
SD|46|06120|02584547|Blucksberg Mountain CDP|CENSUS DESIGNATED PLACE|U1|S|Meade County
SD|46|06140|02813022|Blumengard Colony CDP|CENSUS DESIGNATED PLACE|U1|S|Faulk County
