STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
TN|47|00200|02403062|Adams city|INCORPORATED PLACE|C1|A|Robertson County
TN|47|00240|02405121|Adamsville town|INCORPORATED PLACE|C1|A|Hardin County~~~McNairy County
TN|47|00440|02405126|Alamo town|INCORPORATED PLACE|C1|A|Crockett County
TN|47|00540|02403075|Alcoa city|INCORPORATED PLACE|C1|A|Blount County
TN|47|00620|02405130|Alexandria town|INCORPORATED PLACE|C1|A|DeKalb County
TN|47|00640|02405133|Algood city|INCORPORATED PLACE|C1|A|Putnam County
TN|47|00660|02403081|Allardt city|INCORPORATED PLACE|C1|A|Fentress County
TN|47|00940|02405143|Altamont town|INCORPORATED PLACE|C1|A|Grundy County
TN|47|01220|02586041|Andersonville CDP|CENSUS DESIGNATED PLACE|U1|S|Anderson County
TN|47|01480|02584570|Apison CDP|CENSUS DESIGNATED PLACE|U1|S|Hamilton County
TN|47|01640|02403110|Ardmore city|INCORPORATED PLACE|C1|A|Giles County~~~Lincoln County
TN|47|01740|02405168|Arlington town|INCORPORATED PLACE|C1|A|Shelby County
TN|47|02180|02405175|Ashland City town|INCORPORATED PLACE|C1|A|Cheatham County
TN|47|02320|02403124|Athens city|INCORPORATED PLACE|C1|A|McMinn County
TN|47|02340|02405181|Atoka town|INCORPORATED PLACE|C1|A|Tipton County
TN|47|02380|02405182|Atwood town|INCORPORATED PLACE|C1|A|Carroll County
TN|47|02400|02405184|Auburntown town|INCORPORATED PLACE|C1|A|Cannon County
TN|47|02780|02405199|Baileyton town|INCORPORATED PLACE|C1|A|Greene County
TN|47|03078|02403153|Baneberry city|INCORPORATED PLACE|C1|A|Jefferson County
TN|47|03120|02402661|Banner Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Unicoi County
TN|47|03440|02403162|Bartlett city|INCORPORATED PLACE|C1|A|Shelby County
TN|47|03680|02405216|Baxter town|INCORPORATED PLACE|C1|A|Putnam County
TN|47|03760|02403829|Bean Station city|INCORPORATED PLACE|C1|A|Grainger County~~~Hawkins County
TN|47|04000|02813104|Beech Bluff CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
TN|47|04240|02405228|Beersheba Springs town|INCORPORATED PLACE|C1|A|Grundy County
TN|47|04460|02405232|Bell Buckle town|INCORPORATED PLACE|C1|A|Bedford County
TN|47|04620|02403839|Belle Meade city|INCORPORATED PLACE|C1|A|Davidson County
TN|47|04720|02403848|Bells city|INCORPORATED PLACE|C1|A|Crockett County
TN|47|04920|02813080|Belvidere CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
TN|47|05040|02405244|Benton town|INCORPORATED PLACE|C1|A|Polk County
TN|47|05140|02403862|Berry Hill city|INCORPORATED PLACE|C1|A|Davidson County
TN|47|05380|02405254|Bethel Springs town|INCORPORATED PLACE|C1|A|McNairy County
TN|47|05500|02584571|Bethpage CDP|CENSUS DESIGNATED PLACE|U1|S|Sumner County
TN|47|05840|02804626|Big Rock CDP|CENSUS DESIGNATED PLACE|U1|S|Stewart County
TN|47|05860|02405262|Big Sandy town|INCORPORATED PLACE|C1|A|Benton County
TN|47|06020|02804627|Biltmore CDP|CENSUS DESIGNATED PLACE|U1|S|Carter County
TN|47|06340|02403874|Blaine city|INCORPORATED PLACE|C1|A|Grainger County
TN|47|06440|02813098|Blanche CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
TN|47|06640|02402693|Bloomingdale CDP|CENSUS DESIGNATED PLACE|U1|S|Sullivan County
TN|47|06740|02402695|Blountville CDP|CENSUS DESIGNATED PLACE|U1|S|Sullivan County
TN|47|06960|02403884|Bluff City city|INCORPORATED PLACE|C1|A|Sullivan County
TN|47|07120|02813077|Bogota CDP|CENSUS DESIGNATED PLACE|U1|S|Dyer County
TN|47|07180|02403890|Bolivar city|INCORPORATED PLACE|C1|A|Hardeman County
TN|47|07240|02804628|Bon Air CDP|CENSUS DESIGNATED PLACE|U1|S|White County
TN|47|07280|02584572|Bon Aqua Junction CDP|CENSUS DESIGNATED PLACE|U1|S|Hickman County
TN|47|07620|02586043|Bowman CDP|CENSUS DESIGNATED PLACE|U1|S|Cumberland County
TN|47|07840|02405310|Braden town|INCORPORATED PLACE|C1|A|Fayette County
TN|47|07860|02405311|Bradford town|INCORPORATED PLACE|C1|A|Gibson County
TN|47|08080|02584573|Bransford CDP|CENSUS DESIGNATED PLACE|U1|S|Sumner County
TN|47|08280|02403919|Brentwood city|INCORPORATED PLACE|C1|A|Williamson County
TN|47|08400|02804629|Briceville CDP|CENSUS DESIGNATED PLACE|U1|S|Anderson County
TN|47|08500|02405320|Brighton town|INCORPORATED PLACE|C1|A|Tipton County
TN|47|08540|02403927|Bristol city|INCORPORATED PLACE|C1|A|Sullivan County
TN|47|08920|02403941|Brownsville city|INCORPORATED PLACE|C1|A|Haywood County
