STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
TX|48|00100|02409653|Abbott city|INCORPORATED PLACE|C1|A|Hill County
TX|48|00160|02409656|Abernathy city|INCORPORATED PLACE|C1|A|Hale County~~~Lubbock County
TX|48|01000|02409657|Abilene city|INCORPORATED PLACE|C1|A|Jones County~~~Taylor County
TX|48|01060|02584598|Abram CDP|CENSUS DESIGNATED PLACE|U1|S|Hidalgo County
TX|48|01084|02805795|Acala CDP|CENSUS DESIGNATED PLACE|U1|S|Hudspeth County
TX|48|01108|02409659|Ackerly city|INCORPORATED PLACE|C1|A|Dawson County~~~Martin County
TX|48|01240|02412335|Addison town|INCORPORATED PLACE|C1|A|Dallas County
TX|48|01324|02409665|Adrian city|INCORPORATED PLACE|C1|A|Oldham County
TX|48|01390|02407698|Agua Dulce CDP|CENSUS DESIGNATED PLACE|U1|S|El Paso County
TX|48|01396|02409667|Agua Dulce city|INCORPORATED PLACE|C1|A|Nueces County
TX|48|01420|02584599|Aguilares CDP|CENSUS DESIGNATED PLACE|U1|S|Webb County
TX|48|01500|02584600|Airport Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Starr County
TX|48|01514|02407702|Airport Road Addition CDP|CENSUS DESIGNATED PLACE|U1|S|Brooks County
TX|48|01576|02409670|Alamo city|INCORPORATED PLACE|C1|A|Hidalgo County
TX|48|01594|02805751|Alamo Beach CDP|CENSUS DESIGNATED PLACE|U1|S|Calhoun County
TX|48|01600|02409671|Alamo Heights city|INCORPORATED PLACE|C1|A|Bexar County
TX|48|01612|02805780|Alanreed CDP|CENSUS DESIGNATED PLACE|U1|S|Gray County
TX|48|01636|02412341|Alba town|INCORPORATED PLACE|C1|A|Rains County~~~Wood County
TX|48|01648|02409676|Albany city|INCORPORATED PLACE|C1|A|Shackelford County
TX|48|01696|02407715|Aldine CDP|CENSUS DESIGNATED PLACE|U1|S|Harris County
TX|48|01744|02409679|Aledo city|INCORPORATED PLACE|C1|A|Parker County
TX|48|01816|02584601|Alfred CDP|CENSUS DESIGNATED PLACE|U1|S|Jim Wells County
TX|48|01852|02409682|Alice city|INCORPORATED PLACE|C1|A|Jim Wells County
TX|48|01858|02407719|Alice Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Jim Wells County
TX|48|01924|02409684|Allen city|INCORPORATED PLACE|C1|A|Collin County
TX|48|02032|02805849|Allison CDP|CENSUS DESIGNATED PLACE|U1|S|Wheeler County
TX|48|02044|02412351|Alma town|INCORPORATED PLACE|C1|A|Ellis County
TX|48|02104|02409685|Alpine city|INCORPORATED PLACE|C1|A|Brewster County
TX|48|02188|02412356|Alto town|INCORPORATED PLACE|C1|A|Cherokee County
TX|48|02194|02584602|Alto Bonito Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Starr County
TX|48|02212|02409687|Alton city|INCORPORATED PLACE|C1|A|Hidalgo County
TX|48|02260|02409691|Alvarado city|INCORPORATED PLACE|C1|A|Johnson County
TX|48|02272|02409692|Alvin city|INCORPORATED PLACE|C1|A|Brazoria County
TX|48|02284|02412358|Alvord town|INCORPORATED PLACE|C1|A|Wise County
TX|48|02286|02584603|Amada Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Starr County
