STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
UT|49|00540|02409686|Alpine city|INCORPORATED PLACE|C1|A|Utah County
UT|49|00650|02412354|Alta town|INCORPORATED PLACE|C1|A|Salt Lake County
UT|49|00760|02412355|Altamont town|INCORPORATED PLACE|C1|A|Duchesne County
UT|49|00870|02412357|Alton town|INCORPORATED PLACE|C1|A|Kane County
UT|49|01090|02412359|Amalga town|INCORPORATED PLACE|C1|A|Cache County
UT|49|01310|02409697|American Fork city|INCORPORATED PLACE|C1|A|Utah County
UT|49|01530|02407743|Aneth CDP|CENSUS DESIGNATED PLACE|U1|S|San Juan County
UT|49|01750|02412363|Annabella town|INCORPORATED PLACE|C1|A|Sevier County
UT|49|01860|02412369|Antimony town|INCORPORATED PLACE|C1|A|Garfield County
UT|49|01905|02412373|Apple Valley town|INCORPORATED PLACE|C1|A|Washington County
UT|49|02740|02409760|Aurora city|INCORPORATED PLACE|C1|A|Sevier County
UT|49|02960|02407786|Avon CDP|CENSUS DESIGNATED PLACE|U1|S|Cache County
UT|49|03345|02411662|Ballard town|INCORPORATED PLACE|C1|A|Uintah County
UT|49|03950|02409803|Bear River City city|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|04060|02409807|Beaver city|INCORPORATED PLACE|C1|A|Beaver County
UT|49|04720|02407828|Benjamin CDP|CENSUS DESIGNATED PLACE|U1|S|Utah County
UT|49|05050|02407829|Benson CDP|CENSUS DESIGNATED PLACE|U1|S|Cache County
UT|49|05380|02629946|Beryl Junction CDP|CENSUS DESIGNATED PLACE|U1|S|Iron County
UT|49|05490|02411685|Bicknell town|INCORPORATED PLACE|C1|A|Wayne County
UT|49|05534|02411690|Big Water town|INCORPORATED PLACE|C1|A|Kane County
UT|49|06370|02409863|Blanding city|INCORPORATED PLACE|C1|A|San Juan County
UT|49|06590|02584756|Bluebell CDP|CENSUS DESIGNATED PLACE|U1|S|Duchesne County
UT|49|06700|02798080|Bluff town|INCORPORATED PLACE|C1|A|San Juan County
UT|49|06810|02409871|Bluffdale city|INCORPORATED PLACE|C1|A|Salt Lake County~~~Utah County
UT|49|06920|02584757|Bonanza CDP|CENSUS DESIGNATED PLACE|U1|S|Uintah County
UT|49|07470|02411711|Boulder town|INCORPORATED PLACE|C1|A|Garfield County
UT|49|07690|02409885|Bountiful city|INCORPORATED PLACE|C1|A|Davis County
UT|49|08020|02411724|Brian Head town|INCORPORATED PLACE|C1|A|Iron County
UT|49|08460|02409910|Brigham City city|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|08570|02806026|Brighton town|INCORPORATED PLACE|C1|A|Salt Lake County
UT|49|08787|02371449|Bryce Canyon City town|INCORPORATED PLACE|C1|A|Garfield County
UT|49|09725|02407937|Cache CDP|CENSUS DESIGNATED PLACE|U2|S|Cache County
UT|49|10330|02413159|Cannonville town|INCORPORATED PLACE|C1|A|Garfield County
UT|49|10440|02584758|Carbonville CDP|CENSUS DESIGNATED PLACE|U1|S|Carbon County
UT|49|10660|02409407|Castle Dale city|INCORPORATED PLACE|C1|A|Emery County
UT|49|11000|02413180|Castle Valley town|INCORPORATED PLACE|C1|A|Grand County
UT|49|11320|02409415|Cedar City city|INCORPORATED PLACE|C1|A|Iron County
UT|49|11430|02413183|Cedar Fort town|INCORPORATED PLACE|C1|A|Utah County
UT|49|11435|02791541|Cedar Highlands town|INCORPORATED PLACE|C1|A|Iron County
UT|49|11440|02409417|Cedar Hills city|INCORPORATED PLACE|C1|A|Utah County
UT|49|11870|02413187|Centerfield town|INCORPORATED PLACE|C1|A|Sanpete County
UT|49|11980|02409425|Centerville city|INCORPORATED PLACE|C1|A|Davis County
UT|49|12200|02629947|Central CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
UT|49|12260|02413189|Central Valley town|INCORPORATED PLACE|C1|A|Sevier County
UT|49|12420|02413190|Charleston town|INCORPORATED PLACE|C1|A|Wasatch County
UT|49|12970|02413205|Circleville town|INCORPORATED PLACE|C1|A|Piute County
UT|49|13190|02413207|Clarkston town|INCORPORATED PLACE|C1|A|Cache County
UT|49|13300|02413208|Clawson town|INCORPORATED PLACE|C1|A|Emery County
UT|49|13740|02584759|Clear Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Carbon County
UT|49|13850|02409478|Clearfield city|INCORPORATED PLACE|C1|A|Davis County
UT|49|14070|02413214|Cleveland town|INCORPORATED PLACE|C1|A|Emery County
UT|49|14290|02409486|Clinton city|INCORPORATED PLACE|C1|A|Davis County
UT|49|14840|02409496|Coalville city|INCORPORATED PLACE|C1|A|Summit County
UT|49|15720|02708941|Copperton metro township|INCORPORATED PLACE|C1|A|Salt Lake County
UT|49|15830|02410228|Corinne city|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|15940|02413244|Cornish town|INCORPORATED PLACE|C1|A|Cache County
UT|49|16270|02410245|Cottonwood Heights city|INCORPORATED PLACE|C1|A|Salt Lake County
UT|49|16490|02407674|Cove CDP|CENSUS DESIGNATED PLACE|U1|S|Cache County
UT|49|18090|02629948|Dammeron Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
UT|49|18140|02412402|Daniel town|INCORPORATED PLACE|C1|A|Wasatch County
UT|49|18910|02410320|Delta city|INCORPORATED PLACE|C1|A|Millard County
UT|49|19020|02584761|Deseret CDP|CENSUS DESIGNATED PLACE|U1|S|Millard County
UT|49|19680|02412425|Deweyville town|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|20120|02410355|Draper city|INCORPORATED PLACE|C1|A|Salt Lake County~~~Utah County
UT|49|20340|02410365|Duchesne city|INCORPORATED PLACE|C1|A|Duchesne County
UT|49|20450|02408694|Dugway CDP|CENSUS DESIGNATED PLACE|M2|S|Tooele County
UT|49|20780|02783906|Dutch John town|INCORPORATED PLACE|C1|A|Daggett County
UT|49|20810|02410380|Eagle Mountain city|INCORPORATED PLACE|C1|A|Utah County
UT|49|20850|02807121|East Basin CDP|CENSUS DESIGNATED PLACE|U1|S|Summit County
UT|49|20890|02410386|East Carbon city|INCORPORATED PLACE|C1|A|Carbon County
UT|49|21880|02584763|Echo CDP|CENSUS DESIGNATED PLACE|U1|S|Summit County
UT|49|21990|02584764|Eden CDP|CENSUS DESIGNATED PLACE|U1|S|Weber County
UT|49|22210|02408067|Elberta CDP|CENSUS DESIGNATED PLACE|U2|S|Utah County
UT|49|22370|02410426|Elk Ridge city|INCORPORATED PLACE|C1|A|Utah County
UT|49|22540|02412479|Elmo town|INCORPORATED PLACE|C1|A|Emery County
UT|49|22650|02412481|Elsinore town|INCORPORATED PLACE|C1|A|Sevier County
UT|49|22760|02412482|Elwood town|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|22870|02412483|Emery town|INCORPORATED PLACE|C1|A|Emery County
UT|49|22875|02708943|Emigration Canyon metro township|INCORPORATED PLACE|C1|A|Salt Lake County
UT|49|23200|02410444|Enoch city|INCORPORATED PLACE|C1|A|Iron County
UT|49|23310|02584766|Enterprise CDP|CENSUS DESIGNATED PLACE|U1|S|Morgan County
UT|49|23420|02410446|Enterprise city|INCORPORATED PLACE|C1|A|Washington County
UT|49|23530|02410449|Ephraim city|INCORPORATED PLACE|C1|A|Sanpete County
UT|49|23640|02408086|Erda CDP|CENSUS DESIGNATED PLACE|U1|S|Tooele County
UT|49|23750|02410452|Escalante city|INCORPORATED PLACE|C1|A|Garfield County
UT|49|24080|02410465|Eureka city|INCORPORATED PLACE|C1|A|Juab County
UT|49|24410|02412611|Fairfield town|INCORPORATED PLACE|C1|A|Utah County
UT|49|24630|02410479|Fairview city|INCORPORATED PLACE|C1|A|Sanpete County
UT|49|24740|02410488|Farmington city|INCORPORATED PLACE|C1|A|Davis County
UT|49|24850|02410489|Farr West city|INCORPORATED PLACE|C1|A|Weber County
UT|49|25070|02412624|Fayette town|INCORPORATED PLACE|C1|A|Sanpete County
UT|49|25180|02410501|Ferron city|INCORPORATED PLACE|C1|A|Emery County
UT|49|25290|02412625|Fielding town|INCORPORATED PLACE|C1|A|Box Elder County
UT|49|25510|02410505|Fillmore city|INCORPORATED PLACE|C1|A|Millard County
UT|49|25910|02584767|Flaming Gorge CDP|CENSUS DESIGNATED PLACE|U2|S|Daggett County
UT|49|26610|02408237|Fort Duchesne CDP|CENSUS DESIGNATED PLACE|U1|S|Uintah County
UT|49|26720|02410536|Fountain Green city|INCORPORATED PLACE|C1|A|Sanpete County
UT|49|26940|02412652|Francis town|INCORPORATED PLACE|C1|A|Summit County
UT|49|27270|02629949|Fremont CDP|CENSUS DESIGNATED PLACE|U1|S|Wayne County
UT|49|27490|02410552|Fruit Heights city|INCORPORATED PLACE|C1|A|Davis County
UT|49|27902|02408276|Garden CDP|CENSUS DESIGNATED PLACE|U1|S|Rich County
UT|49|27930|02412668|Garden City town|INCORPORATED PLACE|C1|A|Rich County
