STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
VA|51|00110|02807445|Abbs Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Tazewell County
VA|51|00148|02390694|Abingdon town|INCORPORATED PLACE|C1|A|Washington County
VA|51|00180|02390696|Accomac town|INCORPORATED PLACE|C1|A|Accomack County
VA|51|00468|02389120|Adwolf CDP|CENSUS DESIGNATED PLACE|U1|S|Smyth County
VA|51|00484|02807430|Afton CDP|CENSUS DESIGNATED PLACE|U1|S|Albemarle County~~~Nelson County
VA|51|00724|02390698|Alberta town|INCORPORATED PLACE|C1|A|Brunswick County
VA|51|00772|02807428|Aldie CDP|CENSUS DESIGNATED PLACE|U1|S|Loudoun County
VA|51|01000|01498415|Alexandria city|INCORPORATED PLACE|C7|A|Alexandria city
VA|51|01240|02628829|Allison Gap CDP|CENSUS DESIGNATED PLACE|U1|S|Smyth County
VA|51|01256|02584796|Allisonia CDP|CENSUS DESIGNATED PLACE|U1|S|Pulaski County
VA|51|01528|02390701|Altavista town|INCORPORATED PLACE|C1|A|Campbell County
VA|51|01640|02629016|Amelia Court House CDP|CENSUS DESIGNATED PLACE|U1|S|Amelia County
VA|51|01672|02390702|Amherst town|INCORPORATED PLACE|C1|A|Amherst County
VA|51|01752|02807446|Amonate CDP|CENSUS DESIGNATED PLACE|U1|S|Tazewell County
VA|51|01912|02389138|Annandale CDP|CENSUS DESIGNATED PLACE|U1|S|Fairfax County
VA|51|02040|02390706|Appalachia town|INCORPORATED PLACE|C1|A|Wise County
VA|51|02064|02629747|Apple Mountain Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Warren County
VA|51|02072|02390707|Appomattox town|INCORPORATED PLACE|C1|A|Appomattox County
VA|51|02112|02389142|Aquia Harbour CDP|CENSUS DESIGNATED PLACE|U1|S|Stafford County
VA|51|02248|02584797|Arcola CDP|CENSUS DESIGNATED PLACE|U1|S|Loudoun County
VA|51|03000|02389148|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Arlington County
VA|51|03208|02584798|Arrington CDP|CENSUS DESIGNATED PLACE|U1|S|Nelson County
