STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
WA|53|00100|02409655|Aberdeen city|INCORPORATED PLACE|C1|A|Grays Harbor County
WA|53|00135|02407691|Aberdeen Gardens CDP|CENSUS DESIGNATED PLACE|U1|S|Grays Harbor County
WA|53|00275|02407694|Acme CDP|CENSUS DESIGNATED PLACE|U1|S|Whatcom County
WA|53|00380|02586726|Addy CDP|CENSUS DESIGNATED PLACE|U1|S|Stevens County
WA|53|00800|02407700|Ahtanum CDP|CENSUS DESIGNATED PLACE|U1|S|Yakima County
WA|53|00905|02409668|Airway Heights city|INCORPORATED PLACE|C1|A|Spokane County
WA|53|01010|02412345|Albion town|INCORPORATED PLACE|C1|A|Whitman County
WA|53|01045|02584941|Alder CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|01150|02584942|Alderton CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|01185|02407714|Alderwood Manor CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|01255|02407717|Alger CDP|CENSUS DESIGNATED PLACE|U1|S|Skagit County
WA|53|01290|02409680|Algona city|INCORPORATED PLACE|C1|A|King County
WA|53|01430|02586727|Allyn CDP|CENSUS DESIGNATED PLACE|U1|S|Mason County
WA|53|01500|02412352|Almira town|INCORPORATED PLACE|C1|A|Lincoln County
WA|53|01745|02584943|Altoona CDP|CENSUS DESIGNATED PLACE|U1|S|Wahkiakum County
WA|53|01780|02584944|Amanda Park CDP|CENSUS DESIGNATED PLACE|U1|S|Grays Harbor County
WA|53|01850|02407738|Amboy CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
WA|53|01920|02407739|Ames Lake CDP|CENSUS DESIGNATED PLACE|U1|S|King County
WA|53|01990|02409702|Anacortes city|INCORPORATED PLACE|C1|A|Skagit County
WA|53|02025|02807173|Anatone CDP|CENSUS DESIGNATED PLACE|U1|S|Asotin County
WA|53|02060|02584945|Anderson Island CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|02585|02409732|Arlington city|INCORPORATED PLACE|C1|A|Snohomish County
WA|53|02620|02407761|Arlington Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|02910|02407769|Artondale CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|03005|02407772|Ashford CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|03075|02409742|Asotin city|INCORPORATED PLACE|C1|A|Asotin County
WA|53|03180|02409755|Auburn city|INCORPORATED PLACE|C1|A|King County~~~Pierce County
WA|53|03736|02409770|Bainbridge Island city|INCORPORATED PLACE|C1|A|Kitsap County
WA|53|04100|02407795|Bangor Base CDP|CENSUS DESIGNATED PLACE|M2|S|Kitsap County
WA|53|04125|01852937|Banks Lake South CDP|CENSUS DESIGNATED PLACE|U2|S|Grant County
WA|53|04195|02407796|Barberton CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
WA|53|04300|02407797|Baring CDP|CENSUS DESIGNATED PLACE|U1|S|King County
WA|53|04347|02631207|Barney's Junction CDP|CENSUS DESIGNATED PLACE|U2|S|Ferry County
WA|53|04370|02631208|Barstow CDP|CENSUS DESIGNATED PLACE|U1|S|Ferry County
WA|53|04405|02407802|Basin City CDP|CENSUS DESIGNATED PLACE|U1|S|Franklin County
WA|53|04475|02409796|Battle Ground city|INCORPORATED PLACE|C1|A|Clark County
WA|53|04615|02407807|Bay Center CDP|CENSUS DESIGNATED PLACE|U1|S|Pacific County
WA|53|04790|02407809|Bay View CDP|CENSUS DESIGNATED PLACE|U1|S|Skagit County
WA|53|04825|02807174|Beacon Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Cowlitz County
WA|53|04895|02411673|Beaux Arts Village town|INCORPORATED PLACE|C1|A|King County
WA|53|05140|02586728|Belfair CDP|CENSUS DESIGNATED PLACE|U1|S|Mason County
WA|53|05210|02409821|Bellevue city|INCORPORATED PLACE|C1|A|King County
WA|53|05245|02407826|Bell Hill CDP|CENSUS DESIGNATED PLACE|U1|S|Clallam County
WA|53|05280|02409823|Bellingham city|INCORPORATED PLACE|C1|A|Whatcom County
WA|53|05560|02409836|Benton City city|INCORPORATED PLACE|C1|A|Benton County
WA|53|05735|02584946|Bethel CDP|CENSUS DESIGNATED PLACE|U1|S|Kitsap County
WA|53|05770|02807177|Beverly CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
WA|53|05980|02407836|Bickleton CDP|CENSUS DESIGNATED PLACE|U1|S|Klickitat County
WA|53|06050|02407841|Big Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Skagit County
WA|53|06085|02409850|Bingen city|INCORPORATED PLACE|C1|A|Klickitat County
WA|53|06190|02407850|Birch Bay CDP|CENSUS DESIGNATED PLACE|U1|S|Whatcom County
WA|53|06330|02409855|Black Diamond city|INCORPORATED PLACE|C1|A|King County
WA|53|06505|02409860|Blaine city|INCORPORATED PLACE|C1|A|Whatcom County
WA|53|06855|02407871|Blyn CDP|CENSUS DESIGNATED PLACE|U1|S|Clallam County
WA|53|07170|02409880|Bonney Lake city|INCORPORATED PLACE|C1|A|Pierce County
WA|53|07380|02409882|Bothell city|INCORPORATED PLACE|C1|A|King County~~~Snohomish County
WA|53|07390|02584947|Bothell East CDP|CENSUS DESIGNATED PLACE|U2|S|Snohomish County
WA|53|07395|02584948|Bothell West CDP|CENSUS DESIGNATED PLACE|U2|S|Snohomish County
WA|53|07397|02584949|Boulevard Park CDP|CENSUS DESIGNATED PLACE|U2|S|King County
WA|53|07450|02807190|Bow CDP|CENSUS DESIGNATED PLACE|U1|S|Skagit County
WA|53|07485|02631347|Boyds CDP|CENSUS DESIGNATED PLACE|U1|S|Ferry County
WA|53|07590|02407900|Brady CDP|CENSUS DESIGNATED PLACE|U1|S|Grays Harbor County
WA|53|07695|02409899|Bremerton city|INCORPORATED PLACE|C1|A|Kitsap County
WA|53|07835|02409903|Brewster city|INCORPORATED PLACE|C1|A|Okanogan County
WA|53|07870|02409908|Bridgeport city|INCORPORATED PLACE|C1|A|Douglas County
WA|53|07940|02409909|Brier city|INCORPORATED PLACE|C1|A|Snohomish County
WA|53|08080|02407906|Brinnon CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
WA|53|08325|02584950|Browns Point CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|08465|02407913|Brush Prairie CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
WA|53|08500|02584951|Bryant CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|08552|02407916|Bryn Mawr-Skyway CDP|CENSUS DESIGNATED PLACE|U2|S|King County
WA|53|08570|02409929|Buckley city|INCORPORATED PLACE|C1|A|Pierce County
WA|53|08605|02411738|Bucoda town|INCORPORATED PLACE|C1|A|Thurston County
WA|53|08640|02584952|Buena CDP|CENSUS DESIGNATED PLACE|U1|S|Yakima County
WA|53|08770|02584953|Bunk Foss CDP|CENSUS DESIGNATED PLACE|U2|S|Snohomish County
WA|53|08780|02407925|Burbank CDP|CENSUS DESIGNATED PLACE|U1|S|Walla Walla County
WA|53|08850|02409940|Burien city|INCORPORATED PLACE|C1|A|King County
WA|53|08885|02584954|Burley CDP|CENSUS DESIGNATED PLACE|U1|S|Kitsap County
WA|53|08920|02409947|Burlington city|INCORPORATED PLACE|C1|A|Skagit County
WA|53|09365|02407940|Camano CDP|CENSUS DESIGNATED PLACE|U1|S|Island County
WA|53|09480|02409967|Camas city|INCORPORATED PLACE|C1|A|Clark County
WA|53|09810|02584955|Canterwood CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|09820|02408453|Canyon Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|09970|02413165|Carbonado town|INCORPORATED PLACE|C1|A|Pierce County
WA|53|10075|02407965|Carlsborg CDP|CENSUS DESIGNATED PLACE|U1|S|Clallam County
WA|53|10215|02409989|Carnation city|INCORPORATED PLACE|C1|A|King County
WA|53|10320|02407972|Carson CDP|CENSUS DESIGNATED PLACE|U1|S|Skamania County
WA|53|10455|02407981|Cascade Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Grant County
WA|53|10495|02409405|Cashmere city|INCORPORATED PLACE|C1|A|Chelan County
WA|53|10565|02409409|Castle Rock city|INCORPORATED PLACE|C1|A|Cowlitz County
WA|53|10600|02407993|Cathcart CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|10635|02413181|Cathlamet town|INCORPORATED PLACE|C1|A|Wahkiakum County
WA|53|10645|02584956|Cavalero CDP|CENSUS DESIGNATED PLACE|U2|S|Snohomish County
WA|53|11090|02408003|Centerville CDP|CENSUS DESIGNATED PLACE|U1|S|Klickitat County
WA|53|11160|02409429|Centralia city|INCORPORATED PLACE|C1|A|Lewis County
WA|53|11195|02408006|Central Park CDP|CENSUS DESIGNATED PLACE|U1|S|Grays Harbor County
WA|53|11325|02584957|Chain Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|11475|02409439|Chehalis city|INCORPORATED PLACE|C1|A|Lewis County
WA|53|11615|02409440|Chelan city|INCORPORATED PLACE|C1|A|Chelan County
WA|53|11685|02586729|Chelan Falls CDP|CENSUS DESIGNATED PLACE|U1|S|Chelan County
WA|53|11825|02409441|Cheney city|INCORPORATED PLACE|C1|A|Spokane County
WA|53|12015|02408017|Cherry Grove CDP|CENSUS DESIGNATED PLACE|U1|S|Clark County
WA|53|12140|02409444|Chewelah city|INCORPORATED PLACE|C1|A|Stevens County
WA|53|12175|02584958|Chico CDP|CENSUS DESIGNATED PLACE|U1|S|Kitsap County
WA|53|12315|02407609|Chinook CDP|CENSUS DESIGNATED PLACE|U1|S|Pacific County
WA|53|12525|02586730|Clallam Bay CDP|CENSUS DESIGNATED PLACE|U1|S|Clallam County
WA|53|12630|02409469|Clarkston city|INCORPORATED PLACE|C1|A|Asotin County
WA|53|12680|02407628|Clarkston Heights-Vineland CDP|CENSUS DESIGNATED PLACE|U2|S|Asotin County
WA|53|12735|02586731|Clayton CDP|CENSUS DESIGNATED PLACE|U1|S|Stevens County
WA|53|12820|02584959|Clear Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
WA|53|12840|02407630|Clear Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Skagit County
WA|53|12875|02584960|Clearview CDP|CENSUS DESIGNATED PLACE|U1|S|Snohomish County
WA|53|12945|02409476|Cle Elum city|INCORPORATED PLACE|C1|A|Kittitas County
WA|53|13015|02584961|Cliffdell CDP|CENSUS DESIGNATED PLACE|U1|S|Yakima County
WA|53|13155|02407635|Clinton CDP|CENSUS DESIGNATED PLACE|U1|S|Island County
WA|53|13215|02584962|Clover Creek CDP|CENSUS DESIGNATED PLACE|U2|S|Pierce County
WA|53|13365|02409492|Clyde Hill city|INCORPORATED PLACE|C1|A|King County
