STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
WV|54|00196|02586752|Accoville CDP|CENSUS DESIGNATED PLACE|U1|S|Logan County
WV|54|00364|02390697|Addison (Webster Springs) town|INCORPORATED PLACE|C1|A|Webster County
WV|54|00460|02807510|Adrian CDP|CENSUS DESIGNATED PLACE|U1|S|Upshur County
WV|54|00748|02390699|Albright town|INCORPORATED PLACE|C1|A|Preston County
WV|54|00772|02390700|Alderson town|INCORPORATED PLACE|C1|A|Greenbrier County~~~Monroe County
WV|54|01396|02389129|Alum Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Kanawha County~~~Lincoln County
WV|54|01660|02586753|Amherstdale CDP|CENSUS DESIGNATED PLACE|U1|S|Logan County
WV|54|01780|02390703|Anawalt town|INCORPORATED PLACE|C1|A|McDowell County
WV|54|01900|02390704|Anmoore town|INCORPORATED PLACE|C1|A|Harrison County
WV|54|01996|02390705|Ansted town|INCORPORATED PLACE|C1|A|Fayette County
WV|54|02188|02586754|Apple Grove CDP|CENSUS DESIGNATED PLACE|U1|S|Mason County
WV|54|02260|02586755|Arbovale CDP|CENSUS DESIGNATED PLACE|U1|S|Pocahontas County
WV|54|02908|02807503|Arthurdale CDP|CENSUS DESIGNATED PLACE|U1|S|Preston County
WV|54|03292|02390709|Athens town|INCORPORATED PLACE|C1|A|Mercer County
WV|54|03364|02390710|Auburn town|INCORPORATED PLACE|C1|A|Ritchie County
WV|54|03460|02586756|Aurora CDP|CENSUS DESIGNATED PLACE|U1|S|Preston County
WV|54|04204|02390711|Bancroft town|INCORPORATED PLACE|C1|A|Putnam County
WV|54|04276|02391537|Barboursville village|INCORPORATED PLACE|C1|A|Cabell County
WV|54|04612|02390714|Barrackville town|INCORPORATED PLACE|C1|A|Marion County
WV|54|04732|02586757|Bartley CDP|CENSUS DESIGNATED PLACE|U1|S|McDowell County
WV|54|04780|02586758|Bartow CDP|CENSUS DESIGNATED PLACE|U1|S|Pocahontas County
WV|54|04876|01877535|Bath (Berkeley Springs) town|INCORPORATED PLACE|C1|A|Morgan County
WV|54|04900|02807499|Baxter CDP|CENSUS DESIGNATED PLACE|U1|S|Marion County
WV|54|04924|02390716|Bayard town|INCORPORATED PLACE|C1|A|Grant County
WV|54|05068|02586759|Beards Fork CDP|CENSUS DESIGNATED PLACE|U1|S|Fayette County
WV|54|05260|02389185|Beaver CDP|CENSUS DESIGNATED PLACE|U1|S|Raleigh County
WV|54|05332|02390563|Beckley city|INCORPORATED PLACE|C1|A|Raleigh County
WV|54|05452|02391543|Beech Bottom village|INCORPORATED PLACE|C1|A|Brooke County
WV|54|05788|02390718|Belington town|INCORPORATED PLACE|C1|A|Barbour County
WV|54|05836|02390719|Belle town|INCORPORATED PLACE|C1|A|Kanawha County
WV|54|06004|02390564|Belmont city|INCORPORATED PLACE|C1|A|Pleasants County
WV|54|06052|02586760|Belva CDP|CENSUS DESIGNATED PLACE|U1|S|Nicholas County
WV|54|06340|02390565|Benwood city|INCORPORATED PLACE|C1|A|Marshall County
WV|54|06436|02586761|Bergoo CDP|CENSUS DESIGNATED PLACE|U1|S|Webster County
WV|54|06748|02586762|Berwind CDP|CENSUS DESIGNATED PLACE|U1|S|McDowell County
WV|54|06844|02390725|Bethany town|INCORPORATED PLACE|C1|A|Brooke County
WV|54|06940|02391550|Bethlehem village|INCORPORATED PLACE|C1|A|Ohio County
WV|54|06988|02390729|Beverly town|INCORPORATED PLACE|C1|A|Randolph County
WV|54|07204|02586763|Big Chimney CDP|CENSUS DESIGNATED PLACE|U1|S|Kanawha County
WV|54|07228|02586764|Big Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Logan County
WV|54|07516|02586765|Big Sandy CDP|CENSUS DESIGNATED PLACE|U1|S|McDowell County
WV|54|07756|02586766|Birch River CDP|CENSUS DESIGNATED PLACE|U1|S|Nicholas County
WV|54|08092|02390733|Blacksville town|INCORPORATED PLACE|C1|A|Monongalia County
WV|54|08308|02389216|Blennerhassett CDP|CENSUS DESIGNATED PLACE|U1|S|Wood County
WV|54|08524|02390566|Bluefield city|INCORPORATED PLACE|C1|A|Mercer County
WV|54|08764|02585054|Bluewell CDP|CENSUS DESIGNATED PLACE|U1|S|Mercer County
WV|54|08836|02389222|Boaz CDP|CENSUS DESIGNATED PLACE|U1|S|Wood County
WV|54|08932|02390738|Bolivar town|INCORPORATED PLACE|C1|A|Jefferson County
WV|54|08956|02586767|Bolt CDP|CENSUS DESIGNATED PLACE|U1|S|Raleigh County
WV|54|09100|02586768|Boomer CDP|CENSUS DESIGNATED PLACE|U1|S|Fayette County
WV|54|09148|02807501|Booth CDP|CENSUS DESIGNATED PLACE|U1|S|Monongalia County
WV|54|09364|02586769|Bowden CDP|CENSUS DESIGNATED PLACE|U1|S|Randolph County
