STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
WI|55|00100|01582650|Abbotsford city|INCORPORATED PLACE|C5|A|Clark County~~~Marathon County
WI|55|00150|02586446|Abrams CDP|CENSUS DESIGNATED PLACE|U1|S|Oconto County
WI|55|00275|01582653|Adams city|INCORPORATED PLACE|C5|A|Adams County
WI|55|00450|01582658|Adell village|INCORPORATED PLACE|C5|A|Sheboygan County
WI|55|00750|01582665|Albany village|INCORPORATED PLACE|C5|A|Green County
WI|55|01000|01582672|Algoma city|INCORPORATED PLACE|C5|A|Kewaunee County
WI|55|01075|02807533|Allens Grove CDP|CENSUS DESIGNATED PLACE|U1|S|Walworth County
WI|55|01100|02585056|Allenton CDP|CENSUS DESIGNATED PLACE|U1|S|Washington County
WI|55|01150|01582674|Allouez village|INCORPORATED PLACE|C5|A|Brown County
WI|55|01225|01582675|Alma city|INCORPORATED PLACE|C5|A|Buffalo County
WI|55|01300|01582678|Alma Center village|INCORPORATED PLACE|C5|A|Jackson County
WI|55|01325|01582679|Almena village|INCORPORATED PLACE|C5|A|Barron County
WI|55|01400|01582682|Almond village|INCORPORATED PLACE|C5|A|Portage County
WI|55|01500|02807522|Alto CDP|CENSUS DESIGNATED PLACE|U1|S|Fond du Lac County
WI|55|01550|01582685|Altoona city|INCORPORATED PLACE|C5|A|Eau Claire County
WI|55|01650|02586448|Amberg CDP|CENSUS DESIGNATED PLACE|U1|S|Marinette County
WI|55|01725|01582688|Amery city|INCORPORATED PLACE|C5|A|Polk County
WI|55|01750|01582689|Amherst village|INCORPORATED PLACE|C5|A|Portage County
WI|55|01800|01582691|Amherst Junction village|INCORPORATED PLACE|C5|A|Portage County
WI|55|01950|02585057|Angelica CDP|CENSUS DESIGNATED PLACE|U1|S|Shawano County
WI|55|02075|01582697|Aniwa village|INCORPORATED PLACE|C5|A|Shawano County
WI|55|02250|01582700|Antigo city|INCORPORATED PLACE|C5|A|Langlade County
WI|55|02375|01582703|Appleton city|INCORPORATED PLACE|C5|A|Calumet County~~~Outagamie County~~~Winnebago County
WI|55|02500|01582705|Arcadia city|INCORPORATED PLACE|C5|A|Trempealeau County
WI|55|02550|01582707|Arena village|INCORPORATED PLACE|C5|A|Iowa County
WI|55|02600|02586449|Argonne CDP|CENSUS DESIGNATED PLACE|U1|S|Forest County
WI|55|02650|01582710|Argyle village|INCORPORATED PLACE|C5|A|Lafayette County
WI|55|02700|02586450|Arkansaw CDP|CENSUS DESIGNATED PLACE|U1|S|Pepin County
WI|55|02725|02586451|Arkdale CDP|CENSUS DESIGNATED PLACE|U1|S|Adams County
WI|55|02800|01582713|Arlington village|INCORPORATED PLACE|C5|A|Columbia County
WI|55|03025|01582718|Arpin village|INCORPORATED PLACE|C5|A|Wood County
WI|55|03175|02586452|Ashippun CDP|CENSUS DESIGNATED PLACE|U1|S|Dodge County
WI|55|03225|01582723|Ashland city|INCORPORATED PLACE|C5|A|Ashland County~~~Bayfield County
WI|55|03425|01582725|Ashwaubenon village|INCORPORATED PLACE|C5|A|Brown County
WI|55|03550|01582727|Athens village|INCORPORATED PLACE|C5|A|Marathon County
WI|55|03775|01582731|Auburndale village|INCORPORATED PLACE|C5|A|Wood County
WI|55|03825|01582733|Augusta city|INCORPORATED PLACE|C5|A|Eau Claire County
WI|55|04025|01582737|Avoca village|INCORPORATED PLACE|C5|A|Iowa County
WI|55|04150|02586453|Babcock CDP|CENSUS DESIGNATED PLACE|U1|S|Wood County
WI|55|04250|01582740|Bagley village|INCORPORATED PLACE|C5|A|Grant County
WI|55|04300|02586454|Baileys Harbor CDP|CENSUS DESIGNATED PLACE|U1|S|Door County
WI|55|04400|01582743|Baldwin village|INCORPORATED PLACE|C5|A|St. Croix County
WI|55|04475|01582745|Balsam Lake village|INCORPORATED PLACE|C5|A|Polk County
WI|55|04525|02586455|Bancroft CDP|CENSUS DESIGNATED PLACE|U1|S|Portage County
WI|55|04550|01582747|Bangor village|INCORPORATED PLACE|C5|A|La Crosse County
WI|55|04625|01582749|Baraboo city|INCORPORATED PLACE|C5|A|Sauk County
WI|55|04775|01582753|Barneveld village|INCORPORATED PLACE|C5|A|Iowa County
WI|55|04875|01582755|Barron city|INCORPORATED PLACE|C5|A|Barron County
WI|55|04925|02586456|Barronett CDP|CENSUS DESIGNATED PLACE|U1|S|Barron County
WI|55|05275|02807531|Batavia CDP|CENSUS DESIGNATED PLACE|U1|S|Sheboygan County
WI|55|05325|01582763|Bay City village|INCORPORATED PLACE|C5|A|Pierce County
WI|55|05350|01582764|Bayfield city|INCORPORATED PLACE|C5|A|Bayfield County
WI|55|05387|02813409|Bayfront CDP|CENSUS DESIGNATED PLACE|U2|S|Ashland County
WI|55|05450|01582766|Bayside village|INCORPORATED PLACE|C5|A|Milwaukee County~~~Ozaukee County
WI|55|05575|01582769|Bear Creek village|INCORPORATED PLACE|C5|A|Outagamie County
WI|55|05900|01582777|Beaver Dam city|INCORPORATED PLACE|C5|A|Dodge County
WI|55|06150|01582781|Belgium village|INCORPORATED PLACE|C5|A|Ozaukee County
WI|55|06225|01582784|Bell Center village|INCORPORATED PLACE|C5|A|Crawford County
WI|55|06300|01582786|Belleville village|INCORPORATED PLACE|C5|A|Dane County~~~Green County
WI|55|06350|02013446|Bellevue village|INCORPORATED PLACE|C5|A|Brown County
WI|55|06425|01582788|Belmont village|INCORPORATED PLACE|C5|A|Lafayette County
WI|55|06500|01582791|Beloit city|INCORPORATED PLACE|C5|A|Rock County
WI|55|06825|01582795|Benton village|INCORPORATED PLACE|C5|A|Lafayette County
WI|55|06925|01582799|Berlin city|INCORPORATED PLACE|C5|A|Green Lake County~~~Waushara County
WI|55|07200|01582806|Big Bend village|INCORPORATED PLACE|C5|A|Waukesha County
WI|55|07250|01582808|Big Falls village|INCORPORATED PLACE|C5|A|Waupaca County
WI|55|07315|02807534|Big Foot Prairie CDP|CENSUS DESIGNATED PLACE|U1|S|Walworth County
WI|55|07532|02585058|Birch Hill CDP|CENSUS DESIGNATED PLACE|U2|S|Ashland County
WI|55|07550|01582812|Birchwood village|INCORPORATED PLACE|C5|A|Washburn County
WI|55|07600|01582814|Birnamwood village|INCORPORATED PLACE|C5|A|Marathon County~~~Shawano County
WI|55|07650|01582816|Biron village|INCORPORATED PLACE|C5|A|Wood County
WI|55|07725|01582818|Black Creek village|INCORPORATED PLACE|C5|A|Outagamie County
WI|55|07800|01582820|Black Earth village|INCORPORATED PLACE|C5|A|Dane County
WI|55|07900|01582822|Black River Falls city|INCORPORATED PLACE|C5|A|Jackson County
WI|55|08075|01582826|Blair city|INCORPORATED PLACE|C5|A|Trempealeau County
WI|55|08125|01582828|Blanchardville village|INCORPORATED PLACE|C5|A|Iowa County~~~Lafayette County
WI|55|08225|01582830|Bloomer city|INCORPORATED PLACE|C5|A|Chippewa County
WI|55|08265|02711667|Bloomfield village|INCORPORATED PLACE|C5|A|Walworth County
WI|55|08375|01582835|Bloomington village|INCORPORATED PLACE|C5|A|Grant County
WI|55|08475|01582837|Blue Mounds village|INCORPORATED PLACE|C5|A|Dane County
WI|55|08525|01582839|Blue River village|INCORPORATED PLACE|C5|A|Grant County
WI|55|08560|02586458|Bluffview CDP|CENSUS DESIGNATED PLACE|U1|S|Sauk County
WI|55|08600|01582840|Boaz village|INCORPORATED PLACE|C5|A|Richland County
WI|55|08625|02393342|Bohners Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Racine County
WI|55|08725|01582841|Bonduel village|INCORPORATED PLACE|C5|A|Shawano County
WI|55|08850|01582843|Boscobel city|INCORPORATED PLACE|C5|A|Grant County
WI|55|08925|02586459|Boulder Junction CDP|CENSUS DESIGNATED PLACE|U1|S|Vilas County
WI|55|09025|01582847|Bowler village|INCORPORATED PLACE|C5|A|Shawano County
WI|55|09050|01582848|Boyceville village|INCORPORATED PLACE|C5|A|Dunn County
WI|55|09075|01582849|Boyd village|INCORPORATED PLACE|C5|A|Chippewa County
WI|55|09300|01582852|Brandon village|INCORPORATED PLACE|C5|A|Fond du Lac County
WI|55|09465|02393345|Brice Prairie CDP|CENSUS DESIGNATED PLACE|U1|S|La Crosse County
WI|55|09575|02807525|Briggsville CDP|CENSUS DESIGNATED PLACE|U1|S|Marquette County
WI|55|09725|01582860|Brillion city|INCORPORATED PLACE|C5|A|Calumet County
WI|55|09800|02646685|Bristol village|INCORPORATED PLACE|C5|A|Kenosha County
WI|55|09925|01582865|Brodhead city|INCORPORATED PLACE|C5|A|Green County~~~Rock County
WI|55|10025|01582867|Brookfield city|INCORPORATED PLACE|C5|A|Waukesha County
WI|55|10075|01582869|Brooklyn village|INCORPORATED PLACE|C5|A|Dane County~~~Green County
WI|55|10325|02807517|Brothertown CDP|CENSUS DESIGNATED PLACE|U1|S|Calumet County
WI|55|10375|01582874|Brown Deer village|INCORPORATED PLACE|C5|A|Milwaukee County
WI|55|10425|02393353|Browns Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Racine County
WI|55|10450|01582876|Brownsville village|INCORPORATED PLACE|C5|A|Dodge County
WI|55|10475|01582877|Browntown village|INCORPORATED PLACE|C5|A|Green County
WI|55|10500|01582878|Bruce village|INCORPORATED PLACE|C5|A|Rusk County
WI|55|10550|02586460|Brule CDP|CENSUS DESIGNATED PLACE|U1|S|Douglas County
WI|55|11062|01582884|Buffalo City city|INCORPORATED PLACE|C5|A|Buffalo County
WI|55|11200|01582888|Burlington city|INCORPORATED PLACE|C5|A|Racine County~~~Walworth County
WI|55|11250|02586461|Burnett CDP|CENSUS DESIGNATED PLACE|U1|S|Dodge County
WI|55|11475|01582894|Butler village|INCORPORATED PLACE|C5|A|Waukesha County
WI|55|11500|02586462|Butte des Morts CDP|CENSUS DESIGNATED PLACE|U1|S|Winnebago County
WI|55|11525|01582895|Butternut village|INCORPORATED PLACE|C5|A|Ashland County
WI|55|11650|02586463|Cable CDP|CENSUS DESIGNATED PLACE|U1|S|Bayfield County
WI|55|11750|01582900|Cadott village|INCORPORATED PLACE|C5|A|Chippewa County
WI|55|11950|02397529|Caledonia village|INCORPORATED PLACE|C5|A|Racine County
WI|55|12200|01582908|Cambria village|INCORPORATED PLACE|C5|A|Columbia County
WI|55|12225|01582909|Cambridge village|INCORPORATED PLACE|C5|A|Dane County~~~Jefferson County
WI|55|12250|01582910|Cameron village|INCORPORATED PLACE|C5|A|Barron County
WI|55|12325|01582913|Campbellsport village|INCORPORATED PLACE|C5|A|Fond du Lac County
