STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
WY|56|00245|02412337|Afton town|INCORPORATED PLACE|C1|A|Lincoln County
WY|56|00680|02407710|Albany CDP|CENSUS DESIGNATED PLACE|U1|S|Albany County
WY|56|00825|02412343|Albin town|INCORPORATED PLACE|C1|A|Laramie County
WY|56|01115|02407712|Alcova CDP|CENSUS DESIGNATED PLACE|U1|S|Natrona County
WY|56|01695|02412353|Alpine town|INCORPORATED PLACE|C1|A|Lincoln County
WY|56|01888|02407727|Alpine Northeast CDP|CENSUS DESIGNATED PLACE|U2|S|Lincoln County
WY|56|01936|02407728|Alpine Northwest CDP|CENSUS DESIGNATED PLACE|U2|S|Lincoln County
WY|56|01985|02407730|Alta CDP|CENSUS DESIGNATED PLACE|U1|S|Teton County
WY|56|02877|02407746|Antelope Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Natrona County
WY|56|03000|02407752|Arapahoe CDP|CENSUS DESIGNATED PLACE|U1|S|Fremont County
WY|56|03245|02629261|Arlington CDP|CENSUS DESIGNATED PLACE|U1|S|Carbon County
WY|56|03652|02407765|Arrowhead Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Sweetwater County
WY|56|03725|02407770|Arvada CDP|CENSUS DESIGNATED PLACE|U1|S|Sheridan County
WY|56|04015|02407777|Atlantic City CDP|CENSUS DESIGNATED PLACE|U1|S|Fremont County
WY|56|04160|02407780|Auburn CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
WY|56|04740|02411659|Baggs town|INCORPORATED PLACE|C1|A|Carbon County
WY|56|04885|02411661|Bairoil town|INCORPORATED PLACE|C1|A|Sweetwater County
WY|56|05245|02411663|Bar Nunn town|INCORPORATED PLACE|C1|A|Natrona County
WY|56|05320|02411666|Basin town|INCORPORATED PLACE|C1|A|Big Horn County
WY|56|05625|02411670|Bear River town|INCORPORATED PLACE|C1|A|Uinta County
WY|56|06045|02407821|Bedford CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
WY|56|06407|02407833|Bessemer Bend CDP|CENSUS DESIGNATED PLACE|U1|S|Natrona County
WY|56|06480|02585079|Beulah CDP|CENSUS DESIGNATED PLACE|U1|S|Crook County
WY|56|06770|02407840|Big Horn CDP|CENSUS DESIGNATED PLACE|U1|S|Sheridan County
WY|56|07060|02411687|Big Piney town|INCORPORATED PLACE|C1|A|Sublette County
WY|56|08365|02407880|Bondurant CDP|CENSUS DESIGNATED PLACE|U1|S|Sublette County
WY|56|09235|02407891|Boulder CDP|CENSUS DESIGNATED PLACE|U1|S|Sublette County
WY|56|09307|02407893|Boulder Flats CDP|CENSUS DESIGNATED PLACE|U1|S|Fremont County
WY|56|10175|02407908|Brookhurst CDP|CENSUS DESIGNATED PLACE|U1|S|Natrona County
WY|56|10685|02409934|Buffalo city|INCORPORATED PLACE|C1|A|Johnson County
WY|56|11120|02411745|Burlington town|INCORPORATED PLACE|C1|A|Big Horn County
WY|56|11265|02411746|Burns town|INCORPORATED PLACE|C1|A|Laramie County
WY|56|11700|02413146|Byron town|INCORPORATED PLACE|C1|A|Big Horn County
WY|56|12860|02585080|Carpenter CDP|CENSUS DESIGNATED PLACE|U1|S|Laramie County
WY|56|13005|02407974|Carter CDP|CENSUS DESIGNATED PLACE|U1|S|Uinta County
WY|56|13150|02409406|Casper city|INCORPORATED PLACE|C1|A|Natrona County
WY|56|13222|02407984|Casper Mountain CDP|CENSUS DESIGNATED PLACE|U1|S|Natrona County
WY|56|13440|02408002|Centennial CDP|CENSUS DESIGNATED PLACE|U1|S|Albany County
WY|56|13900|02409445|Cheyenne city|INCORPORATED PLACE|C1|A|Laramie County
WY|56|14097|02407613|Chugcreek CDP|CENSUS DESIGNATED PLACE|U1|S|Platte County
WY|56|14165|02413202|Chugwater town|INCORPORATED PLACE|C1|A|Platte County
WY|56|15325|02413211|Clearmont town|INCORPORATED PLACE|C1|A|Sheridan County
WY|56|15400|02407632|Clearview Acres CDP|CENSUS DESIGNATED PLACE|U1|S|Sweetwater County
WY|56|15760|02409499|Cody city|INCORPORATED PLACE|C1|A|Park County
WY|56|15905|02413222|Cokeville town|INCORPORATED PLACE|C1|A|Lincoln County
WY|56|17210|02407659|Cora CDP|CENSUS DESIGNATED PLACE|U1|S|Sublette County
WY|56|17645|02412379|Cowley town|INCORPORATED PLACE|C1|A|Big Horn County
WY|56|18225|02407688|Crowheart CDP|CENSUS DESIGNATED PLACE|U1|S|Fremont County
WY|56|18950|02408641|Daniel CDP|CENSUS DESIGNATED PLACE|U1|S|Sublette County
WY|56|19385|02412410|Dayton town|INCORPORATED PLACE|C1|A|Sheridan County
WY|56|19530|02412413|Deaver town|INCORPORATED PLACE|C1|A|Big Horn County
WY|56|20110|02412427|Diamondville town|INCORPORATED PLACE|C1|A|Lincoln County
WY|56|20690|02412435|Dixon town|INCORPORATED PLACE|C1|A|Carbon County
WY|56|21125|02410350|Douglas city|INCORPORATED PLACE|C1|A|Converse County
WY|56|21415|02412450|Dubois town|INCORPORATED PLACE|C1|A|Fremont County
WY|56|22720|02412461|East Thermopolis town|INCORPORATED PLACE|C1|A|Hot Springs County
WY|56|23010|02408044|Eden CDP|CENSUS DESIGNATED PLACE|U1|S|Sweetwater County
WY|56|23155|02412466|Edgerton town|INCORPORATED PLACE|C1|A|Natrona County
WY|56|24025|02412475|Elk Mountain town|INCORPORATED PLACE|C1|A|Carbon County
WY|56|24350|02807540|El Rancho CDP|CENSUS DESIGNATED PLACE|U1|S|Platte County
WY|56|24750|02412700|Encampment town|INCORPORATED PLACE|C1|A|Carbon County
WY|56|25185|02408091|Esterbrook CDP|CENSUS DESIGNATED PLACE|U1|S|Converse County
WY|56|25330|02408092|Ethete CDP|CENSUS DESIGNATED PLACE|U1|S|Fremont County
WY|56|25475|02408093|Etna CDP|CENSUS DESIGNATED PLACE|U1|S|Lincoln County
