STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
PR|72|00186|02415286|Aceitunas comunidad|CENSUS DESIGNATED PLACE|U1|S|Moca Municipio
PR|72|00358|02415287|Adjuntas zona urbana|CENSUS DESIGNATED PLACE|U1|S|Adjuntas Municipio
PR|72|00616|02415288|Aguada zona urbana|CENSUS DESIGNATED PLACE|U1|S|Aguada Municipio
PR|72|00745|02415289|Aguadilla zona urbana|CENSUS DESIGNATED PLACE|U1|S|Aguadilla Municipio
PR|72|00874|02415290|Aguas Buenas zona urbana|CENSUS DESIGNATED PLACE|U1|S|Aguas Buenas Municipio
PR|72|01003|02415291|Aguas Claras comunidad|CENSUS DESIGNATED PLACE|U1|S|Ceiba Municipio
PR|72|01089|02415292|Aguilita comunidad|CENSUS DESIGNATED PLACE|U1|S|Juana Díaz Municipio
PR|72|01218|02415293|Aibonito zona urbana|CENSUS DESIGNATED PLACE|U1|S|Aibonito Municipio
PR|72|01863|02631210|Alianza comunidad|CENSUS DESIGNATED PLACE|U1|S|Camuy Municipio
PR|72|02680|02415294|Añasco zona urbana|CENSUS DESIGNATED PLACE|U1|S|Añasco Municipio
PR|72|03024|02415295|Animas comunidad|CENSUS DESIGNATED PLACE|U1|S|Arecibo Municipio
PR|72|03174|02585087|Anon Raices comunidad|CENSUS DESIGNATED PLACE|U2|S|Ponce Municipio
PR|72|03196|02415296|Antón Ruíz comunidad|CENSUS DESIGNATED PLACE|U1|S|Humacao Municipio
PR|72|03368|02415297|Arecibo zona urbana|CENSUS DESIGNATED PLACE|U1|S|Arecibo Municipio
PR|72|03927|02415298|Arroyo zona urbana|CENSUS DESIGNATED PLACE|U1|S|Arroyo Municipio
PR|72|04620|02585088|Bairoa La Veinticinco comunidad|CENSUS DESIGNATED PLACE|U2|S|Caguas Municipio
PR|72|04658|02415300|Bajadero comunidad|CENSUS DESIGNATED PLACE|U1|S|Arecibo Municipio
PR|72|04701|02415301|Bajandas comunidad|CENSUS DESIGNATED PLACE|U1|S|Humacao Municipio
PR|72|05217|02415302|Barahona comunidad|CENSUS DESIGNATED PLACE|U1|S|Morovis Municipio
PR|72|05346|02415303|Barceloneta zona urbana|CENSUS DESIGNATED PLACE|U1|S|Barceloneta Municipio
PR|72|05690|02415304|Barranquitas zona urbana|CENSUS DESIGNATED PLACE|U1|S|Barranquitas Municipio
PR|72|06421|02415305|Bartolo comunidad|CENSUS DESIGNATED PLACE|U1|S|Río Grande Municipio
PR|72|06593|02415307|Bayamón zona urbana|CENSUS DESIGNATED PLACE|U1|S|Bayamón Municipio
PR|72|06679|02415306|Bayamón comunidad|CENSUS DESIGNATED PLACE|U1|S|Cidra Municipio
PR|72|07496|02415308|Benítez comunidad|CENSUS DESIGNATED PLACE|U1|S|Canóvanas Municipio
PR|72|07668|02415309|Betances comunidad|CENSUS DESIGNATED PLACE|U1|S|Cabo Rojo Municipio
PR|72|07969|02415310|Boquerón comunidad|CENSUS DESIGNATED PLACE|U1|S|Cabo Rojo Municipio
PR|72|08099|02415311|Boquerón comunidad|CENSUS DESIGNATED PLACE|U1|S|Las Piedras Municipio
PR|72|08700|02415312|Breñas comunidad|CENSUS DESIGNATED PLACE|U1|S|Vega Alta Municipio
PR|72|08722|02807573|Brisas del Campanero comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|09087|02415313|Buena Vista comunidad|CENSUS DESIGNATED PLACE|U1|S|Arroyo Municipio
PR|72|09250|02631211|Buena Vista comunidad|CENSUS DESIGNATED PLACE|U1|S|Humacao Municipio
PR|72|09603|02415314|Búfalo comunidad|CENSUS DESIGNATED PLACE|U1|S|Barceloneta Municipio
PR|72|09689|02415315|Cabán comunidad|CENSUS DESIGNATED PLACE|U1|S|Aguadilla Municipio
PR|72|09861|02415316|Cabo Rojo zona urbana|CENSUS DESIGNATED PLACE|U1|S|Cabo Rojo Municipio
PR|72|10048|02415317|Cacao comunidad|CENSUS DESIGNATED PLACE|U1|S|Quebradillas Municipio
PR|72|10334|02415318|Caguas zona urbana|CENSUS DESIGNATED PLACE|U1|S|Caguas Municipio
PR|72|11151|02585089|Calzada comunidad|CENSUS DESIGNATED PLACE|U1|S|Ponce Municipio
PR|72|11345|02807548|Cambalache comunidad|CENSUS DESIGNATED PLACE|U1|S|Canóvanas Municipio
PR|72|11581|02415319|Campanilla comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|11597|02807575|Campanillas comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|11710|02415320|Campo Rico comunidad|CENSUS DESIGNATED PLACE|U1|S|Canóvanas Municipio
PR|72|11925|02415321|Camuy zona urbana|CENSUS DESIGNATED PLACE|U1|S|Camuy Municipio
PR|72|12441|02415323|Candelaria comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|12560|02415322|Candelaria Arenas comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|12568|02585090|Candelero Abajo comunidad|CENSUS DESIGNATED PLACE|U1|S|Humacao Municipio
PR|72|12613|02415324|Candelero Arriba comunidad|CENSUS DESIGNATED PLACE|U1|S|Humacao Municipio
PR|72|12806|02805715|Caño Martin Peña comunidad|CENSUS DESIGNATED PLACE|U1|S|San Juan Municipio
PR|72|12828|02415325|Canóvanas zona urbana|CENSUS DESIGNATED PLACE|U1|S|Canóvanas Municipio
PR|72|13065|02807550|Canovanillas comunidad|CENSUS DESIGNATED PLACE|U1|S|Canóvanas Municipio
PR|72|13925|02415326|Capitanejo comunidad|CENSUS DESIGNATED PLACE|U1|S|Juana Díaz Municipio~~~Ponce Municipio
PR|72|14290|02415327|Carolina zona urbana|CENSUS DESIGNATED PLACE|U1|S|Carolina Municipio
PR|72|14634|02415328|Carrizales comunidad|CENSUS DESIGNATED PLACE|U1|S|Hatillo Municipio
PR|72|15193|02415329|Cataño zona urbana|CENSUS DESIGNATED PLACE|U1|S|Cataño Municipio
PR|72|15494|02415330|Cayey zona urbana|CENSUS DESIGNATED PLACE|U1|S|Cayey Municipio
PR|72|15623|02415331|Cayuco comunidad|CENSUS DESIGNATED PLACE|U1|S|Utuado Municipio
PR|72|15924|02415333|Ceiba zona urbana|CENSUS DESIGNATED PLACE|U1|S|Ceiba Municipio
PR|72|16139|02415332|Ceiba comunidad|CENSUS DESIGNATED PLACE|U1|S|Vega Alta Municipio~~~Vega Baja Municipio
PR|72|16440|02415334|Celada comunidad|CENSUS DESIGNATED PLACE|U1|S|Gurabo Municipio
PR|72|16526|02415335|Central Aguirre comunidad|CENSUS DESIGNATED PLACE|U1|S|Salinas Municipio
PR|72|17050|02611710|Cerrillos Hoyos comunidad|CENSUS DESIGNATED PLACE|U2|S|Ponce Municipio
PR|72|17773|02415336|Ciales zona urbana|CENSUS DESIGNATED PLACE|U1|S|Ciales Municipio
PR|72|18074|02415337|Cidra zona urbana|CENSUS DESIGNATED PLACE|U1|S|Cidra Municipio
PR|72|18719|02415338|Coamo zona urbana|CENSUS DESIGNATED PLACE|U1|S|Coamo Municipio
PR|72|18891|02415339|Coco comunidad|CENSUS DESIGNATED PLACE|U1|S|Salinas Municipio
PR|72|19665|02415340|Comerío zona urbana|CENSUS DESIGNATED PLACE|U1|S|Comerío Municipio
PR|72|19837|02415341|Comunas comunidad|CENSUS DESIGNATED PLACE|U1|S|Yabucoa Municipio
PR|72|20310|02415342|Coquí comunidad|CENSUS DESIGNATED PLACE|U1|S|Salinas Municipio
PR|72|20353|02415343|Corazón comunidad|CENSUS DESIGNATED PLACE|U1|S|Guayama Municipio
PR|72|20482|02415344|Corcovado comunidad|CENSUS DESIGNATED PLACE|U1|S|Hatillo Municipio
PR|72|20783|02415345|Corozal zona urbana|CENSUS DESIGNATED PLACE|U1|S|Corozal Municipio
PR|72|20998|02585091|Corral Viejo comunidad|CENSUS DESIGNATED PLACE|U1|S|Ponce Municipio
PR|72|21213|02415346|Coto Laurel comunidad|CENSUS DESIGNATED PLACE|U1|S|Ponce Municipio
PR|72|21385|02415347|Coto Norte comunidad|CENSUS DESIGNATED PLACE|U1|S|Manatí Municipio~~~Vega Baja Municipio
PR|72|22589|02415348|Culebra zona urbana|CENSUS DESIGNATED PLACE|U1|S|Culebra Municipio
PR|72|23062|02415349|Daguao comunidad|CENSUS DESIGNATED PLACE|U1|S|Naguabo Municipio
PR|72|23341|02807544|Del Carmen comunidad|CENSUS DESIGNATED PLACE|U1|S|Camuy Municipio
PR|72|24008|02415350|Dorado zona urbana|CENSUS DESIGNATED PLACE|U1|S|Dorado Municipio
PR|72|24395|02415351|Duque comunidad|CENSUS DESIGNATED PLACE|U1|S|Naguabo Municipio
PR|72|24954|02631212|El Combate comunidad|CENSUS DESIGNATED PLACE|U1|S|Cabo Rojo Municipio
PR|72|25556|02415352|El Mangó comunidad|CENSUS DESIGNATED PLACE|U1|S|Juncos Municipio
PR|72|25685|02415353|El Negro comunidad|CENSUS DESIGNATED PLACE|U1|S|Yabucoa Municipio
PR|72|25771|02415354|El Ojo comunidad|CENSUS DESIGNATED PLACE|U1|S|Santa Isabel Municipio
PR|72|25835|02585092|El Paraiso comunidad|CENSUS DESIGNATED PLACE|U1|S|Ponce Municipio
PR|72|26287|02631213|El Tumbao comunidad|CENSUS DESIGNATED PLACE|U1|S|Guánica Municipio
PR|72|26362|02807577|El Veintiséis comunidad|CENSUS DESIGNATED PLACE|U1|S|Toa Baja Municipio
PR|72|26502|02415355|Emajagua comunidad|CENSUS DESIGNATED PLACE|U1|S|Maunabo Municipio
PR|72|27190|02415356|Esperanza comunidad|CENSUS DESIGNATED PLACE|U1|S|Vieques Municipio
PR|72|27263|02415357|Espino comunidad|CENSUS DESIGNATED PLACE|U1|S|Añasco Municipio
